Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,R17,R18,R19,R20,R21,R22,R23,EF,SF,PF,GF,Tot
"Adams, Marcus",-,-,-,-,-,-,-,,,-,-,,-,-,,,,,,,,,,,,,
"Adcock, Jed",,,,-,-,-,-,-,-,,,,,,,,,-,,,,,,,,,
"Biggs, Shane",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Bontempelli, Marcus",-,-,3,2,2,2,1,5,1,2,1,2,8,2,2,-,-,1,-,4,5,1,1,7,5,9,66.0
"Boyd, Matthew",-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,
"Boyd, Tom",5,4,5,4,,,,,,,,,,,,8,13,6,5,9,13,5,8,7,21,14,127.0
"Campbell, Tom",,,,,22,18,23,34,23,13,14,24,15,,,,,,,,,,,,,,186.0
"Collins, Kieran",,,,,,,,,-,,,,,,,,,,,,,,,,,,
"Cordy, Zaine",,,,,,,,,,,,,,,,,,-,-,-,5,-,-,-,3,-,8.0
"Dahlhaus, Luke",-,-,-,-,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,-,
"Dale, Bailey",,,,,-,-,-,-,,,,,,,,,,,,,,,,,,,
"Daniel, Caleb",-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Dickson, Tory",,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Dunkley, Josh",1,-,,,,,,,,1,2,-,1,,,-,-,-,1,2,-,3,3,1,3,-,18.0
"Hamling, Joel",,,-,-,,,,,,,,-,,,,,,-,-,-,-,-,-,-,-,-,
"Honeychurch, Mitch",,,,,,,,,,,,-,-,,,,,,,,,,,,,,
"Hrovat, Nathan",,,,,,,,,,,,,,,,,,,-,-,-,-,,,,,
"Hunter, Lachie",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Johannisen, Jason",-,-,-,-,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Jong, Lin",,,3,3,3,1,,,-,,,,2,1,5,1,-,1,1,-,1,2,-,,,,24.0
"Liberatore, Tom",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,,,,,-,-,-,-,
"Macrae, Jack",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,,,,,-,-,-,-,1.0
"McLean, Toby",-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,-,,,-,-,-,
"Minson, Will",,,,,,,,,,,,,,24,,,,,,,,8,,,,,32.0
"Morris, Dale",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,,,-,-,-,-,-,
"Murphy, Robert",-,-,-,,,,,,,,,,,,,,,,,,,,,,,,
"Picken, Liam",-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2.0
"Redpath, Jack",,,,,,,-,-,,-,-,-,-,1,4,-,2,,,,,,,,,,7.0
"Roberts, Fletcher",,,,,,-,-,-,-,1,-,-,-,,-,-,-,1,-,-,-,-,,,-,-,2.0
"Roughead, Jordan",21,26,22,16,11,11,13,2,12,15,11,29,8,20,13,14,15,19,11,22,9,,17,20,8,17,382.0
"Smith, Clay",,,,,,,,,,,,,,1,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Smith, Roarke",,,,,,,,,,,,,,,,,,,,,-,,,,,,
"Stevens, Koby",-,-,2,1,-,-,,,-,,,,,,2,1,-,-,,,,-,,,,,6.0
"Stringer, Jake",-,-,1,-,1,-,-,-,-,-,1,-,-,-,-,-,,-,-,-,,,1,-,-,-,4.0
"Suckling, Matt",-,-,-,-,-,,,,,-,-,-,-,-,-,-,-,,,-,,-,-,-,,,
"Wallis, Mitch",1,-,-,-,-,1,1,1,1,-,-,-,-,-,-,-,-,,,,,,,,,,5.0
"Webb, Lukas",,,,,,,,,,,,,,-,-,,,,-,-,1,,,,,,1.0
"Williams, Bailey",,,,,,,,-,-,,-,-,-,,,,,,,,,-,,,,,
"Wood, Easton",-,-,,,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,,-,-,-,-,
Totals,28,30,36,26,39,33,38,42,38,32,29,55,35,49,26,24,30,28,18,37,35,19,30,35,40,40,872.0
Opponent,FR,SK,HW,CA,BL,NM,AD,ME,GW,CW,WC,PA,GE,SY,RI,GC,SK,GE,NM,CW,ES,FR,WC,HW,GW,SY,
