Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,R17,R18,R19,R20,R21,R22,R23,EF,SF,PF,GF,Tot
"Adams, Marcus",15,24,23,12,13,12,20,,,18,18,,11,13,,,,,,,,,,,,,179.0
"Adcock, Jed",,,,13,16,9,12,17,16,,,,,,,,,18,,,,,,,,,101.0
"Biggs, Shane",35,24,18,32,19,27,13,19,17,26,23,17,22,19,20,24,19,24,20,16,22,22,19,15,19,15,546.0
"Bontempelli, Marcus",20,23,17,13,20,21,30,33,32,20,30,29,22,29,25,29,25,23,19,26,27,27,21,27,23,22,633.0
"Boyd, Matthew",26,25,20,26,31,33,27,31,,24,34,28,28,32,28,29,24,,22,24,30,35,26,19,24,27,653.0
"Boyd, Tom",10,11,14,7,,,,,,,,,,,,11,8,18,4,13,13,11,14,18,14,14,180.0
"Campbell, Tom",,,,,16,14,14,7,9,10,14,13,9,,,,,,,,,,,,,,106.0
"Collins, Kieran",,,,,,,,,4,,,,,,,,,,,,,,,,,,4.0
"Cordy, Zaine",,,,,,,,,,,,,,,,,,11,7,8,8,9,8,11,10,11,83.0
"Dahlhaus, Luke",25,16,33,22,23,28,31,29,28,37,20,8,,,,,,26,28,31,23,31,29,23,32,23,546.0
"Dale, Bailey",,,,,16,10,12,15,,,,,,,,,,,,,,,,,,,53.0
"Daniel, Caleb",20,19,29,23,,,20,20,21,22,24,20,20,21,25,20,18,20,17,23,23,23,33,19,24,14,518.0
"Dickson, Tory",,,,,18,18,11,10,12,19,17,11,9,11,20,17,13,10,18,8,12,13,18,12,10,11,298.0
"Dunkley, Josh",15,12,,,,,,,,18,12,14,9,,,27,20,15,19,18,14,18,15,23,24,15,288.0
"Hamling, Joel",,,15,13,,,,,,,,6,,,,,,7,9,11,10,16,13,10,7,9,126.0
"Honeychurch, Mitch",,,,,,,,,,,,22,16,,,,,,,,,,,,,,38.0
"Hrovat, Nathan",,,,,,,,,,,,,,,,,,,14,18,28,17,,,,,77.0
"Hunter, Lachie",31,35,23,33,32,44,25,34,24,29,38,25,25,31,24,27,28,25,21,27,30,23,26,21,19,19,719.0
"Johannisen, Jason",35,27,17,19,,,,,,,,,,20,22,23,23,26,22,22,31,27,25,15,26,33,413.0
"Jong, Lin",,,13,14,15,17,,,13,,,,20,20,13,19,19,15,18,18,20,28,6,,,,268.0
"Liberatore, Tom",25,26,19,22,19,13,25,25,20,31,20,24,22,15,13,,14,17,,,,,22,20,15,22,429.0
"Macrae, Jack",30,30,22,26,25,33,27,27,26,32,33,21,31,23,24,29,27,20,,,,,24,39,25,33,607.0
"McLean, Toby",22,22,12,12,25,20,13,18,10,14,14,,,,,,,,,,19,,,21,20,18,260.0
"Minson, Will",,,,,,,,,,,,,,6,,,,,,,,8,,,,,14.0
"Morris, Dale",10,16,15,22,16,15,17,13,14,19,14,10,13,12,15,13,5,,9,,,18,6,10,10,15,307.0
"Murphy, Robert",31,28,25,,,,,,,,,,,,,,,,,,,,,,,,84.0
"Picken, Liam",23,26,18,18,22,25,22,30,22,19,23,25,18,28,16,21,20,26,18,20,33,28,23,24,21,25,594.0
"Redpath, Jack",,,,,,,11,14,,17,11,9,6,7,14,13,4,,,,,,,,,,106.0
"Roberts, Fletcher",,,,,,9,12,7,10,12,6,7,10,,10,11,11,9,10,8,8,10,,,9,5,164.0
"Roughead, Jordan",11,10,14,12,13,3,17,9,11,12,10,12,7,11,11,17,16,9,13,12,4,,12,11,4,13,274.0
"Smith, Clay",,,,,,,,,,,,,,16,18,17,15,11,2,11,15,15,19,16,26,13,194.0
"Smith, Roarke",,,,,,,,,,,,,,,,,,,,,12,,,,,,12.0
"Stevens, Koby",27,23,17,25,34,28,,,14,,,,,,17,34,16,14,,,,19,,,,,268.0
"Stringer, Jake",18,18,13,17,17,17,16,16,11,11,18,16,16,9,15,13,,12,12,11,,,10,14,11,12,323.0
"Suckling, Matt",22,22,20,27,5,,,,,22,28,17,26,14,22,28,21,,,15,,20,19,18,,,346.0
"Wallis, Mitch",24,26,21,18,33,26,26,25,24,19,26,28,15,25,17,25,10,,,,,,,,,,388.0
"Webb, Lukas",,,,,,,,,,,,,,14,7,,,,15,13,14,,,,,,63.0
"Williams, Bailey",,,,,,,,14,16,,13,14,20,,,,,,,,,16,,,,,93.0
"Wood, Easton",23,19,,,19,12,21,13,15,21,,,,16,20,20,16,11,20,15,10,,12,11,19,13,326.0
Totals,498,482,418,426,447,434,422,426,369,452,446,376,375,392,396,467,372,367,337,368,406,434,400,397,392,382,10681.0
Opponent,FR,SK,HW,CA,BL,NM,AD,ME,GW,CW,WC,PA,GE,SY,RI,GC,SK,GE,NM,CW,ES,FR,WC,HW,GW,SY,
