Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,R17,R18,R19,R20,R21,R22,R23,EF,SF,PF,GF,Tot
"Adams, Marcus",-,-,2,-,-,-,-,,,-,-,,-,-,,,,,,,,,,,,,2.0
"Adcock, Jed",,,,-,-,-,-,-,-,,,,,,,,,-,,,,,,,,,
"Biggs, Shane",1,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.0
"Bontempelli, Marcus",-,-,-,-,-,-,2,3,-,-,2,3,-,1,3,-,-,-,3,3,-,-,-,-,-,-,20.0
"Boyd, Matthew",-,-,-,-,-,-,-,-,,-,-,-,-,-,1,-,-,,-,-,-,1,-,-,-,-,2.0
"Boyd, Tom",-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,
"Campbell, Tom",,,,,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
"Collins, Kieran",,,,,,,,,-,,,,,,,,,,,,,,,,,,
"Cordy, Zaine",,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,
"Dahlhaus, Luke",-,-,3,-,-,-,-,-,-,3,-,-,,,,,,-,-,1,-,-,-,-,-,-,7.0
"Dale, Bailey",,,,,-,-,-,-,,,,,,,,,,,,,,,,,,,
"Daniel, Caleb",-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Dickson, Tory",,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Dunkley, Josh",-,-,,,,,,,,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,
"Hamling, Joel",,,-,-,,,,,,,,-,,,,,,-,-,-,-,-,-,-,-,-,
"Honeychurch, Mitch",,,,,,,,,,,,-,-,,,,,,,,,,,,,,
"Hrovat, Nathan",,,,,,,,,,,,,,,,,,,-,-,-,-,,,,,
"Hunter, Lachie",-,2,-,3,-,2,-,2,-,-,3,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,13.0
"Johannisen, Jason",3,3,-,-,,,,,,,,,,-,-,-,-,-,2,-,2,-,-,-,-,-,10.0
"Jong, Lin",,,-,-,-,-,,,-,,,,-,-,-,-,-,-,-,-,-,-,-,,,,
"Liberatore, Tom",-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,,-,-,,,,,-,-,-,-,1.0
"Macrae, Jack",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,,,,,-,-,-,-,1.0
"McLean, Toby",-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,-,,,-,-,-,
"Minson, Will",,,,,,,,,,,,,,-,,,,,,,,-,,,,,
"Morris, Dale",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,,,-,-,-,-,-,
"Murphy, Robert",-,-,-,,,,,,,,,,,,,,,,,,,,,,,,
"Picken, Liam",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,4.0
"Redpath, Jack",,,,,,,-,-,,-,-,-,-,-,-,-,-,,,,,,,,,,
"Roberts, Fletcher",,,,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,,,-,-,
"Roughead, Jordan",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,
"Smith, Clay",,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Smith, Roarke",,,,,,,,,,,,,,,,,,,,,-,,,,,,
"Stevens, Koby",-,-,-,1,3,-,,,-,,,,,,-,2,-,-,,,,-,,,,,6.0
"Stringer, Jake",2,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,,-,-,-,,,-,-,-,-,4.0
"Suckling, Matt",-,-,-,-,-,,,,,-,-,-,-,-,-,-,-,,,-,,-,-,-,,,
"Wallis, Mitch",-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,3,-,,,,,,,,,,5.0
"Webb, Lukas",,,,,,,,,,,,,,-,-,,,,-,-,-,,,,,,
"Williams, Bailey",,,,,,,,-,-,,-,-,-,,,,,,,,,-,,,,,
"Wood, Easton",-,-,,,-,-,-,-,-,2,,,,-,-,1,-,-,-,-,-,,-,-,-,-,3.0
Totals,6,6,5,6,6,2,3,6,0,5,6,3,0,1,4,6,0,0,5,4,6,1,0,0,0,0,81.0
Opponent,FR,SK,HW,CA,BL,NM,AD,ME,GW,CW,WC,PA,GE,SY,RI,GC,SK,GE,NM,CW,ES,FR,WC,HW,GW,SY,
