Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R11,R12,R13,R14,R15,R16,R17,R18,EF,Tot
"Ah Chee, Brendon",-,-,1,2,1,-,-,,1,1,1,-,-,2,-,,-,-,9.0
"Ainsworth, Brayden",,,,,,-,-,-,-,,-,,,,1,-,-,-,1.0
"Allen, Oscar",,-,1,,3,1,1,1,-,1,1,-,,2,2,2,-,1,16.0
"Barrass, Tom",1,-,-,1,2,2,2,2,-,2,3,-,1,2,1,1,-,-,20.0
"Brander, Jarrod",-,1,2,1,,,,,,,-,1,-,,,-,,,5.0
"Brayshaw, Hamish",,,,,,,,,,,,,,,,-,,,
"Cameron, Jarrod",,,,,,-,-,-,-,-,,,,,,,,,
"Cole, Tom",,,,-,2,-,-,-,-,1,-,-,-,1,1,-,-,-,5.0
"Cripps, Jamie",1,-,-,-,-,-,-,1,-,-,-,-,-,,,,,-,2.0
"Darling, Jack",-,2,-,1,-,2,1,2,2,2,4,5,1,4,1,4,1,3,35.0
"Duggan, Liam",-,-,-,-,-,-,-,1,-,-,,-,-,-,-,-,-,-,1.0
"Edwards, Harry",,,,,,,,,-,,,,,,,,,,
"Foley, Luke",,,,,,,,,,,,,,,,,-,,
"Gaff, Andrew",-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,3.0
"Hickey, Tom",-,,,-,,,,,,,,,,,-,,,,
"Hurn, Shannon",-,-,1,1,-,-,-,-,2,-,-,-,-,1,,1,-,2,8.0
"Hutchings, Mark",,,,,,,,,,,,,-,-,-,,,,
"Jetta, Lewis",-,-,-,-,,,,,,,,,,-,-,,,,
"Jones, Jamaine",,,,-,-,,,,,,,,,,,,,,
"Kelly, Tim",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1.0
"Kennedy, Josh",-,-,-,3,1,-,4,2,3,1,3,-,-,,-,-,1,1,19.0
"McGovern, Jeremy",1,1,,,-,4,1,,,,3,5,-,1,-,2,,2,20.0
"Naitanui, Nic",1,-,1,-,1,-,-,-,-,-,1,1,-,1,,1,-,1,8.0
"Nelson, Jackson",-,-,,,-,-,-,-,-,1,-,-,,-,-,-,-,-,1.0
"ONeill, Xavier",,,,,,,,,,,,-,-,-,-,-,,,
"Petruccelle, Jack",1,-,1,,,,,,,,,,,,,-,-,-,2.0
"Redden, Jack",-,-,-,-,-,-,1,-,,-,-,,,-,-,,,-,1.0
"Reid, Nic",,,,,,,,,,,-,-,-,,,,,,
"Rotham, Josh",,,-,,,,,-,,1,-,1,-,-,-,-,-,,2.0
"Ryan, Liam",-,-,-,2,-,1,1,2,1,-,3,-,-,1,1,2,2,2,18.0
"Schofield, Will",,,-,-,,,,,,,,,,,,-,-,,
"Sheed, Dom",-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,,-,-,2.0
"Sheppard, Brad",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Shuey, Luke",-,-,-,-,-,,,-,-,-,-,-,-,-,,,,-,
"Waterman, Jake",,,,,1,-,2,-,-,1,,,,,-,1,-,-,5.0
"Williams, Bailey",,,,,,,,,,,,,-,2,,,-,,2.0
"Yeo, Elliot",-,-,1,-,-,-,1,-,1,-,,,,,,,,,3.0
Totals,5,5,9,11,11,11,14,11,10,12,19,13,2,17,8,15,4,13,190.0
Opponent,ME,GC,BL,PA,SY,AD,FR,CW,GE,CA,HW,GW,RI,ES,WB,SK,NM,CW,
