Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R11,R12,R13,R14,R15,R16,R17,R18,EF,Tot
"Ah Chee, Brendon",-,-,-,-,-,1,-,,1,1,-,2,-,-,1,,-,-,6.0
"Ainsworth, Brayden",,,,,,1,-,-,-,,-,,,,-,-,2,-,3.0
"Allen, Oscar",,1,1,,3,2,-,1,-,-,1,1,,-,-,1,-,1,12.0
"Barrass, Tom",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Brander, Jarrod",1,-,1,-,,,,,,,-,-,-,,,-,,,2.0
"Brayshaw, Hamish",,,,,,,,,,,,,,,,1,,,1.0
"Cameron, Jarrod",,,,,,-,-,-,-,1,,,,,,,,,1.0
"Cole, Tom",,,,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,2.0
"Cripps, Jamie",1,-,-,-,1,-,-,1,2,-,1,-,1,,,,,1,8.0
"Darling, Jack",1,1,1,1,1,1,-,1,1,1,3,2,1,2,2,3,-,3,25.0
"Duggan, Liam",-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,
"Edwards, Harry",,,,,,,,,-,,,,,,,,,,
"Foley, Luke",,,,,,,,,,,,,,,,,-,,
"Gaff, Andrew",1,-,2,-,1,-,-,3,-,1,-,1,-,-,-,1,-,-,10.0
"Hickey, Tom",-,,,-,,,,,,,,,,,-,,,,
"Hurn, Shannon",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,
"Hutchings, Mark",,,,,,,,,,,,,-,-,-,,,,
"Jetta, Lewis",-,-,-,-,,,,,,,,,,-,-,,,,
"Jones, Jamaine",,,,-,-,,,,,,,,,,,,,,
"Kelly, Tim",-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,2.0
"Kennedy, Josh",-,3,1,4,2,3,5,5,3,3,3,2,-,,5,1,-,4,44.0
"McGovern, Jeremy",-,-,,,-,-,-,,,,-,-,-,-,-,-,,-,
"Naitanui, Nic",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,
"Nelson, Jackson",-,-,,,-,-,-,-,-,-,-,-,,1,-,-,-,-,1.0
"ONeill, Xavier",,,,,,,,,,,,-,1,-,-,-,,,1.0
"Petruccelle, Jack",1,-,-,,,,,,,,,,,,,1,1,-,3.0
"Redden, Jack",-,-,-,-,-,-,-,1,,-,-,,,-,-,,,-,1.0
"Reid, Nic",,,,,,,,,,,-,-,-,,,,,,
"Rotham, Josh",,,-,,,,,-,,-,-,-,-,-,-,-,-,,
"Ryan, Liam",3,1,2,1,-,1,-,1,2,-,4,-,4,5,1,3,1,1,30.0
"Schofield, Will",,,-,-,,,,,,,,,,,,-,-,,
"Sheed, Dom",-,2,-,-,-,-,-,-,1,-,-,-,-,-,-,,-,-,3.0
"Sheppard, Brad",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Shuey, Luke",-,-,-,-,-,,,-,-,-,-,-,-,-,,,,-,
"Waterman, Jake",,,,,1,-,2,1,-,2,,,,,-,-,-,-,6.0
"Williams, Bailey",,,,,,,,,,,,,-,-,,,-,,
"Yeo, Elliot",-,-,-,-,-,-,-,-,-,-,,,,,,,,,
Totals,8,8,8,6,10,9,7,14,10,9,12,8,8,9,10,11,4,10,161.0
Opponent,ME,GC,BL,PA,SY,AD,FR,CW,GE,CA,HW,GW,RI,ES,WB,SK,NM,CW,
