Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,SF,GF,Tot
"Anderson, Graeme",,,,,,,,-,-,-,-,-,,-,-,-,,,,,,,
"Auchettl, Ron",,,,,,3,1,-,3,-,-,-,-,,,,-,-,-,-,,,7.0
"Barassi, Ron",1,-,-,,-,,,,,,,,,-,1,-,1,-,-,,,,3.0
"Bennett, Bill",,,,,,,,,,-,,,,,,2,-,,1,1,-,-,4.0
"Bishop, Noel",,,-,,,,,,,,,-,,,,,,,,,,,
"Board, Terry",,,,1,2,2,1,-,,,,,,,,,-,-,,,,,6.0
"Casey, Gordon",,,,,,,,,,,,,,,,,,,1,,,,1.0
"Chandler, Neil",,,,,,,,,,,,,,-,-,-,-,-,-,-,1,-,1.0
"Collins, Ian",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Crane, Gary",-,-,-,-,-,-,-,-,-,-,,,,,-,-,1,-,-,-,1,1,3.0
"Crosswell, Brent",-,1,-,1,-,-,-,-,-,1,1,-,-,2,2,-,2,,,,2,1,13.0
"Edmond, Bob",-,-,-,-,-,-,,,,,,,,,-,,,,,,,,
"Gallagher, Adrian",1,-,-,-,2,1,3,2,3,-,2,2,-,-,-,1,3,2,7,1,-,-,30.0
"Gill, Barry",,,,,,,,,,,-,-,-,-,,,,-,-,-,-,-,
"Goold, John",-,-,-,-,-,-,-,,-,-,-,,-,,-,-,-,-,-,-,-,-,
"Hall, Kevin",-,-,-,-,-,,-,-,-,,-,-,-,,-,-,,,,,-,-,
"Hopkins, Ted",,,,,,,,-,-,-,,-,,-,,,,,,,,,
"Jesaulenko, Alex",1,,,,1,1,-,5,6,1,1,,2,,3,2,1,,,-,1,-,25.0
"Jones, Peter",1,-,-,2,,,5,2,3,1,2,1,3,1,-,1,3,1,1,-,1,-,28.0
"Kekovich, Brian",3,,,3,6,5,5,3,4,4,2,2,2,,,,2,4,3,5,2,4,59.0
"Kerr, Peter",-,-,-,-,,-,-,,,,-,-,-,,,,-,-,,,,,
"Lofts, Wes",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,2,-,-,,-,-,-,2.0
"McLean, Peter",,,,-,,-,,-,,-,-,-,,-,-,,-,-,-,-,-,-,
"Munari, Dennis",1,1,,,,,,,1,1,-,2,-,-,1,-,,,3,1,,-,11.0
"Nicholls, John",-,-,-,1,-,-,-,-,-,-,1,,3,-,-,2,1,5,1,3,1,-,18.0
"Nicoll, Ian",,-,-,,-,,,,,,,,,,,,,,,,-,,
"Quirk, Bryan",-,1,-,1,-,-,,,,,,,,2,1,-,3,1,1,2,3,1,16.0
"Robertson, Ian",4,2,-,2,3,-,-,1,-,,2,1,1,-,-,-,,2,3,2,-,-,23.0
"Silvagni, Sergio",-,1,-,1,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,6.0
"Smith, Peter",,3,1,3,-,-,-,,,,,1,-,-,,,,,,-,,,8.0
"Stewart, Cliff",,,,,,,-,-,-,-,-,,-,-,-,,,-,,,,,
"Stone, Ron",1,1,-,-,1,-,-,-,-,,,-,,-,,,,,,,,,3.0
"Waite, Vin",,,,,,,,,,-,,,-,,-,-,,,-,,,,
"Walls, Robert",-,-,-,-,1,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,1,-,2.0
Totals,13,10,1,15,16,12,15,13,20,8,11,9,11,6,9,10,18,16,21,15,13,7,269.0
Opponent,GE,RI,ES,HW,FO,SM,CW,FI,NM,SK,ME,GE,RI,ES,HW,FO,SM,CW,FI,NM,ES,ES,
