Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,SF,GF,Tot
"Anderson, Graeme",,,,,,,,1,-,4,1,1,,-,1,-,,,,,,,8.0
"Auchettl, Ron",,,,,,3,4,1,4,3,-,5,3,,,,2,-,-,-,,,25.0
"Barassi, Ron",7,2,1,,2,,,,,,,,,5,2,5,2,4,2,,,,32.0
"Bennett, Bill",,,,,,,,,,-,,,,,,3,3,,5,4,1,1,17.0
"Bishop, Noel",,,1,,,,,,,,,1,,,,,,,,,,,2.0
"Board, Terry",,,,1,5,2,2,2,,,,,,,,,-,-,,,,,12.0
"Casey, Gordon",,,,,,,,,,,,,,,,,,,-,,,,
"Chandler, Neil",,,,,,,,,,,,,,-,1,2,3,5,2,4,3,3,23.0
"Collins, Ian",2,1,-,3,4,1,1,3,3,2,2,5,4,4,8,2,6,1,1,-,2,4,59.0
"Crane, Gary",7,5,5,2,1,2,3,2,8,3,,,,,1,5,7,7,3,1,2,5,69.0
"Crosswell, Brent",2,2,4,4,8,8,1,6,3,4,4,6,7,4,3,3,1,,,,4,2,76.0
"Edmond, Bob",6,3,-,4,6,3,,,,,,,,,1,,,,,,,,23.0
"Gallagher, Adrian",5,7,5,3,3,3,4,1,5,3,3,2,8,2,1,4,3,7,4,2,6,2,83.0
"Gill, Barry",,,,,,,,,,,-,-,1,-,,,,5,-,2,4,-,12.0
"Goold, John",3,2,2,5,6,4,5,,2,3,-,,3,,4,2,4,3,4,4,4,3,63.0
"Hall, Kevin",8,3,5,2,2,,1,2,1,,1,6,4,,2,1,,,,,9,-,47.0
"Hopkins, Ted",,,,,,,,-,1,1,,5,,4,,,,,,,,,11.0
"Jesaulenko, Alex",3,,,,3,1,2,9,7,1,2,,3,,1,9,-,,,-,3,2,46.0
"Jones, Peter",7,5,2,5,,,8,3,9,6,4,9,5,8,2,1,5,3,3,4,5,4,98.0
"Kekovich, Brian",2,,,6,5,4,7,6,1,3,4,2,3,,,,5,2,6,6,2,5,69.0
"Kerr, Peter",1,2,2,-,,3,1,,,,5,-,-,,,,1,-,,,,,15.0
"Lofts, Wes",3,4,3,6,2,5,3,4,7,3,2,3,2,5,,3,-,3,,5,3,3,69.0
"McLean, Peter",,,,-,,2,,-,,-,1,2,,1,5,,1,1,-,2,3,-,18.0
"Munari, Dennis",2,2,,,,,,,1,-,2,3,3,-,1,-,,,-,2,,1,17.0
"Nicholls, John",5,3,1,3,4,2,5,3,4,1,3,,5,3,2,1,5,4,2,2,3,1,62.0
"Nicoll, Ian",,-,2,,1,,,,,,,,,,,,,,,,-,,3.0
"Quirk, Bryan",6,6,4,6,6,-,,,,,,,,6,3,7,4,2,8,3,7,2,70.0
"Robertson, Ian",3,6,3,3,-,7,1,6,1,,6,8,3,6,1,1,,5,3,4,2,4,73.0
"Silvagni, Sergio",4,3,4,7,8,8,8,6,8,6,4,3,2,4,6,6,6,1,5,1,7,8,115.0
"Smith, Peter",,1,3,2,4,2,2,,,,,3,1,3,,,,,,4,,,25.0
"Stewart, Cliff",,,,,,,3,-,4,2,2,,-,8,2,,,-,,,,,21.0
"Stone, Ron",6,4,4,1,3,-,2,-,-,,,2,,1,,,,,,,,,23.0
"Waite, Vin",,,,,,,,,,-,,,-,,1,-,,,-,,,,1.0
"Walls, Robert",1,1,7,6,1,3,-,5,4,2,4,2,5,3,,-,1,4,1,4,3,3,60.0
Totals,83,62,58,69,74,63,63,60,73,47,50,68,62,67,48,55,59,57,49,54,73,53,1347.0
Opponent,GE,RI,ES,HW,FO,SM,CW,FI,NM,SK,ME,GE,RI,ES,HW,FO,SM,CW,FI,NM,ES,ES,
