Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,SF,GF,Tot
"Anderson, Graeme",,,,,,,,1,1,-,2,1,,-,-,1,,,,,,,6.0
"Auchettl, Ron",,,,,,2,4,2,1,1,-,2,2,,,,1,3,3,3,,,24.0
"Barassi, Ron",2,1,-,,-,,,,,,,,,1,3,-,4,2,2,,,,15.0
"Bennett, Bill",,,,,,,,,,4,,,,,,3,-,,3,5,-,2,17.0
"Bishop, Noel",,,-,,,,,,,,,-,,,,,,,,,,,
"Board, Terry",,,,1,-,2,-,2,,,,,,,,,1,-,,,,,6.0
"Casey, Gordon",,,,,,,,,,,,,,,,,,,-,,,,
"Chandler, Neil",,,,,,,,,,,,,,-,-,1,2,5,6,2,-,1,17.0
"Collins, Ian",1,1,-,-,1,-,-,2,-,-,-,1,2,-,-,1,2,2,-,3,3,1,20.0
"Crane, Gary",-,1,1,1,1,-,2,3,1,4,,,,,1,2,-,2,2,-,-,1,22.0
"Crosswell, Brent",2,2,2,3,3,5,1,3,1,6,-,-,2,-,1,3,2,,,,-,1,37.0
"Edmond, Bob",-,1,-,6,2,2,,,,,,,,,1,,,,,,,,12.0
"Gallagher, Adrian",2,1,4,3,2,4,-,3,1,3,3,2,2,5,2,-,1,1,2,4,3,5,53.0
"Gill, Barry",,,,,,,,,,,-,-,-,2,,,,3,1,4,2,1,13.0
"Goold, John",1,-,3,2,1,3,1,,4,-,-,,1,,2,2,1,2,-,1,-,1,25.0
"Hall, Kevin",-,4,-,3,1,,-,3,2,,-,-,-,,-,1,,,,,-,2,16.0
"Hopkins, Ted",,,,,,,,-,-,-,,3,,-,,,,,,,,,3.0
"Jesaulenko, Alex",-,,,,1,-,-,2,1,2,-,,1,,-,1,-,,,1,1,1,11.0
"Jones, Peter",1,5,2,6,,,3,4,3,2,-,2,2,5,1,4,3,2,4,2,2,2,55.0
"Kekovich, Brian",4,,,4,-,2,2,3,2,3,4,2,2,,,,1,3,2,2,2,1,39.0
"Kerr, Peter",-,1,-,2,,2,1,,,,-,2,-,,,,-,-,,,,,8.0
"Lofts, Wes",1,1,3,6,2,2,3,1,2,-,1,4,1,3,,6,1,2,,-,-,-,39.0
"McLean, Peter",,,,-,,1,,-,,1,-,2,,-,2,,-,1,1,1,1,-,10.0
"Munari, Dennis",1,1,,,,,,,2,3,3,6,1,1,1,-,,,5,3,,1,28.0
"Nicholls, John",2,3,3,6,3,5,6,1,2,9,3,,4,7,3,5,3,5,4,4,2,7,87.0
"Nicoll, Ian",,1,1,,1,,,,,,,,,,,,,,,,4,,7.0
"Quirk, Bryan",-,3,3,2,2,2,,,,,,,,1,2,3,2,2,2,1,2,2,29.0
"Robertson, Ian",3,1,3,2,2,4,2,1,4,,2,1,5,3,2,1,,4,1,2,1,3,47.0
"Silvagni, Sergio",1,1,-,2,7,-,-,2,3,2,1,-,3,2,1,2,2,4,2,1,3,-,39.0
"Smith, Peter",,2,-,1,2,3,1,,,,,1,-,-,,,,,,1,,,11.0
"Stewart, Cliff",,,,,,,1,1,-,1,1,,2,-,2,,,2,,,,,10.0
"Stone, Ron",2,2,1,1,1,-,-,1,-,,,2,,1,,,,,,,,,11.0
"Waite, Vin",,,,,,,,,,1,,,-,,2,5,,,2,,,,10.0
"Walls, Robert",-,1,2,3,3,2,-,4,-,1,-,1,-,-,,1,1,2,2,-,-,-,23.0
Totals,23,33,28,54,35,41,27,39,30,43,20,32,30,31,26,42,27,47,44,40,26,32,750.0
Opponent,GE,RI,ES,HW,FO,SM,CW,FI,NM,SK,ME,GE,RI,ES,HW,FO,SM,CW,FI,NM,ES,ES,
