Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,SF,Tot
"Baskin, Keith",,,2,4,4,2,5,4,2,,,,1,3,2,4,-,,1,1,,,1,36.0
"Bedford, Peter",10,7,12,4,9,2,7,4,13,13,8,3,4,9,7,6,-,5,3,6,10,4,7,153.0
"Bennett, Stuart",2,-,1,,,,,,-,,6,4,-,,-,-,7,5,6,2,3,6,2,44.0
"Brice, Gary",5,2,7,3,2,1,2,3,4,3,3,4,2,2,-,-,3,-,2,2,2,2,4,58.0
"Catlin, Sid",,,,,,,,,,,,,-,-,1,,-,-,,4,-,-,,5.0
"Cook, Russell",3,3,7,3,2,4,4,3,3,3,2,2,7,8,7,2,6,1,2,3,4,1,4,84.0
"Davis, Bruce",,,,,,,,,,,,,,,,,,,,,,-,,
"Doyle, Robert",,,,,,,,,,,,,,-,,,,,-,,,,,
"Elwin, Ross",,3,-,,,,,,,,,,,,,,,,,,,,,3.0
"Gleeson, Reg",,-,-,,,,,-,-,-,1,2,1,-,2,1,3,-,1,3,5,-,4,23.0
"Haenen, Tony",3,1,3,2,3,3,1,2,-,3,2,2,1,1,4,1,3,2,3,1,1,-,1,43.0
"Harrison, Paul",,,,,,,,,3,,,,,,,-,1,-,2,-,,,,6.0
"Hoffman, Steve",1,,,,-,-,-,,,,2,-,,,,,,,,,,,2,5.0
"Jacobs, Graeme",2,-,-,-,1,1,2,3,-,2,2,-,,1,-,-,1,,,,3,5,-,23.0
"Lambert, Greg",-,-,,1,3,1,3,4,1,3,1,,,,,,,-,1,1,-,-,2,21.0
"Leahy, Terry",2,,,,,,3,-,4,3,2,-,2,,,,,,,,,,,16.0
"Luke, Richard",,,,-,2,-,1,-,2,-,2,2,2,6,8,-,-,4,3,1,3,6,-,42.0
"McAuliffe, Haydn",1,2,12,3,2,3,2,3,5,2,,1,2,2,4,1,3,2,-,2,3,2,1,58.0
"McCracken, Peter",,,,-,,,,,,,,,,,,,,,,,,,,
"McKew, Shane",2,4,3,3,3,4,4,,,4,2,-,5,-,4,-,2,1,2,-,,,,43.0
"McLeish, David",,3,2,3,2,2,4,-,7,1,5,2,8,3,4,-,2,3,4,5,6,4,4,74.0
"Miller, Neville",,,,,,,,,,,-,,,,-,,,,-,1,2,-,,3.0
"Murphy, John",4,2,5,3,4,3,7,5,,5,5,2,-,3,6,2,,1,3,5,4,,5,74.0
"Pavone, Mick",,3,3,4,2,2,-,,,,,,,,,,,,,,,,,14.0
"Pitura, John",4,1,4,2,4,6,5,2,8,3,-,2,3,1,2,-,4,3,1,6,4,1,5,71.0
"Quade, Ricky",-,,,,,,,,,,,,,,,,,,,,,,,
"Rantall, John",4,1,2,-,1,3,2,-,,2,1,2,-,-,1,1,3,1,-,1,3,2,1,31.0
"Richardson, Alan",1,,,,,,,,,,,,,,,,,,,,,,,1.0
"Skilton, Bob",,9,10,-,3,6,11,7,6,3,8,6,1,2,,5,3,3,4,,8,4,8,107.0
"Sudholz, John",,,,1,3,1,2,-,3,3,4,4,3,5,4,5,-,1,2,4,2,3,4,54.0
"Walsh, Wayne",6,3,5,3,1,4,,-,3,1,,-,1,1,4,2,-,1,,,2,5,3,45.0
"Way, Fred",5,3,3,2,4,3,6,1,5,1,,4,2,2,3,7,5,-,,,,,3,59.0
"Wetzel, Ron",2,2,3,,,,,,,,,,,,,,,,,-,-,1,,8.0
"Wilkinson, Jim",-,,,,,,,,,,,,,,,,,,,,,,,
"Williams, Gary",,,,,,,,-,5,-,-,,,,,,,,,,,,,5.0
Totals,57,49,84,41,55,51,71,41,74,55,56,42,45,49,63,37,46,33,40,48,65,46,61,1209.0
Opponent,ME,NM,ES,FO,RI,SK,CA,HW,GE,FI,CW,ME,NM,ES,FO,RI,SK,CA,HW,GE,FI,CW,SK,
