Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,SF,Tot
"Baskin, Keith",,,-,-,2,2,2,-,2,,,,1,1,-,-,-,,1,1,,,1,13.0
"Bedford, Peter",1,1,3,1,2,4,1,-,2,3,4,-,1,-,2,-,-,1,1,4,1,1,1,34.0
"Bennett, Stuart",2,-,-,,,,,,-,,-,2,-,,-,-,-,-,-,-,-,-,-,4.0
"Brice, Gary",2,1,1,-,-,5,2,2,-,-,3,-,1,2,3,1,-,4,2,2,1,-,3,35.0
"Catlin, Sid",,,,,,,,,,,,,-,-,1,,-,1,,2,1,-,,5.0
"Cook, Russell",2,2,4,2,-,-,1,1,1,2,-,-,2,-,-,1,1,2,-,2,1,2,-,26.0
"Davis, Bruce",,,,,,,,,,,,,,,,,,,,,,1,,1.0
"Doyle, Robert",,,,,,,,,,,,,,-,,,,,-,,,,,
"Elwin, Ross",,1,-,,,,,,,,,,,,,,,,,,,,,1.0
"Gleeson, Reg",,-,-,,,,,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Haenen, Tony",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1.0
"Harrison, Paul",,,,,,,,,-,,,,,,,-,-,-,-,-,,,,
"Hoffman, Steve",2,,,,-,-,-,,,,2,1,,,,,,,,,,,1,6.0
"Jacobs, Graeme",-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,,,-,-,-,
"Lambert, Greg",-,-,,-,-,-,-,-,-,-,-,,,,,,,-,-,-,-,-,-,
"Leahy, Terry",-,,,,,,-,-,-,-,-,-,-,,,,,,,,,,,
"Luke, Richard",,,,2,1,-,1,1,-,-,2,-,-,-,-,1,2,-,-,-,1,-,-,11.0
"McAuliffe, Haydn",1,1,2,1,1,2,1,1,1,1,,1,1,-,1,2,2,1,-,1,1,1,-,23.0
"McCracken, Peter",,,,-,,,,,,,,,,,,,,,,,,,,
"McKew, Shane",2,1,-,-,-,1,-,,,-,-,1,-,-,-,1,-,-,-,-,,,,6.0
"McLeish, David",,-,-,-,-,1,-,-,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,4.0
"Miller, Neville",,,,,,,,,,,-,,,,-,,,,-,-,1,-,,1.0
"Murphy, John",-,1,1,-,-,1,-,-,,-,-,-,-,-,1,1,,2,-,1,2,,1,11.0
"Pavone, Mick",,1,3,1,-,1,-,,,,,,,,,,,,,,,,,6.0
"Pitura, John",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Quade, Ricky",-,,,,,,,,,,,,,,,,,,,,,,,
"Rantall, John",1,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0
"Richardson, Alan",-,,,,,,,,,,,,,,,,,,,,,,,
"Skilton, Bob",,1,2,-,-,-,1,3,3,1,1,2,-,1,,1,-,1,3,,-,-,1,21.0
"Sudholz, John",,,,2,4,6,2,2,3,5,2,3,3,-,2,1,-,5,-,1,3,2,2,48.0
"Walsh, Wayne",1,1,-,-,-,-,,-,-,-,,-,-,-,-,-,-,-,,,2,1,-,5.0
"Way, Fred",-,-,-,-,1,-,-,-,-,-,,-,-,-,-,-,-,-,,,,,1,2.0
"Wetzel, Ron",-,-,-,,,,,,,,,,,,,,,,,-,-,-,,
"Wilkinson, Jim",-,,,,,,,,,,,,,,,,,,,,,,,
"Williams, Gary",,,,,,,,-,-,-,-,,,,,,,,,,,,,
Totals,14,11,16,9,11,23,11,10,13,14,15,10,9,4,10,9,5,17,7,14,15,8,12,267.0
Opponent,ME,NM,ES,FO,RI,SK,CA,HW,GE,FI,CW,ME,NM,ES,FO,RI,SK,CA,HW,GE,FI,CW,SK,
