Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,SF,Tot
"Baskin, Keith",,,-,-,-,-,-,-,-,,,,2,-,-,-,-,,-,-,,,-,2.0
"Bedford, Peter",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Bennett, Stuart",2,-,-,,,,,,-,,19,6,-,,-,-,5,9,21,18,17,15,3,115.0
"Brice, Gary",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Catlin, Sid",,,,,,,,,,,,,-,-,-,,-,-,,-,-,-,,
"Cook, Russell",2,3,-,-,-,-,-,-,-,-,-,1,1,1,2,1,-,-,1,-,1,3,4,20.0
"Davis, Bruce",,,,,,,,,,,,,,,,,,,,,,-,,
"Doyle, Robert",,,,,,,,,,,,,,-,,,,,-,,,,,
"Elwin, Ross",,1,2,,,,,,,,,,,,,,,,,,,,,3.0
"Gleeson, Reg",,-,-,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Haenen, Tony",-,3,3,3,1,-,-,-,-,-,1,2,-,-,-,-,-,2,-,-,1,1,-,17.0
"Harrison, Paul",,,,,,,,,1,,,,,,,-,-,-,1,-,,,,2.0
"Hoffman, Steve",-,,,,-,-,-,,,,-,-,,,,,,,,,,,-,
"Jacobs, Graeme",-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,,,-,1,-,1.0
"Lambert, Greg",-,-,,-,-,-,-,-,-,-,-,,,,,,,-,-,-,-,-,-,
"Leahy, Terry",-,,,,,,-,-,1,-,-,-,-,,,,,,,,,,,1.0
"Luke, Richard",,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"McAuliffe, Haydn",-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,
"McCracken, Peter",,,,-,,,,,,,,,,,,,,,,,,,,
"McKew, Shane",-,-,-,-,-,1,-,,,-,-,-,-,-,-,1,-,-,-,-,,,,2.0
"McLeish, David",,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Miller, Neville",,,,,,,,,,,-,,,,-,,,,-,-,-,-,,
"Murphy, John",-,-,-,1,-,-,-,-,,-,-,5,-,-,-,-,,-,-,-,-,,-,6.0
"Pavone, Mick",,-,-,-,-,-,-,,,,,,,,,,,,,,,,,
"Pitura, John",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Quade, Ricky",-,,,,,,,,,,,,,,,,,,,,,,,
"Rantall, John",-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Richardson, Alan",-,,,,,,,,,,,,,,,,,,,,,,,
"Skilton, Bob",,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,-,-,-,
"Sudholz, John",,,,4,3,1,3,-,3,2,1,-,2,2,1,2,1,1,2,1,2,1,2,34.0
"Walsh, Wayne",-,-,-,-,-,-,,-,-,-,,-,1,-,-,-,-,-,,,-,-,-,1.0
"Way, Fred",30,22,25,12,19,19,24,27,21,26,,24,24,30,19,31,22,9,,,,,19,403.0
"Wetzel, Ron",-,-,-,,,,,,,,,,,,,,,,,-,-,-,,
"Wilkinson, Jim",-,,,,,,,,,,,,,,,,,,,,,,,
"Williams, Gary",,,,,,,,-,-,-,-,,,,,,,,,,,,,
Totals,34,29,30,20,23,21,27,27,26,28,21,38,30,33,22,35,28,21,25,19,21,21,28,607.0
Opponent,ME,NM,ES,FO,RI,SK,CA,HW,GE,FI,CW,ME,NM,ES,FO,RI,SK,CA,HW,GE,FI,CW,SK,
