Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,SF,Tot
"Baskin, Keith",,,20,22,15,17,20,14,20,,,,15,19,14,15,7,,12,11,,,11,232.0
"Bedford, Peter",27,22,32,20,31,25,33,12,30,31,27,24,25,21,32,30,11,17,22,28,21,14,18,553.0
"Bennett, Stuart",5,-,2,,,,,,-,,21,11,-,,-,-,22,15,13,11,9,10,5,124.0
"Brice, Gary",17,13,19,11,7,20,14,14,15,14,20,29,21,25,21,19,21,15,22,16,19,12,20,404.0
"Catlin, Sid",,,,,,,,,,,,,4,-,21,,-,10,,21,2,-,,58.0
"Cook, Russell",12,20,20,20,12,18,24,14,25,19,12,11,24,22,21,14,21,14,12,14,18,12,15,394.0
"Davis, Bruce",,,,,,,,,,,,,,,,,,,,,,9,,9.0
"Doyle, Robert",,,,,,,,,,,,,,-,,,,,-,,,,,
"Elwin, Ross",,14,5,,,,,,,,,,,,,,,,,,,,,19.0
"Gleeson, Reg",,4,4,,,,,9,1,-,14,13,11,12,13,11,12,9,9,15,20,4,17,178.0
"Haenen, Tony",15,18,11,11,12,9,6,14,6,11,10,8,11,7,12,14,14,10,14,10,9,11,14,257.0
"Harrison, Paul",,,,,,,,,10,,,,,,,-,2,3,11,5,,,,31.0
"Hoffman, Steve",16,,,,3,-,-,,,,19,2,,,,,,,,,,,21,61.0
"Jacobs, Graeme",11,8,8,9,16,8,13,13,10,11,12,8,,8,7,11,5,,,,14,17,10,199.0
"Lambert, Greg",9,9,,13,12,6,9,13,11,20,7,,,,,,,9,18,13,14,19,14,196.0
"Leahy, Terry",16,,,,,,9,-,12,16,9,-,7,,,,,,,,,,,69.0
"Luke, Richard",,,,16,8,-,12,8,8,-,20,14,16,22,20,12,8,12,12,10,13,13,-,224.0
"McAuliffe, Haydn",20,19,36,24,22,21,31,15,36,20,,18,26,21,18,22,28,16,-,26,22,14,4,459.0
"McCracken, Peter",,,,-,,,,,,,,,,,,,,,,,,,,
"McKew, Shane",18,20,23,23,21,22,14,,,21,11,12,15,15,22,14,25,17,28,7,,,,328.0
"McLeish, David",,17,15,21,10,17,19,12,18,10,14,16,22,15,17,17,16,10,24,25,18,17,18,368.0
"Miller, Neville",,,,,,,,,,,-,,,,2,,,,12,8,6,-,,28.0
"Murphy, John",19,14,18,14,16,21,22,20,,21,23,12,11,17,28,13,,8,11,21,13,,21,343.0
"Pavone, Mick",,7,17,13,5,5,-,,,,,,,,,,,,,,,,,47.0
"Pitura, John",19,10,17,18,22,25,21,15,28,17,14,23,14,17,15,4,16,21,16,20,14,15,17,398.0
"Quade, Ricky",4,,,,,,,,,,,,,,,,,,,,,,,4.0
"Rantall, John",15,10,11,15,20,17,15,6,,13,11,20,5,9,18,14,19,12,10,9,9,15,11,284.0
"Richardson, Alan",3,,,,,,,,,,,,,,,,,,,,,,,3.0
"Skilton, Bob",,31,30,4,21,21,25,28,24,17,24,25,18,27,,24,30,25,23,,25,20,27,469.0
"Sudholz, John",,,,13,17,13,14,7,13,11,8,16,15,11,18,9,4,12,10,14,9,12,14,240.0
"Walsh, Wayne",28,15,23,17,22,22,,16,12,18,,17,17,13,21,16,17,10,,,34,23,23,364.0
"Way, Fred",16,12,14,8,10,15,11,6,11,9,,8,7,11,14,12,11,2,,,,,13,190.0
"Wetzel, Ron",7,15,13,,,,,,,,,,,,,,,,,-,-,8,,43.0
"Wilkinson, Jim",4,,,,,,,,,,,,,,,,,,,,,,,4.0
"Williams, Gary",,,,,,,,-,20,7,-,,,,,,,,,,,,,27.0
Totals,281,278,338,292,302,302,312,236,310,286,276,287,284,292,334,271,289,247,279,284,289,245,293,6607.0
Opponent,ME,NM,ES,FO,RI,SK,CA,HW,GE,FI,CW,ME,NM,ES,FO,RI,SK,CA,HW,GE,FI,CW,SK,
