Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,PF,GF,Tot
"Abraham, Winston",-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,-,-,-,-,4.0
"Allison, Brett",,,,-,-,-,-,-,,,,,,,,,,-,1,,,,,-,-,1.0
"Anderson, Brady",2,-,4,1,-,2,-,-,1,-,,,,,1,-,-,,,,,-,,,,11.0
"Archer, Glenn",4,4,-,6,2,5,1,1,3,7,3,3,3,7,4,1,,,-,,1,8,6,2,5,76.0
"Bell, Peter",1,2,1,-,-,3,1,1,2,-,1,2,2,4,2,1,1,-,4,3,1,1,2,3,2,40.0
"Blakey, John",5,-,5,1,4,8,3,-,5,2,-,4,3,4,-,2,4,6,2,2,2,1,3,1,4,71.0
"Capuano, Mathew",1,,-,-,1,-,,,,,,,,,,,,-,1,2,-,-,-,1,1,7.0
"Carey, Wayne",-,1,4,7,-,1,-,-,2,-,-,-,-,2,-,-,-,-,-,1,-,-,-,1,-,19.0
"Chandler, Brett",,1,2,,,,,-,-,-,-,5,-,-,-,-,-,2,-,-,,,3,,,13.0
"Cochrane, Stuart",,,,,,-,,,,,,,1,1,,,,,,,,,,,,2.0
"Crocker, Darren",,,,,,,,,,,-,-,-,,,-,-,,,-,-,,,,,
"Freeborn, Glenn",-,,,,,,,,,,,,,,,,,-,-,-,-,1,-,-,-,1.0
"Grant, Shannon",-,3,2,4,1,2,1,3,2,-,1,-,1,-,1,-,-,2,-,-,3,-,-,-,-,26.0
"Groom, Chris",-,-,,,,,,,,-,,,,,,,,,,,,,,,,
"Harvey, Brent",,,-,-,-,-,1,1,1,2,1,1,-,2,-,-,1,-,-,1,-,-,1,-,-,12.0
"Hewitt, Evan",-,1,-,-,-,-,-,-,-,2,1,-,-,-,-,2,-,2,,,,-,,,,8.0
"King, David",5,4,-,,,,6,5,5,7,10,4,7,5,4,3,2,2,3,4,5,3,8,6,6,104.0
"Longmire, John",,,,2,-,,,2,2,5,1,-,-,,,,2,,,,,,-,,,14.0
"Martyn, Mick",1,7,3,2,2,5,3,3,,,1,,,2,2,3,1,2,4,2,2,,3,8,4,60.0
"McCartney, Jason",2,2,1,1,3,3,5,1,1,2,3,2,2,3,-,,,,4,2,1,2,-,4,4,48.0
"McKernan, Corey",,,-,1,-,1,-,1,5,1,,,-,-,-,1,1,4,-,-,1,-,-,1,-,17.0
"Mellington, Anthony",,-,-,,,-,,,,,,2,-,,,,,,,,,,,,,2.0
"Miles, Dion",,,,,,,,,,,-,1,,,,,,,,,,,,,,1.0
"Pickett, Byron",2,4,4,7,5,3,2,6,-,3,2,5,2,2,-,4,3,7,1,3,5,5,-,3,1,79.0
"Pike, Martin",1,1,3,2,,,,3,2,,,,2,1,1,1,2,-,-,1,1,-,2,2,-,25.0
"Roberts, Mark",,,,,,,,,,,3,1,4,3,-,1,3,-,1,-,-,-,-,-,-,16.0
"Rock, Anthony",-,1,,-,2,,-,2,2,3,-,1,,,,1,2,-,,1,-,-,1,1,-,17.0
"Scott, Robert",1,2,8,-,4,2,1,1,-,,,-,1,-,1,2,4,4,1,1,2,1,,5,1,42.0
"Sholl, Craig",-,-,-,1,-,-,-,-,5,4,-,2,-,,-,-,1,-,-,-,-,3,-,-,2,18.0
"Simpson, Adam",-,-,,,1,-,-,,1,-,,,,-,2,-,1,-,-,2,1,-,3,-,1,12.0
"Stevens, Anthony",2,1,1,-,1,1,-,1,1,1,4,1,4,2,1,2,6,2,3,2,2,5,4,2,5,54.0
"Stevens, Danny",,,,,,,-,,,-,1,,,,,,,,,,,,,,,1.0
"Watt, Shannon",,,,,,,,,,,,,,-,-,,,,,,,,,,,
"Welsh, Scott",-,-,1,1,1,-,-,,-,1,-,-,,-,,,,,,,,,,,,4.0
Totals,27,34,39,36,27,37,24,31,40,40,32,34,32,38,19,24,34,35,25,27,28,30,36,40,36,805.0
Opponent,WC,ME,PA,BL,FR,AD,WB,SY,CA,GE,CW,RI,HW,ES,SK,WC,ME,PA,BL,FR,AD,WB,ES,ME,AD,
