Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,PF,GF,Tot
"Armstrong, Steven",,,,,,,,,,,,,-,,,,-,-,-,-,,-,-,-,-,-,
"Banfield, Drew",,,,,,,,,-,-,-,-,-,,-,-,-,,,-,-,-,-,,-,-,
"Braun, Michael",-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,2,-,-,-,-,-,-,3.0
"Butler, Sam",,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Chick, Daniel",-,,-,-,-,-,-,1,-,-,-,-,-,-,,-,-,-,-,,-,-,-,-,-,-,1.0
"Cousins, Ben",-,-,-,,,,-,2,-,1,-,-,-,-,-,,3,2,1,-,1,3,-,-,-,-,13.0
"Cox, Dean",2,3,-,3,-,-,-,-,-,2,-,-,-,,,,,,-,-,-,2,-,-,-,-,12.0
"Embley, Andrew",-,2,-,-,-,-,-,3,-,-,-,-,-,-,-,-,,-,-,-,-,,,-,-,-,5.0
"Fletcher, Chad",-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,2.0
"Gardiner, Michael",,,,,,,,,,,,,-,-,-,,,,,,,,,,,,
"Glass, Darren",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,
"Graham, Jaymie",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,,
"Hansen, Ashley",-,,,,,,-,-,-,-,-,,,-,-,,-,-,-,,,,,-,-,-,
"Hunter, Adam",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,,,,,-,-,-,-,-,-,1.0
"Hurn, Shannon",,,,,-,-,,-,,,,-,,,-,-,,,,,,,,,,,
"Jones, Brett",,-,,-,1,-,,,,,,,,,-,-,-,-,,-,-,-,-,-,-,-,1.0
"Jones, Rowan",-,-,-,1,-,-,-,,,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Judd, Chris",-,-,-,2,3,3,3,-,2,,,,-,2,3,-,-,-,3,-,-,-,-,-,-,-,21.0
"Kerr, Daniel",3,-,3,-,,-,-,-,3,3,-,-,-,-,,3,2,3,2,-,,,,-,-,-,22.0
"LeCras, Mark",,,,,,,,,,,,,,-,-,,,,,,,1,-,,,,1.0
"Lynch, Quinten",-,-,-,-,-,-,1,-,-,-,-,-,-,3,-,-,-,-,-,3,-,-,-,-,-,-,7.0
"McDougall, Andrew",,,,,,,,,,,,,,,,-,,,,,,,,,,,
"Morton, Mitch",,,,,,,,,,,,,,,,,-,,,,,,,,,,
"Nicoski, Mark",-,-,1,-,,,-,-,1,-,-,-,-,-,,,,,,,,,,,,,2.0
"Priddis, Matt",,,,,,,,,,-,,-,,,,,,,,,,,,,,,
"Rosa, Matt",,-,-,-,-,-,-,-,-,-,-,,-,,,-,,,,,,-,-,-,,,
"Sampi, Ashley",-,-,-,-,-,-,-,,,,,,,,,,-,-,-,-,-,,,,,,
"Seaby, Mark",-,-,-,-,-,-,-,-,-,,-,-,,-,-,-,-,-,-,-,-,-,,-,-,-,
"Selwood, Adam",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Staker, Brent",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
"Stenglein, Tyson",-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0
"Waters, Beau",-,-,-,-,-,,,-,-,-,-,-,,-,-,-,-,1,-,-,-,-,-,-,-,-,1.0
"Wirrpanda, David",-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,,-,-,,-,1.0
"Wooden, Josh",,,,,-,-,,,,,,,,,,,,,,,,,,,,,
Totals,5,5,6,6,6,3,4,6,6,6,1,0,0,5,4,3,6,6,6,5,1,6,0,0,0,0,96.0
Opponent,SK,AD,RI,KA,BL,FR,CW,ES,ME,GE,CA,PA,WB,HW,SY,CW,AD,SK,KA,BL,FR,RI,SY,WB,AD,SY,
