Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,SF,GF,Tot
"Alexander, Wal",,,,,,-,,,,,,,,-,-,,,,,,,
"Bailey, George",-,-,-,-,-,3,1,4,-,-,1,-,-,1,-,-,-,1,-,-,-,11.0
"Baird, Jim",,,,,-,,-,-,-,-,2,-,,,6,3,3,1,5,3,3,26.0
"Baxter, Ken",3,1,5,-,1,4,4,5,6,2,7,4,-,-,,,,,,,-,42.0
"Bennett, Jack",,,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,2.0
"Boys, Ron",,1,,,,-,,,,,-,,,,,1,,-,-,,,2.0
"Brown, Vin",-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,
"Carr, Les",,,,,,,,,,,,-,-,-,-,-,-,-,-,,,
"Clark, Jim",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Conley, Jack",-,2,-,1,1,1,,1,-,4,3,2,2,1,1,-,1,3,2,-,-,25.0
"Cooper, Jack",,,,1,,6,2,,,,,,,,,,,,,,,9.0
"Davies, Fred",-,-,5,1,2,,,,-,1,1,1,1,2,1,-,1,2,-,3,4,25.0
"Deacon, Bert",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,
"Eldridge, Tom",,,,-,,,,,,,,,,,,,,,,,,
"Fitzgibbon, Fred",-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1.0
"Garby, Ray",1,1,-,-,3,-,,,1,-,,,,,1,1,3,3,2,-,1,17.0
"Green, Richie",,,-,-,-,,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Greenshields, Allan",-,-,,,,,,-,,-,,-,-,-,-,-,-,,-,-,-,
"Grieve, Ollie",-,-,,,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,
"Hands, Ken",7,1,-,,,2,-,1,2,-,1,-,3,-,1,-,2,1,,2,-,23.0
"Henfry, Ern",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,,,,-,1,2.0
"Hines, Ron",-,-,,,,,2,1,-,,-,,,,,,,,,,,3.0
"Howell, Jack",-,1,3,5,2,1,1,2,2,1,-,3,1,1,-,,3,1,-,-,1,28.0
"Kelsey, Bob",-,,-,-,-,-,-,-,,,,,,,,,,,,,,
"Mooring, Jim",4,1,1,,,,,,,,,,,,,,,,1,1,,8.0
"Redmond, Bill",,,,,,,,,,,,,-,,,,-,,,,,
"Sanger, Arthur",,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
"Sorrell, Alan",2,1,,,,,,,,,,,,,,-,,,,,,3.0
"Stafford, Fred",-,-,1,4,2,3,1,1,2,1,1,-,1,3,-,-,-,-,-,1,1,22.0
"Turner, Herb",-,,-,4,3,3,2,1,-,1,1,-,1,2,3,2,1,1,6,4,2,37.0
"Way, Alec",,,,,,,,,,,,,,,,,,1,,,,1.0
"Williams, Doug",,,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
Totals,17,9,17,16,14,23,13,16,13,10,18,10,10,10,14,7,14,14,16,14,13,288.0
Opponent,ME,SM,RI,FO,ES,SK,NM,GE,CW,FI,HW,ME,SM,RI,FO,ES,SK,NM,GE,ES,ES,
