Player,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R17,R18,R19,R20,R21,R22,Tot
"Ambrose, Richard",,,,,,,,,,-,,1,1,,,,,,,,2.0
"Bayes, Mark",-,-,3,6,-,-,3,-,1,-,-,7,5,3,-,1,-,1,2,-,32.0
"Begovich, Tony",,,,,-,,,,-,,-,-,-,,,,,,,,
"Brunton, Neil",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Bryce, Paul",1,-,1,2,-,4,6,,,,7,8,5,1,4,2,1,-,7,-,49.0
"Carroll, Dennis",,,1,-,,,,,,,,,,,,,,,,,1.0
"Considine, Ed",2,-,2,-,1,-,,-,,,,,,,,,,,,,5.0
"Cordy, Neil",,,,,,-,,,,,,,,,,,,,,,
"Cresswell, Daryn",,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Daniels, Jayson",-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,,-,
"Dipetta, Aldo",,,,,,,,,,,,,,-,-,,,,,,
"Direen, Scott",,,,,,,,-,-,-,-,-,-,-,-,-,-,-,,,
"Dunkley, Andrew",-,1,-,-,,,3,3,-,-,-,-,-,-,-,-,-,1,3,2,13.0
"Gray, Troy",,,,,,,-,,,,,,,-,-,-,-,-,-,,
"Higgins, Leon",,,,,,,,,,-,-,-,-,-,-,-,-,-,-,,
"Holmes, Darren",,,-,,,,-,-,,,-,1,-,-,1,-,-,,,,2.0
"Hutton, John",-,,,1,-,,,,-,-,,,,,,,,,,,1.0
"Irvin, Nathan",-,,,,,,,,,,,,,,,,,,,,
"John, Gareth",,,,,,,,12,15,9,1,,,,,,,,,,37.0
"Kappler, Darren",-,-,-,,-,,,,,,,,,,,,,,,-,
"Kelly, Paul",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Lawson, Jamie",-,-,-,-,,-,-,,,,,-,-,,,,-,-,-,-,
"Lewis, Dale",-,-,-,1,-,-,-,1,-,-,,,,-,-,-,-,-,-,,2.0
"Luff, Troy",,,,,-,-,,,,,,,,,,,,,,,
"Malakellis, Tony",2,-,-,-,,-,,,,,,,,,,,,,,,2.0
"McGovern, Andrew",,-,,,-,,,-,-,,-,-,-,-,,,,,,,
"McMahon, Gavin",,,,,,,,,,,,,,,,,,,1,-,1.0
"McRae, Dean",-,-,-,-,-,-,-,-,-,-,-,-,-,,1,-,,2,-,-,3.0
"Minton-Connell, Simon",,-,,,-,-,-,-,,,,,,,,-,-,-,-,-,
"Mooney, Jason",,,,,,,,,-,-,-,-,1,-,,4,-,-,3,1,9.0
"Murphy, David",-,,-,-,,,,,-,-,-,-,-,-,-,,,,,-,
"Neill, Robert",,,,,,,,,,,,,,,,-,-,-,-,-,
"Nettelbeck, Craig",,,,,,1,-,,,,,,,,,,,,,,1.0
"Osborne, Richard",-,-,-,,,,-,-,,-,-,-,-,-,-,1,-,1,-,-,2.0
"Rose, Gavin",,9,,,,,-,6,7,6,,,,,,,11,14,16,15,84.0
"Stafford, Greg",,,2,5,,,,,,,,,,,7,12,3,6,4,-,39.0
"Stevens, Gary",,,,,,,,,-,,,,,,,,,,,,
"Strooper, David",-,-,,-,3,-,10,-,-,-,-,,,,,,,,,,13.0
"Thomson, Andrew",,,,,,,-,-,,,,,,,,,,,,,
"Tunbridge, Brad",7,2,,,17,4,-,,,,,,,,,,,,,,30.0
"Watters, Scott",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,
"Werner, Michael",-,-,-,1,1,-,,-,-,,,,,-,-,1,-,-,-,1,4.0
"Wheeler, Sanford",,,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
Totals,12,12,9,16,22,9,22,22,23,15,8,17,12,4,13,21,15,25,36,19,332.0
Opponent,HW,SK,ES,FI,NM,CA,BB,GE,RI,WC,FO,ME,AD,CW,HW,SK,ES,FI,NM,CA,
