Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SF,PF,Tot
"Andrew, Bruce",-,-,,-,-,,-,-,1,-,-,-,-,-,-,-,1,1,-,-,3.0
"Baker, Edward",,,,,,,,,2,3,-,3,-,-,1,-,-,-,,,9.0
"Barr, Elvin",-,-,,,,,,,,,,,,,,,,,,,
"Beveridge, Jack",-,-,-,-,-,-,2,-,2,-,-,-,-,1,1,-,1,-,-,-,7.0
"Bowyer, Percy",-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Boyle, Reg",,,,,,,,-,-,,,,,,,,,,,,
"Carter, George",,,2,2,,,,,,,4,4,3,5,-,,,2,,,22.0
"Clayden, George",,,,,,,,,1,,,-,-,2,-,2,-,1,2,-,8.0
"Collier, Harry",1,-,4,2,1,2,1,1,-,1,2,2,1,,,2,2,2,3,2,29.0
"Coventry, Gordon",7,5,7,,4,6,6,5,7,3,1,3,3,2,4,1,3,4,5,6,82.0
"Coventry, Syd",-,-,-,-,-,-,-,1,1,-,-,-,-,-,1,1,-,-,-,-,4.0
"Dalton, Eric",,,,,,,,-,,,,,,1,1,,,,,,2.0
"Dibbs, Charlie",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Edmonds, Horrie",,1,2,3,-,,,3,3,2,-,-,-,1,-,-,-,-,3,1,19.0
"Froude, Fred",1,2,,,,-,1,-,,-,-,-,,,,,-,-,-,-,4.0
"Grant, Dick",-,1,,,,,,,,,,,,,,,,,,,1.0
"Hallahan, Tom",,,,,,,,3,2,2,-,1,1,-,-,-,,,,,9.0
"Hammond, Alan",,,-,-,,,,,,,,,,,,-,,,,,
"Harris, Don",,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Harvey, Les",,,-,-,-,-,,,,,,,,,,,,,,,
"Libbis, Billy",,,-,1,3,-,1,2,-,-,-,-,1,-,2,-,2,2,2,1,17.0
"Lyngcoln, Jack",,,-,-,-,,,,,,,,,,,,,,,,
"MacLeod, Norm",-,,,,,,,,,,,,,,,,,,,,
"Makeham, Bob",-,1,-,2,,2,,,,,,,,,,,,,,,5.0
"Morden, Clem",,,,,,,,,,,,,,-,,,,,-,-,
"Muir, Bob",-,-,-,2,1,-,-,-,-,-,-,-,-,,,,-,-,-,-,3.0
"Munn, Bill",,,,,,-,-,,,,,,,-,,,,,,,
"Murphy, Frank",1,1,1,-,-,1,-,,,2,-,-,1,,-,1,-,,-,-,8.0
"Murphy, Len",-,1,-,2,2,-,-,-,-,1,-,1,-,2,2,4,-,-,2,1,18.0
"Nunn, Ernie",,,1,-,-,,-,,,-,,,,,,,,,,,1.0
"Regan, Jack",-,-,-,,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Rosewarne, Ken",,,,,,1,1,,,,,,,,,,,,,,2.0
"Ross, Jack",1,-,1,,,-,3,-,,,,,,,-,-,2,4,-,-,11.0
"Rumney, Harold",-,-,,,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,
"Tucker, Tom",,,,-,,,,,-,,,,,,,,,,,,
"Watt, Len",,,,-,-,,,,,,,,,,,,,,,,
"Wescott, Leo",-,-,,,,,,,,,,,,,,,,,,,
Totals,11,12,18,14,11,12,16,15,19,14,7,14,10,14,12,11,11,16,17,11,265.0
Opponent,HW,GE,ES,FI,CA,FO,ME,SK,NM,RI,SM,HW,GE,ES,FI,CA,FO,ME,SM,CA,
