Player,R1,R2,R3,R5,R6,R7,R8,R9,R10,R11,R12,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,GF,Tot
"Alvin, Tom",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Athorn, Mark",-,-,-,,,-,,,,,,,-,,,-,-,-,,,,-,-,
"Bradley, Craig",-,-,-,-,-,3,-,-,,2,-,-,-,1,-,-,-,-,-,-,-,-,-,6.0
"Brown, Fraser",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Cavedon, Andrew",-,,,,,,,,,,,,,,,,,,,,,,,
"Christou, Ang",,-,,,,-,-,-,-,-,-,-,2,-,,1,-,-,-,-,-,-,-,3.0
"De Iulio, Ron",-,,,,,,,-,-,-,-,,,,,-,-,-,-,-,-,-,,
"Dean, Peter",-,,3,-,-,2,-,-,-,-,-,-,-,-,-,-,-,,,,,,,5.0
"Dorotich, Jon",-,-,-,-,-,-,,-,,,,,-,,,,,,,,,,,
"Gleeson, Adrian",-,-,,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,2,,-,-,-,6.0
"Hanna, Mil",-,-,-,1,-,-,-,-,3,-,,,,-,-,-,-,-,-,-,-,-,-,4.0
"Heaver, Brent",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2.0
"Hogg, Matthew",,-,-,-,-,,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,
"Kernahan, David",,,,,,,,,,,,,,,,-,,,,,,,,
"Kernahan, Stephen",-,-,2,-,-,,-,-,-,-,-,-,,,,,3,-,3,-,-,-,-,8.0
"Koutoufides, Anthony",-,-,-,-,-,,,,,,,,,-,-,,,,-,,,,,
"Madden, Justin",,-,-,-,-,-,-,-,2,-,3,-,1,-,-,3,2,-,-,-,-,-,-,11.0
"McCormack, Paul",,,,,,,,,-,-,-,-,-,-,-,,,,-,-,,,,
"McKay, Andrew",-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0
"Oliver, Stephen",,,,,,,,,,-,-,-,-,-,-,,,,,,,,,
"Parker, Brendan",,,,,,-,,,,,,,,,,,,,,,,,,
"Powell, Tim",,,,,,-,-,,,,,-,-,-,-,,,,,-,-,,-,
"Ratten, Brett",,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Sexton, Michael",-,-,-,-,-,-,-,-,-,3,1,-,-,-,-,-,-,-,-,-,-,-,-,4.0
"Sholl, Brett",,-,-,-,-,-,-,,-,-,-,-,,,-,-,-,-,-,-,-,-,-,
"Silvagni, Stephen",-,-,-,2,-,-,-,-,1,,-,-,-,3,-,-,-,-,-,-,-,-,-,6.0
"Smith, Jeremy",,,,,,,-,,,,,,,,,,,,,,,,,
"Spalding, Earl",-,-,-,-,-,,,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,2.0
"Spalding, Scott",-,,,,,,,,,,,,,,,,,,,,,,,
"Welsh, Rohan",1,-,-,-,-,-,-,-,-,,,,,,,-,-,-,,-,-,-,-,1.0
"Williams, Greg",3,3,-,3,-,-,-,-,-,-,2,3,-,-,-,2,-,-,-,1,-,-,-,17.0
Totals,4,4,5,6,0,5,0,0,6,6,6,4,6,6,0,6,5,2,5,1,0,0,0,77.0
Opponent,FI,ES,HW,SK,CW,SY,FO,NM,ME,GE,AD,WC,BB,FI,ES,HW,RI,SK,CW,SY,ES,AD,ES,
