Player,R1,R2,R3,R5,R6,R7,R8,R9,R10,R11,R12,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,GF,Tot
"Alvin, Tom",-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1.0
"Athorn, Mark",-,-,-,,,-,,,,,,,-,,,-,-,-,,,,-,-,
"Bradley, Craig",-,-,-,-,-,-,-,-,,-,-,1,-,-,-,-,-,-,-,-,1,-,-,2.0
"Brown, Fraser",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1.0
"Cavedon, Andrew",6,,,,,,,,,,,,,,,,,,,,,,,6.0
"Christou, Ang",,-,,,,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,
"De Iulio, Ron",-,,,,,,,-,-,-,-,,,,,-,-,-,-,-,-,-,,
"Dean, Peter",1,,2,-,-,1,-,-,-,1,1,1,-,2,1,-,-,,,,,,,10.0
"Dorotich, Jon",-,-,1,-,1,1,,1,,,,,-,,,,,,,,,,,4.0
"Gleeson, Adrian",-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,1,-,1.0
"Hanna, Mil",1,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,1,-,-,-,-,1,3.0
"Heaver, Brent",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Hogg, Matthew",,-,-,-,-,,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,
"Kernahan, David",,,,,,,,,,,,,,,,-,,,,,,,,
"Kernahan, Stephen",1,1,3,-,3,,5,1,-,1,2,-,,,,,1,3,1,3,4,1,-,30.0
"Koutoufides, Anthony",1,-,1,-,-,,,,,,,,,-,-,,,,-,,,,,2.0
"Madden, Justin",,20,17,17,17,22,13,14,12,19,12,22,14,10,18,18,14,16,19,21,18,17,13,363.0
"McCormack, Paul",,,,,,,,,-,-,-,-,-,-,1,,,,-,-,,,,1.0
"McKay, Andrew",-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Oliver, Stephen",,,,,,,,,,-,-,4,-,3,-,,,,,,,,,7.0
"Parker, Brendan",,,,,,-,,,,,,,,,,,,,,,,,,
"Powell, Tim",,,,,,-,-,,,,,-,-,-,-,,,,,-,-,,-,
"Ratten, Brett",,,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Sexton, Michael",1,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,1,-,-,2,-,6.0
"Sholl, Brett",,-,-,-,-,-,-,,-,-,-,-,,,1,-,-,-,-,-,-,-,-,1.0
"Silvagni, Stephen",-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,1,-,1,-,-,-,-,2.0
"Smith, Jeremy",,,,,,,-,,,,,,,,,,,,,,,,,
"Spalding, Earl",1,2,-,-,-,,,1,-,-,-,3,-,-,1,1,-,1,-,1,1,-,-,12.0
"Spalding, Scott",-,,,,,,,,,,,,,,,,,,,,,,,
"Welsh, Rohan",3,-,-,1,-,-,3,-,-,,,,,,,-,-,-,,-,-,-,-,7.0
"Williams, Greg",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Totals,15,23,24,18,21,24,21,17,14,21,15,33,14,15,23,19,16,22,22,25,24,21,14,461.0
Opponent,FI,ES,HW,SK,CW,SY,FO,NM,ME,GE,AD,WC,BB,FI,ES,HW,RI,SK,CW,SY,ES,AD,ES,
