Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,PF,GF,GF.1,Tot
"Alves, Stan",,,,,,,-,,-,-,-,-,-,-,-,,-,,-,-,,,-,-,1,-,-,1.0
"Baker, Phil",2,-,-,-,2,-,,,-,-,1,-,2,,,,3,-,-,-,-,4,,-,-,2,3,19.0
"Blight, Malcolm",-,-,-,,-,-,1,-,-,-,-,-,,-,1,-,1,1,3,,-,2,-,1,4,2,6,22.0
"Boyse, Maurice",,,,,,,,,,,,,,,,,,-,-,,-,-,,,,,,
"Briedis, Arnold",-,-,,-,-,-,-,-,-,,,-,-,1,-,1,-,,2,2,-,1,1,2,1,-,-,11.0
"Briedis, Robert",,,,,,,,,,,,,,,,,,,,,-,,,,,,,
"Byrne, John",-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,,,-,-,-,-,1,1,-,-,-,2.0
"Cable, Barry",-,-,-,,,-,1,-,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,4.0
"Cassin, John",-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,3.0
"Cowton, Gary",2,-,4,1,-,,1,,-,-,-,-,-,-,-,,,,,-,1,-,-,-,-,1,-,10.0
"Crosswell, Brent",2,-,-,-,4,-,1,-,1,-,-,-,-,-,-,-,1,,,,-,1,-,2,1,-,-,13.0
"Davis, Craig",,,,,,,,,,,,,,,,,,,,-,-,-,-,-,,,,
"Dawson, Mark",,,,,2,1,-,-,-,-,-,-,-,,,,,,,,,,,,,,,3.0
"Dench, David",-,-,-,-,-,-,-,-,,-,-,-,,-,-,-,1,-,-,-,-,1,1,1,-,-,-,4.0
"Frazer, John",,,,-,,,-,3,1,-,-,,,,,,,,,-,,,,,,,,4.0
"Good, Kerry",,,,,,,,,,-,-,,,,-,-,,,,,,,,,,,,
"Greig, Keith",-,-,-,-,-,-,,,,,,-,-,,,,,,,,,,,,,,,
"Gumbleton, Frank",-,1,1,1,-,-,4,-,3,2,,,1,-,1,,,,,,,1,1,4,3,1,1,25.0
"Henshaw, Ross",-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,-,-,-,,-,-,,-,-,-,
"Icke, Stephen",-,-,-,-,-,-,,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,1,1,-,4,8.0
"Jarrott, Alan",,,,,,,,,,,,,,,,,-,-,1,1,-,1,-,-,,,,3.0
"Keenan, Peter",3,,,,,,,2,3,,,3,,,,,1,-,2,11,1,14,,19,11,28,18,116.0
"May, Tony",,,-,,,,,,,,,,,,-,,,,,,,,,,,,,
"McCann, Stephen",,,,,,,,,,1,-,,,,,,,,,,,,,,3,-,1,5.0
"Melrose, Graeme",-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,1.0
"Montgomery, Ken",-,-,-,-,,,,,,,,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,2.0
"Moore, Terry",,1,8,4,,3,13,12,11,8,11,14,7,3,13,7,,6,,,,,11,,,,,132.0
"Moylan, John",,,-,-,-,,-,-,-,-,-,,,,,,,,-,-,-,,,,,,,
"Munari, Dennis",,,,,,,,,,,,,,-,,-,-,,,,,,,,,,,
"Nettlefold, Bill",,,,,,,,,,,,-,,-,-,1,-,-,,-,,,,,-,-,-,1.0
"Nolan, Mick",22,24,20,20,19,17,1,,,,,,2,16,25,17,41,24,20,26,20,9,17,6,,,,346.0
"Ramsay, Roy",-,-,,,-,-,-,-,,,,,,,,-,-,-,,,,,,,,,,
"Scanlon, Glen",,,,-,,,-,-,-,,,,,,,,,,,,,,,,,,,
"Schimmelbusch, Wayne",-,-,-,-,-,-,1,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,1,-,-,2.0
"Smith, Rob",,,,,,,,,,,,,,,,,,-,,,,,-,,,,,
"Sutton, Darryl",,,,,-,-,-,1,-,-,1,,1,,,,-,-,-,,,,,-,-,-,-,3.0
"Tanner, Xavier",-,-,-,-,-,1,,,,,,,2,1,-,-,-,-,-,-,1,-,-,-,-,-,-,5.0
"Williams, Mark",,,,,,,,,,,,,,,,2,,,,,,,,,,,,2.0
Totals,31,26,35,26,27,22,23,18,21,12,13,17,15,23,40,29,48,31,28,41,25,34,32,37,26,34,33,747.0
Opponent,HW,CW,ME,FO,ES,RI,GE,CA,FI,SK,SM,HW,CW,FO,ME,ES,RI,GE,CA,FI,SK,SM,HW,RI,HW,CW,CW,
