Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,PF,GF,GF.1,Tot
"Alves, Stan",,,,,,,2,,8,12,2,3,7,4,8,,7,,5,3,,,3,9,2,5,1,81.0
"Baker, Phil",-,2,2,1,3,-,,,3,-,3,4,1,,,,2,1,-,-,3,1,,-,2,1,-,29.0
"Blight, Malcolm",4,5,3,,5,4,4,2,5,7,6,4,,4,4,1,6,6,5,,7,4,4,7,10,4,4,115.0
"Boyse, Maurice",,,,,,,,,,,,,,,,,,-,-,,1,1,,,,,,2.0
"Briedis, Arnold",2,3,,2,8,3,-,1,2,,,1,1,3,2,1,2,,2,1,9,5,3,3,3,3,9,69.0
"Briedis, Robert",,,,,,,,,,,,,,,,,,,,,-,,,,,,,
"Byrne, John",6,5,6,11,9,3,8,7,,,9,5,12,3,5,1,,,2,12,10,6,12,8,6,6,11,163.0
"Cable, Barry",10,11,4,,,8,7,3,6,10,14,5,5,6,1,5,8,10,8,7,10,5,13,18,22,12,6,214.0
"Cassin, John",4,2,10,6,7,2,6,4,4,8,5,4,5,2,5,2,10,6,6,10,10,4,6,10,6,3,4,151.0
"Cowton, Gary",9,3,6,2,3,,-,,8,8,8,1,3,8,6,,,,,6,8,8,4,9,10,3,10,123.0
"Crosswell, Brent",1,3,4,2,2,1,7,2,2,5,4,1,3,4,3,2,5,,,,5,5,6,4,7,1,2,81.0
"Davis, Craig",,,,,,,,,,,,,,,,,,,,-,1,2,3,4,,,,10.0
"Dawson, Mark",,,,,2,1,4,1,8,6,6,2,1,,,,,,,,,,,,,,,31.0
"Dench, David",3,10,5,2,6,5,9,4,,7,7,6,,3,6,4,12,12,7,7,9,2,2,8,3,6,5,150.0
"Frazer, John",,,,-,,,1,2,1,1,2,,,,,,,,,-,,,,,,,,7.0
"Good, Kerry",,,,,,,,,,7,2,,,,2,2,,,,,,,,,,,,13.0
"Greig, Keith",7,8,7,12,9,1,,,,,,5,2,,,,,,,,,,,,,,,51.0
"Gumbleton, Frank",2,3,-,6,3,1,8,5,4,8,,,3,5,2,,,,,,,4,5,1,7,4,4,75.0
"Henshaw, Ross",3,6,3,4,8,3,,5,9,10,4,2,6,4,4,7,,7,6,6,,3,2,,7,4,7,120.0
"Icke, Stephen",2,4,2,4,2,3,,6,5,9,4,6,1,3,2,2,6,2,2,3,1,1,5,5,3,3,3,89.0
"Jarrott, Alan",,,,,,,,,,,,,,,,,5,10,3,3,6,5,5,1,,,,38.0
"Keenan, Peter",1,,,,,,,2,-,,,-,,,,,3,3,3,5,-,2,,1,4,-,2,26.0
"May, Tony",,,3,,,,,,,,,,,,-,,,,,,,,,,,,,3.0
"McCann, Stephen",,,,,,,,,,3,-,,,,,,,,,,,,,,-,-,2,5.0
"Melrose, Graeme",8,5,9,11,9,9,8,12,10,14,10,2,6,9,9,2,10,8,-,,,,,,,,,151.0
"Montgomery, Ken",7,6,7,7,,,,,,,,3,13,8,3,4,8,11,15,6,13,1,3,6,4,7,3,135.0
"Moore, Terry",,-,5,5,,4,8,3,11,7,5,2,3,4,6,2,,6,,,,,3,,,,,74.0
"Moylan, John",,,-,3,3,,1,1,6,2,4,,,,,,,,3,4,2,,,,,,,29.0
"Munari, Dennis",,,,,,,,,,,,,,-,,1,-,,,,,,,,,,,1.0
"Nettlefold, Bill",,,,,,,,,,,,1,,2,9,9,-,-,,-,,,,,1,2,3,27.0
"Nolan, Mick",4,4,9,1,3,2,1,,,,,,1,7,3,-,3,3,6,7,9,6,3,2,,,,74.0
"Ramsay, Roy",4,1,,,2,5,11,2,,,,,,,,7,4,5,,,,,,,,,,41.0
"Scanlon, Glen",,,,3,,,12,2,3,,,,,,,,,,,,,,,,,,,20.0
"Schimmelbusch, Wayne",2,3,8,11,9,4,3,3,1,5,3,3,6,1,,6,4,5,3,4,8,5,5,7,10,7,8,134.0
"Smith, Rob",,,,,,,,,,,,,,,,,,1,,,,,1,,,,,2.0
"Sutton, Darryl",,,,,-,3,2,2,-,1,3,,2,,,,1,3,-,,,,,7,3,1,1,29.0
"Tanner, Xavier",1,3,4,7,9,4,,,,,,,4,16,6,8,9,2,3,7,13,11,5,2,7,4,7,132.0
"Williams, Mark",,,,,,,,,,,,,,,,5,,,,,,,,,,,,5.0
Totals,80,87,97,100,102,66,102,69,96,130,101,60,85,96,86,71,105,101,79,91,125,81,93,112,117,76,92,2500.0
Opponent,HW,CW,ME,FO,ES,RI,GE,CA,FI,SK,SM,HW,CW,FO,ME,ES,RI,GE,CA,FI,SK,SM,HW,RI,HW,CW,CW,
