Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,PF,GF,GF.1,Tot
"Alves, Stan",,,,,,,-,,2,3,4,2,2,3,3,,4,,3,4,,,3,-,3,2,1,39.0
"Baker, Phil",-,-,-,-,2,-,,,1,-,2,4,3,,,,1,-,1,2,2,-,,1,1,1,2,23.0
"Blight, Malcolm",3,1,2,,-,3,-,3,1,1,2,5,,2,2,2,5,1,2,,2,2,2,3,-,2,1,47.0
"Boyse, Maurice",,,,,,,,,,,,,,,,,,3,-,,-,1,,,,,,4.0
"Briedis, Arnold",1,3,,1,2,1,3,-,1,,,-,1,4,2,-,1,,1,2,1,2,-,2,1,1,2,32.0
"Briedis, Robert",,,,,,,,,,,,,,,,,,,,,-,,,,,,,
"Byrne, John",-,2,-,-,-,-,1,-,,,-,1,3,-,-,-,,,1,3,3,3,2,1,1,-,1,22.0
"Cable, Barry",2,4,2,,,2,2,-,-,2,4,2,4,4,3,6,3,4,4,3,3,4,2,1,5,2,4,72.0
"Cassin, John",3,1,1,1,1,2,-,2,-,-,2,3,6,3,-,-,5,-,4,3,1,3,2,2,2,2,-,49.0
"Cowton, Gary",4,1,-,2,-,,-,,2,1,3,-,2,2,-,,,,,3,2,1,1,3,2,4,1,34.0
"Crosswell, Brent",3,-,-,2,1,2,1,3,3,4,5,2,2,-,-,-,1,,,,1,1,5,2,3,1,1,43.0
"Davis, Craig",,,,,,,,,,,,,,,,,,,,1,1,-,1,1,,,,4.0
"Dawson, Mark",,,,,-,-,-,2,2,2,1,6,1,,,,,,,,,,,,,,,14.0
"Dench, David",6,5,3,-,3,-,2,3,,2,4,5,,-,1,1,4,5,1,4,3,1,3,3,4,-,2,65.0
"Frazer, John",,,,-,,,1,3,1,2,2,,,,,,,,,-,,,,,,,,9.0
"Good, Kerry",,,,,,,,,,2,3,,,,3,2,,,,,,,,,,,,10.0
"Greig, Keith",2,-,1,3,3,3,,,,,,3,1,,,,,,,,,,,,,,,16.0
"Gumbleton, Frank",-,3,2,1,1,-,1,2,1,1,,,-,2,1,,,,,,,1,2,-,2,2,3,25.0
"Henshaw, Ross",1,4,3,1,2,2,,3,1,-,2,4,1,4,3,4,,2,1,-,,3,-,,1,-,1,43.0
"Icke, Stephen",1,6,2,1,2,1,,4,-,1,4,3,2,3,-,2,5,2,5,5,1,3,1,3,2,-,-,59.0
"Jarrott, Alan",,,,,,,,,,,,,,,,,-,1,1,-,-,2,1,-,,,,5.0
"Keenan, Peter",-,,,,,,,-,-,,,-,,,,,1,2,4,2,-,1,,1,1,2,1,15.0
"May, Tony",,,-,,,,,,,,,,,,-,,,,,,,,,,,,,
"McCann, Stephen",,,,,,,,,,1,-,,,,,,,,,,,,,,-,-,-,1.0
"Melrose, Graeme",-,3,5,3,1,2,1,2,2,2,1,6,1,3,3,5,4,3,-,,,,,,,,,47.0
"Montgomery, Ken",1,4,2,1,,,,,,,,2,3,3,5,3,3,2,5,1,-,2,2,1,2,3,2,47.0
"Moore, Terry",,1,2,3,,2,2,4,1,-,3,12,4,1,2,2,,2,,,,,1,,,,,42.0
"Moylan, John",,,-,1,2,,2,-,2,-,2,,,,,,,,3,1,1,,,,,,,14.0
"Munari, Dennis",,,,,,,,,,,,,,-,,-,-,,,,,,,,,,,
"Nettlefold, Bill",,,,,,,,,,,,2,,4,5,-,-,-,,-,,,,,-,1,-,12.0
"Nolan, Mick",2,2,-,1,1,-,-,,,,,,2,4,-,2,3,3,3,1,2,1,2,-,,,,29.0
"Ramsay, Roy",4,1,,,-,1,2,-,,,,,,,,5,1,3,,,,,,,,,,17.0
"Scanlon, Glen",,,,1,,,3,2,3,,,,,,,,,,,,,,,,,,,9.0
"Schimmelbusch, Wayne",4,5,4,3,1,-,3,1,3,1,-,2,2,-,,4,4,-,5,3,3,3,2,5,3,4,5,70.0
"Smith, Rob",,,,,,,,,,,,,,,,,,-,,,,,-,,,,,
"Sutton, Darryl",,,,,-,-,-,1,1,-,-,,-,,,,-,-,1,,,,,3,1,3,4,14.0
"Tanner, Xavier",-,-,3,-,2,1,,,,,,,4,3,3,2,3,3,4,1,1,2,2,1,1,2,1,39.0
"Williams, Mark",,,,,,,,,,,,,,,,-,,,,,,,,,,,,
Totals,37,46,32,25,24,22,24,35,27,25,44,64,44,45,36,40,48,36,49,39,27,36,34,33,35,32,32,971.0
Opponent,HW,CW,ME,FO,ES,RI,GE,CA,FI,SK,SM,HW,CW,FO,ME,ES,RI,GE,CA,FI,SK,SM,HW,RI,HW,CW,CW,
