Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R11,R12,R13,R14,R15,R16,R17,R18,EF,Tot
"Ah Chee, Brendon",2,-,-,-,-,1,-,,1,-,-,2,-,-,-,,-,-,6.0
"Ainsworth, Brayden",,,,,,1,-,-,-,,-,,,,-,-,1,1,3.0
"Allen, Oscar",,2,-,,3,1,-,3,-,-,1,-,,1,-,2,3,2,18.0
"Barrass, Tom",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Brander, Jarrod",-,-,-,-,,,,,,,-,-,-,,,-,,,
"Brayshaw, Hamish",,,,,,,,,,,,,,,,-,,,
"Cameron, Jarrod",,,,,,-,1,-,-,1,,,,,,,,,2.0
"Cole, Tom",,,,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,3.0
"Cripps, Jamie",-,-,-,-,2,1,-,1,1,1,1,-,1,,,,,1,9.0
"Darling, Jack",1,1,1,-,2,2,2,1,2,2,2,3,3,2,-,2,1,3,30.0
"Duggan, Liam",-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,
"Edwards, Harry",,,,,,,,,-,,,,,,,,,,
"Foley, Luke",,,,,,,,,,,,,,,,,-,,
"Gaff, Andrew",1,-,-,-,-,-,-,1,-,1,-,1,-,-,-,1,-,-,5.0
"Hickey, Tom",-,,,-,,,,,,,,,,,-,,,,
"Hurn, Shannon",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,
"Hutchings, Mark",,,,,,,,,,,,,-,-,-,,,,
"Jetta, Lewis",1,-,-,-,,,,,,,,,,-,-,,,,1.0
"Jones, Jamaine",,,,-,-,,,,,,,,,,,,,,
"Kelly, Tim",1,-,-,1,-,-,-,1,-,-,-,-,1,-,-,1,-,-,5.0
"Kennedy, Josh",-,1,1,4,-,1,4,7,4,2,3,1,-,,2,1,-,3,34.0
"McGovern, Jeremy",-,-,,,-,-,-,,,,-,-,-,-,-,-,,-,
"Naitanui, Nic",-,-,1,-,-,1,-,1,-,-,-,1,1,-,,-,-,-,5.0
"Nelson, Jackson",-,-,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,
"ONeill, Xavier",,,,,,,,,,,,1,-,-,-,-,,,1.0
"Petruccelle, Jack",1,1,-,,,,,,,,,,,,,-,-,-,2.0
"Redden, Jack",-,-,-,-,-,1,-,-,,-,-,,,-,-,,,-,1.0
"Reid, Nic",,,,,,,,,,,1,-,-,,,,,,1.0
"Rotham, Josh",,,-,,,,,-,,-,-,-,-,-,-,-,-,,
"Ryan, Liam",3,-,3,1,1,1,-,1,1,-,3,-,3,4,1,1,2,1,26.0
"Schofield, Will",,,-,-,,,,,,,,,,,,-,-,,
"Sheed, Dom",2,-,-,-,1,-,-,-,2,2,-,-,-,-,1,,-,-,8.0
"Sheppard, Brad",-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,2.0
"Shuey, Luke",-,1,-,-,-,,,-,-,-,-,-,-,-,,,,-,1.0
"Waterman, Jake",,,,,2,-,2,2,-,1,,,,,2,-,-,-,9.0
"Williams, Bailey",,,,,,,,,,,,,-,1,,,-,,1.0
"Yeo, Elliot",-,-,-,-,-,-,-,-,-,-,,,,,,,,,
Totals,12,6,6,6,11,10,9,18,11,11,12,9,9,9,7,9,7,11,173.0
Opponent,ME,GC,BL,PA,SY,AD,FR,CW,GE,CA,HW,GW,RI,ES,WB,SK,NM,CW,
