Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R11,R12,R13,R14,R15,R16,R17,R18,EF,Tot
"Ah Chee, Brendon",-,-,-,1,-,-,-,,-,-,-,-,-,-,-,,-,-,1.0
"Ainsworth, Brayden",,,,,,-,-,-,-,,-,,,,-,-,-,-,
"Allen, Oscar",,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,
"Barrass, Tom",-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Brander, Jarrod",-,-,-,-,,,,,,,-,-,-,,,-,,,
"Brayshaw, Hamish",,,,,,,,,,,,,,,,-,,,
"Cameron, Jarrod",,,,,,-,1,-,-,-,,,,,,,,,1.0
"Cole, Tom",,,,-,1,-,-,1,-,-,-,-,-,-,1,-,-,-,3.0
"Cripps, Jamie",1,-,-,-,-,1,-,-,-,-,-,-,-,,,,,1,3.0
"Darling, Jack",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Duggan, Liam",-,1,-,-,-,-,-,-,1,-,,-,-,-,-,-,-,1,3.0
"Edwards, Harry",,,,,,,,,-,,,,,,,,,,
"Foley, Luke",,,,,,,,,,,,,,,,,-,,
"Gaff, Andrew",-,-,-,2,-,-,3,-,-,-,-,2,-,-,-,-,-,-,7.0
"Hickey, Tom",-,,,-,,,,,,,,,,,-,,,,
"Hurn, Shannon",1,-,-,1,1,-,-,-,-,-,-,2,-,-,,-,-,-,5.0
"Hutchings, Mark",,,,,,,,,,,,,-,-,-,,,,
"Jetta, Lewis",1,2,-,-,,,,,,,,,,-,-,,,,3.0
"Jones, Jamaine",,,,-,-,,,,,,,,,,,,,,
"Kelly, Tim",1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,2.0
"Kennedy, Josh",-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,
"McGovern, Jeremy",-,-,,,-,-,-,,,,-,-,-,-,-,-,,-,
"Naitanui, Nic",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,
"Nelson, Jackson",-,-,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,
"ONeill, Xavier",,,,,,,,,,,,-,-,-,-,-,,,
"Petruccelle, Jack",-,-,-,,,,,,,,,,,,,-,-,-,
"Redden, Jack",-,-,-,-,-,-,-,-,,-,-,,,-,-,,,-,
"Reid, Nic",,,,,,,,,,,-,1,-,,,,,,1.0
"Rotham, Josh",,,-,,,,,-,,-,-,-,-,-,-,-,-,,
"Ryan, Liam",-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,3.0
"Schofield, Will",,,-,-,,,,,,,,,,,,-,-,,
"Sheed, Dom",2,-,-,-,-,-,1,-,1,-,-,-,-,-,-,,-,-,4.0
"Sheppard, Brad",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0
"Shuey, Luke",1,-,1,-,1,,,1,3,-,-,2,-,1,,,,-,10.0
"Waterman, Jake",,,,,-,-,-,-,-,-,,,,,-,-,-,-,
"Williams, Bailey",,,,,,,,,,,,,-,-,,,-,,
"Yeo, Elliot",1,-,-,-,-,-,-,-,-,-,,,,,,,,,1.0
Totals,10,3,1,4,3,2,5,2,5,1,0,7,0,1,4,0,0,2,50.0
Opponent,ME,GC,BL,PA,SY,AD,FR,CW,GE,CA,HW,GW,RI,ES,WB,SK,NM,CW,
