Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R11,R12,R13,R14,R15,R16,R17,R18,EF,Tot
"Ah Chee, Brendon",-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,-,-,
"Ainsworth, Brayden",,,,,,-,-,-,-,,-,,,,-,-,-,-,
"Allen, Oscar",,7,7,,7,4,2,4,3,7,10,6,,-,4,3,-,2,66.0
"Barrass, Tom",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Brander, Jarrod",-,-,-,-,,,,,,,-,-,-,,,-,,,
"Brayshaw, Hamish",,,,,,,,,,,,,,,,-,,,
"Cameron, Jarrod",,,,,,-,-,-,-,-,,,,,,,,,
"Cole, Tom",,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Cripps, Jamie",-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,-,
"Darling, Jack",-,-,-,-,-,-,1,-,2,1,1,1,-,-,2,-,-,-,8.0
"Duggan, Liam",-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,
"Edwards, Harry",,,,,,,,,-,,,,,,,,,,
"Foley, Luke",,,,,,,,,,,,,,,,,-,,
"Gaff, Andrew",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Hickey, Tom",8,,,6,,,,,,,,,,,28,,,,42.0
"Hurn, Shannon",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,
"Hutchings, Mark",,,,,,,,,,,,,-,-,-,,,,
"Jetta, Lewis",-,-,-,-,,,,,,,,,,-,-,,,,
"Jones, Jamaine",,,,-,-,,,,,,,,,,,,,,
"Kelly, Tim",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Kennedy, Josh",-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,
"McGovern, Jeremy",-,-,,,-,-,-,,,,-,-,-,-,-,-,,-,
"Naitanui, Nic",23,36,34,30,39,24,22,24,34,41,35,28,22,22,,33,24,25,496.0
"Nelson, Jackson",-,-,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,
"ONeill, Xavier",,,,,,,,,,,,-,-,-,-,-,,,
"Petruccelle, Jack",-,-,-,,,,,,,,,,,,,-,-,-,
"Redden, Jack",-,-,-,-,-,-,-,-,,-,-,,,-,-,,,-,
"Reid, Nic",,,,,,,,,,,-,-,-,,,,,,
"Rotham, Josh",,,-,,,,,-,,-,-,-,-,-,-,-,-,,
"Ryan, Liam",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Schofield, Will",,,-,-,,,,,,,,,,,,-,-,,
"Sheed, Dom",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,
"Sheppard, Brad",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Shuey, Luke",-,-,-,-,-,,,-,-,-,-,-,-,-,,,,-,
"Waterman, Jake",,,,,-,-,-,-,-,-,,,,,-,-,-,-,
"Williams, Bailey",,,,,,,,,,,,,8,11,,,5,,24.0
"Yeo, Elliot",-,-,-,-,-,-,-,-,-,-,,,,,,,,,
Totals,31,43,41,36,46,28,25,28,39,49,46,35,30,33,34,36,29,27,636.0
Opponent,ME,GC,BL,PA,SY,AD,FR,CW,GE,CA,HW,GW,RI,ES,WB,SK,NM,CW,
