Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R11,R12,R13,R14,R15,R16,R17,R18,EF,Tot
"Ah Chee, Brendon",1,-,1,-,-,-,-,,-,-,-,1,1,-,-,,1,-,5.0
"Ainsworth, Brayden",,,,,,-,-,-,-,,-,,,,-,-,1,-,1.0
"Allen, Oscar",,-,1,,1,3,-,-,1,1,-,1,,-,-,-,-,-,8.0
"Barrass, Tom",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Brander, Jarrod",1,-,-,-,,,,,,,-,-,-,,,-,,,1.0
"Brayshaw, Hamish",,,,,,,,,,,,,,,,1,,,1.0
"Cameron, Jarrod",,,,,,-,-,1,-,-,,,,,,,,,1.0
"Cole, Tom",,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Cripps, Jamie",-,-,-,1,2,-,1,-,-,-,1,-,-,,,,,2,7.0
"Darling, Jack",-,1,-,1,-,1,-,-,1,1,1,-,-,1,2,1,-,2,12.0
"Duggan, Liam",-,-,-,-,-,-,-,-,-,-,,-,1,-,-,1,-,-,2.0
"Edwards, Harry",,,,,,,,,-,,,,,,,,,,
"Foley, Luke",,,,,,,,,,,,,,,,,-,,
"Gaff, Andrew",-,-,2,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,4.0
"Hickey, Tom",-,,,-,,,,,,,,,,,-,,,,
"Hurn, Shannon",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,
"Hutchings, Mark",,,,,,,,,,,,,-,-,-,,,,
"Jetta, Lewis",-,-,-,-,,,,,,,,,,2,-,,,,2.0
"Jones, Jamaine",,,,-,1,,,,,,,,,,,,,,1.0
"Kelly, Tim",-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,2,-,-,4.0
"Kennedy, Josh",-,1,-,1,3,3,4,-,-,1,1,1,-,,2,1,-,4,22.0
"McGovern, Jeremy",-,-,,,-,-,-,,,,-,-,-,-,-,-,,-,
"Naitanui, Nic",-,-,-,-,1,-,-,1,-,-,-,1,-,-,,-,-,1,4.0
"Nelson, Jackson",-,-,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,
"ONeill, Xavier",,,,,,,,,,,,-,1,-,-,-,,,1.0
"Petruccelle, Jack",-,2,-,,,,,,,,,,,,,1,2,-,5.0
"Redden, Jack",-,-,-,-,1,-,-,-,,-,-,,,-,-,,,-,1.0
"Reid, Nic",,,,,,,,,,,1,-,-,,,,,,1.0
"Rotham, Josh",,,-,,,,,-,,-,-,-,-,-,-,-,-,,
"Ryan, Liam",3,4,-,-,1,-,-,1,3,-,-,-,1,1,-,1,1,-,16.0
"Schofield, Will",,,-,-,,,,,,,,,,,,-,-,,
"Sheed, Dom",-,1,-,-,-,-,-,-,1,-,1,-,-,-,-,,-,-,3.0
"Sheppard, Brad",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Shuey, Luke",-,-,-,-,-,,,-,-,-,-,1,-,-,,,,-,1.0
"Waterman, Jake",,,,,-,-,-,-,-,2,,,,,-,-,-,-,2.0
"Williams, Bailey",,,,,,,,,,,,,1,-,,,-,,1.0
"Yeo, Elliot",-,-,-,-,-,-,-,-,-,1,,,,,,,,,1.0
Totals,5,9,4,3,11,7,6,3,6,6,6,5,5,4,4,9,5,9,107.0
Opponent,ME,GC,BL,PA,SY,AD,FR,CW,GE,CA,HW,GW,RI,ES,WB,SK,NM,CW,
