Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,SF,PF,Tot
"Antonie, Colin",,,,,,,-,,-,,,-,,,-,-,-,1,,,,,,,1.0
"Besanko, Neil",-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Breen, Barry",-,-,-,-,,,,,,-,-,-,-,-,1,-,-,-,-,-,,,-,-,1.0
"Colling, Gary",,,-,,1,-,-,-,-,-,-,-,-,,-,-,1,-,-,-,-,-,-,-,2.0
"Davis, Allan",-,-,-,-,,-,-,1,-,-,1,-,-,,,,,,,,,,,,2.0
"Ditterich, Carl",4,2,6,11,8,8,6,2,-,1,2,,,12,,,,,12,7,,,8,7,96.0
"Elliott, Glenn",-,-,,,-,-,-,,,,,,,-,,-,-,-,,-,1,-,,,1.0
"Evans, John",,,-,-,-,,,,,2,4,10,3,,3,-,,,,,,,,,22.0
"Griffiths, Daryl",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Kennedy, Des",,,,,,,,,,,,,,,,,,,,,-,-,,,
"Lawrence, Barry",-,1,-,,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.0
"Lilley, Jon",,,,-,-,-,,,,,,,,,,-,-,-,-,-,,,-,-,
"Manzie, John",,,,,,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"McIntosh, John",13,13,4,11,6,2,6,8,10,2,-,1,-,2,4,1,4,3,5,1,2,-,3,-,101.0
"Moran, Jeff",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Murray, Bob",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,2.0
"Mynott, Brian",,1,,,,,14,11,17,15,27,27,21,20,17,24,23,15,13,19,14,15,19,12,324.0
"Neale, Kevin",-,-,-,-,2,1,-,-,-,1,,-,,6,1,2,6,2,-,-,,,1,-,22.0
"Nisbet, Darryl",,,,,,,,,,,,,,,,,,,,,-,,,,
"ODea, Jim",-,-,-,-,-,-,-,-,,-,,,-,-,,,,,,,,-,,-,
"ODonnell, John",,,,,,,-,-,,,,,,,,,,,,,,,,,
"Pascoe, Barry",-,-,-,2,10,1,,,,,,,,,,,,,,,,,,,13.0
"Pascoe, Bob",12,9,10,10,-,5,,,,-,,-,1,,,,,,,,5,6,-,,58.0
"Payze, Travis",-,3,1,1,1,2,1,2,-,1,1,-,-,-,1,1,-,-,-,1,1,-,-,-,17.0
"Rae, Stephen",,-,-,-,-,,,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,
"Roberts, Stephen",1,-,-,,,,,,-,,-,,,,-,-,-,-,-,,2,1,,,4.0
"Smith, Ross",-,-,-,1,,,,,,,,,,-,-,1,-,-,-,-,-,-,-,-,2.0
"Stewart, Ian",-,,,-,-,-,-,-,-,,-,-,-,1,-,,,,-,,,-,,-,1.0
"Theodore, Stephen",-,-,-,-,-,-,-,-,-,,-,-,-,-,,-,-,,-,-,-,-,-,-,
"Trott, Stuart",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Ward, Geoff",,,,,,,,-,-,-,-,,-,-,-,,-,-,,-,-,,-,,
Totals,30,30,21,36,28,19,27,25,28,23,35,38,25,41,27,30,34,21,30,28,25,22,31,19,673.0
Opponent,NM,FI,FO,RI,CA,SM,HW,GE,ME,CW,ES,NM,FI,FO,RI,CA,SM,HW,GE,ME,CW,ES,SM,CA,
