Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,EF,SF,Tot
"Alessio, Steven",,,2,2,1,3,-,2,2,3,3,2,,3,3,5,,,,,,,-,2,33.0
"Bannister, Jordan",,,,,-,,,,,,,,,-,-,1,-,,,,,,,,1.0
"Barnard, Paul",2,3,3,-,-,-,-,3,1,-,2,3,-,2,1,2,-,2,2,2,2,3,5,2,40.0
"Blumfield, Justin",4,1,3,3,2,-,2,2,2,5,1,2,3,1,1,4,1,-,-,1,,,3,2,43.0
"Bolton, Mark",-,2,1,,,,2,,,4,-,-,-,1,1,1,1,3,2,2,7,2,4,4,37.0
"Bullen, Marcus",,,,,,,,,,,,,,,,,,,,,2,4,,,6.0
"Caracella, Blake",1,1,4,3,2,-,1,2,5,2,4,2,1,3,2,4,3,3,2,3,1,5,2,3,59.0
"Davies, James",,,,,,,,,,,1,,,,,,,,,,,,,,1.0
"Fletcher, Dustin",4,-,1,-,5,3,-,4,1,-,,1,3,,,,,3,2,2,-,3,2,,34.0
"Forster-Knight, Robert",1,-,-,1,-,-,4,1,-,1,-,4,-,1,,,2,,3,-,,,,1,19.0
"Hall, Ken",,,,,,,,,,,,-,,,,,,,,,,,,,
"Harvey, Shane",,,,,,1,-,-,-,-,,,,,,,,-,,,,2,,,3.0
"Heffernan, Chris",-,4,2,1,4,3,1,1,1,5,1,-,1,1,2,3,2,3,1,2,1,,-,1,40.0
"Henneman, Aaron",-,2,1,1,3,1,,,,,,-,,,,,,,,,,-,,,8.0
"Hille, David",3,3,-,3,2,-,2,1,2,,-,-,2,,2,2,3,-,1,,-,1,,,27.0
"Hird, James",2,3,2,1,5,1,,,,,,,,2,1,2,-,-,3,2,2,3,,2,31.0
"Hunt, Sam",,,,,,,,,,,,,,,,,,,,1,,1,3,,5.0
"Jacobs, Danny",2,1,2,1,4,2,1,2,5,1,4,2,2,-,1,1,-,-,2,1,1,-,1,2,38.0
"Johnson, Jason",2,-,2,-,1,5,4,1,1,2,4,2,2,5,6,3,1,1,2,3,1,1,4,1,54.0
"Johnson, Mark",1,1,2,1,1,1,6,2,4,1,-,2,1,2,2,4,4,4,1,1,-,4,1,2,48.0
"Lloyd, Matthew",3,1,4,2,4,1,,,,,,,,2,3,1,2,-,1,2,5,4,-,,35.0
"Lucas, Scott",4,,,,,,-,-,1,3,1,4,-,2,2,-,3,1,2,2,3,-,1,1,30.0
"McAlister, Daniel",,,,,,1,,,,,,1,2,,,,,,,,,,,,4.0
"McGrath, Cory",,,,1,3,1,1,-,,,,,,,,,,,,,,,,2,8.0
"McVeigh, Mark",2,1,3,-,-,2,1,1,2,-,5,2,2,-,3,1,2,2,2,1,-,1,-,1,34.0
"Mercuri, Mark",2,2,2,2,2,,,5,3,3,2,5,-,,,,,,,,,,,,28.0
"Misiti, Joe",2,-,4,1,1,4,2,,,,,,,,,,1,3,2,-,3,2,2,1,28.0
"Moorcroft, Gary",-,1,,,,,,,,-,1,,1,,4,-,-,-,3,2,3,3,1,-,19.0
"Peverill, Damien",1,1,1,2,1,,,,2,1,2,3,-,-,1,1,2,1,1,4,2,-,1,2,29.0
"Ramanauskas, Adam",-,1,2,1,-,3,2,2,5,4,2,4,1,1,4,1,-,1,-,,-,3,4,2,43.0
"Reynolds, Joel",,,1,-,,,,-,-,1,1,,,1,-,1,,,,,,,,,5.0
"Richards, Ted",,-,,-,,,,,,,,,,,,,,,,,,,,,
"Rioli, Dean",,,,,-,-,1,2,4,,,,-,1,1,3,2,3,,4,1,,1,1,24.0
"Salmon, Paul",,,,,,,1,2,1,1,4,,4,1,,,-,1,5,2,3,2,1,3,31.0
"Wellman, Sean",2,1,-,,,-,1,2,-,4,1,2,4,-,4,3,1,3,2,4,1,-,3,3,41.0
"Welsh, Andrew",,,,,,,2,-,-,1,-,1,-,1,-,2,,,-,1,1,,2,1,12.0
Totals,38,29,42,26,41,32,34,35,42,42,39,42,29,30,44,45,30,34,39,42,39,44,41,39,898.0
Opponent,GE,RI,BL,AD,CW,FR,CA,SK,SY,KA,PA,HW,ME,WB,WC,GE,RI,BL,AD,CW,FR,CA,WC,PA,
