Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R17,R18,QF,SF,PF,GF,Tot
"Aarts, Jake",,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
"Astbury, David",-,-,-,-,,,,,,,,,,,,,-,-,-,3,-,3.0
"Baker, Liam",-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Balta, Noah",,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,3.0
"Bolton, Shai",-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,
"Broad, Nathan",-,-,1,-,-,-,-,-,-,-,-,-,,,-,,,,-,-,-,1.0
"Caddy, Josh",-,,-,-,-,-,-,,,,-,,,,,,1,,,,,1.0
"Castagna, Jason",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Chol, Mabior",,,,,3,11,1,7,7,9,7,2,8,,,,2,9,,,,66.0
"Cotchin, Trent",-,-,-,-,-,,,,-,-,,-,-,-,-,-,-,-,-,-,-,
"Dow, Thomson",,,,,,,,,,,,,,-,-,,,,,,,
"Edwards, Shane",-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,
"Eggmolesse-Smith, Derek",,,,,,-,-,-,-,-,-,,,,,,,,,,,
"Graham, Jack",-,-,-,,,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,
"Grimes, Dylan",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,
"Higgins, Jack",,-,-,-,-,-,-,-,-,-,,,,,-,,,,,,,
"Houli, Bachar",,-,-,-,-,,,,,,,,-,-,-,-,-,-,-,-,-,
"Lambert, Kane",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,
"Lynch, Tom",-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,1,-,2.0
"Markov, Oleg",,,,,,,,,-,,,-,-,-,-,-,,,,,,
"Martin, Dustin",-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1.0
"McIntosh, Kamdyn",,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Naish, Patrick",,,,,,,,-,,,,,,,,,,,,,,
"Nankervis, Toby",16,,,26,9,,,,,,,,,9,16,16,24,11,15,19,25,186.0
"Pickett, Marlion",-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Prestia, Dion",-,-,-,-,-,,,,,,,,,,,,,-,-,-,-,
"Riewoldt, Jack",-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0
"Rioli, Daniel",-,-,-,,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,
"Ross, Jack",,,-,-,,,,,-,-,-,,,,,-,-,,,,,
"Short, Jayden",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Soldo, Ivan",25,23,9,,,21,23,37,23,14,29,24,19,22,16,7,,,,,,292.0
"Stack, Sydney",-,-,-,-,,,,,-,-,-,-,-,,,,,,,,,
"Vlastuin, Nick",-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,
Totals,41,24,11,26,13,32,24,44,30,23,36,26,27,31,32,23,28,20,16,23,27,557.0
Opponent,CA,CW,HW,SK,ME,SY,NM,GW,WB,BL,PA,GC,ES,WC,FR,GE,AD,BL,SK,PA,GE,
