Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,PF,GF,Tot
"Bentley, Greg",,,-,1,1,-,-,-,-,1,,,1,-,-,,,-,,,,,,,,4.0
"Boak, Travis",,,,,,,,,,,,-,-,-,-,-,-,-,1,1,-,-,-,-,1,3.0
"Brogan, Dean",-,1,-,,,,-,-,,,-,-,1,-,-,-,2,,,-,-,-,-,-,-,4.0
"Burgoyne, Peter",,-,1,-,1,1,3,-,1,-,2,-,-,1,1,-,-,-,-,-,-,-,-,-,-,11.0
"Burgoyne, Shaun",-,1,4,-,2,-,-,-,1,-,1,1,1,-,2,2,-,-,1,-,1,4,2,-,-,23.0
"Carlile, Alipate",,,,,,,,,,,,,,-,-,-,-,-,1,-,,-,-,,,1.0
"Cassisi, Domenic",-,-,-,-,-,-,-,-,2,-,-,-,-,1,2,-,1,-,1,-,-,-,1,-,-,8.0
"Chaplin, Troy",-,-,,,-,-,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,
"Cockshell, Adam",1,-,,,,,,,,,,,,,,,,,,,,,,,,1.0
"Cornes, Chad",-,-,-,-,1,1,-,-,-,-,-,-,-,2,-,1,2,-,1,-,-,2,1,1,-,12.0
"Cornes, Kane",-,1,1,-,-,2,-,-,-,1,1,1,-,-,-,-,-,-,-,1,-,1,-,-,-,9.0
"Deluca, Fabian",,,,,,,,,-,-,,,,,,,,,-,,,,,,,
"Ebert, Brett",1,2,-,1,1,3,-,2,2,-,1,-,1,-,3,1,1,-,2,2,-,-,2,1,2,28.0
"Gray, Robbie",,,,,,,,,,2,3,1,-,,,-,,,,,,,,,,6.0
"Krakouer, Nathan",-,1,-,-,1,2,1,,1,,-,,,,,,-,-,,,,,,,,6.0
"Lade, Brendon",-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,2,1,-,-,-,-,5.0
"Logan, Tom",1,1,-,1,,,,,,,,,,,,,,,,,2,-,-,1,-,6.0
"Lonie, Nathan",-,1,2,1,-,1,-,-,-,-,,,-,-,2,-,2,-,-,,,,,,,9.0
"Mahoney, Josh",,-,2,2,-,-,2,1,,,,,,1,,,,,,,,,,,,8.0
"Motlop, Daniel",-,,,,,-,2,1,-,,,,1,2,3,1,1,1,-,-,1,2,3,1,-,19.0
"Pearce, Danyle",1,-,,,,-,-,-,1,2,2,1,1,,-,-,-,-,2,2,-,-,-,2,-,14.0
"Pettigrew, Michael",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1.0
"Rodan, David",-,-,-,1,-,-,-,-,-,-,-,3,1,1,1,1,-,-,-,1,-,-,-,1,1,11.0
"Salopek, Steven",-,2,-,-,-,,,-,-,1,3,1,,,,,,,,-,-,-,-,-,-,7.0
"Surjan, Jacob",-,2,1,-,-,-,-,,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,5.0
"Symes, Brad",,,,-,-,,,1,,-,-,-,,,,,,,,,,,,,-,1.0
"Thomas, Matt",,,,,,-,1,-,-,,,,,,,,,,,,,,,,,1.0
"Thomson, Adam",,,,,,,,,,,,,,1,-,,-,-,1,-,,,,,,2.0
"Thurstans, Toby",-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Tredrea, Warren",,,-,-,2,3,2,1,1,3,-,-,-,-,1,1,,,,-,2,3,1,-,1,21.0
"Wakelin, Darryl",-,,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,-,,,-,-,
"Westhoff, Justin",,,,,,,,,,-,2,1,-,1,3,-,2,1,1,-,-,-,2,1,1,15.0
"White, Damon",-,1,1,2,-,1,4,1,2,1,-,1,,,,,,,1,,,,,,,15.0
"Wilson, Michael",-,1,-,-,-,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,1.0
Totals,4,14,12,9,9,14,16,7,12,11,15,11,7,10,18,7,12,2,12,10,7,13,12,8,6,258.0
Opponent,FR,KA,AD,CW,SK,ME,RI,SY,GE,HW,CA,ES,BL,WB,WC,RI,ME,AD,CA,HW,GE,FR,WC,KA,GE,
