Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R16,R17,R18,QF,SF,PF,GF,Tot
"Ablett, Gary",-,-,-,-,-,-,-,,,,,,,,,,-,-,-,1,-,1.0
"Atkins, Tom",-,-,-,-,,,,,,-,-,-,-,-,-,-,,-,,,,
"Bews, Jed",,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,1,-,-,-,3.0
"Blicavs, Mark",-,1,1,1,1,1,-,-,2,-,1,2,1,-,1,3,-,1,2,-,-,18.0
"Clark, Jordan",-,,,,,,-,,,,,,-,,,,,,,,,
"Close, Brad",,,,,,,,-,-,-,-,,-,-,-,-,,,,,,
"Constable, Charlie",,,,,,,,-,-,,,,,,,,,,,,,
"Dahlhaus, Luke",-,-,-,-,-,-,-,,,,,,1,-,1,1,-,-,-,-,-,3.0
"Dangerfield, Patrick",-,-,-,1,1,1,-,2,1,-,1,2,1,2,4,-,-,1,2,1,-,20.0
"Duncan, Mitch",-,-,-,-,-,-,,-,1,-,-,-,1,-,1,-,-,2,-,-,-,5.0
"Fogarty, Lachie",,,,,,,,-,-,-,,-,,,-,-,,,,,,
"Fort, Darcy",2,,,1,1,-,-,,,,,,,,,,,,,,,4.0
"Guthrie, Cameron",-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,1,4.0
"Guthrie, Zach",-,,,,,,,,,-,,,,,-,,,,,,,
"Hawkins, Tom",1,1,-,1,1,1,1,2,1,3,3,7,-,1,3,1,1,2,2,-,-,32.0
"Henderson, Lachie",,,,,,,,-,1,-,1,2,1,-,-,-,1,2,2,1,-,11.0
"Henry, Jack",-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,1,-,-,3,1,8.0
"Jarvis, Ben",,,,,,,,,,,,,,,,1,,,,,,1.0
"Jenkins, Josh",,,,,,,,,,,,,,,1,,,,,,,1.0
"Kolodjashnij, Jake",,,,-,-,-,1,1,-,,-,-,-,-,-,-,3,1,-,-,-,6.0
"Menegola, Sam",-,2,-,-,1,-,-,-,-,-,3,-,-,-,1,-,-,-,-,-,1,8.0
"Miers, Gryan",-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1.0
"Narkle, Quinton",-,-,-,,-,-,,,,,,,,,,,,,,,,
"OConnor, Mark",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Parfitt, Brandan",,-,,-,-,-,-,-,-,,-,-,1,-,1,-,-,-,-,-,-,2.0
"Ratugolea, Esava",1,-,-,2,4,1,-,-,2,,,,1,,,5,1,,,,,17.0
"Rohan, Gary",-,1,3,-,1,-,1,1,1,,2,-,-,-,-,,1,-,3,-,1,15.0
"Selwood, Joel",-,-,-,-,-,-,-,,,-,-,-,,,,,-,-,-,-,-,
"Simpson, Sam",,,,,,-,-,-,-,-,,-,,,,,,,1,-,-,1.0
"Stanley, Rhys",,-,-,,,,,,,1,1,2,1,1,,,,2,1,-,-,9.0
"Steven, Jack",,,-,-,-,,-,,,-,-,,-,-,,,-,,,,,
"Stewart, Tom",2,-,-,-,,,,-,2,-,-,-,1,1,-,2,-,1,1,-,-,10.0
"Taylor, Harry",2,-,-,,-,-,2,-,-,1,1,-,,-,-,-,1,-,-,-,-,7.0
"Tuohy, Zach",-,-,-,-,-,-,-,-,-,-,1,-,,-,,-,1,-,-,1,-,3.0
Totals,8,5,4,7,10,4,5,6,12,6,14,17,9,5,15,15,10,13,14,7,4,190.0
Opponent,GW,HW,CA,ME,GC,BL,CW,FR,WC,NM,SK,PA,AD,WB,ES,RI,SY,PA,CW,BL,RI,
