Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R16,R17,R18,QF,SF,PF,GF,Tot
"Ablett, Gary",2,1,1,-,-,-,-,,,,,,,,,,1,-,1,2,-,8.0
"Atkins, Tom",-,-,-,-,,,,,,1,-,-,-,-,-,-,,-,,,,1.0
"Bews, Jed",,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,2.0
"Blicavs, Mark",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1.0
"Clark, Jordan",1,,,,,,-,,,,,,-,,,,,,,,,1.0
"Close, Brad",,,,,,,,1,-,-,-,,-,1,-,-,,,,,,2.0
"Constable, Charlie",,,,,,,,1,-,,,,,,,,,,,,,1.0
"Dahlhaus, Luke",-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,-,
"Dangerfield, Patrick",-,2,1,-,-,2,1,1,1,2,2,-,-,-,1,1,2,-,-,-,1,17.0
"Duncan, Mitch",-,-,2,-,1,-,,-,-,1,-,1,1,1,-,-,-,-,1,-,-,8.0
"Fogarty, Lachie",,,,,,,,-,-,1,,-,,,-,-,,,,,,1.0
"Fort, Darcy",-,,,-,-,-,-,,,,,,,,,,,,,,,
"Guthrie, Cameron",-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,2.0
"Guthrie, Zach",-,,,,,,,,,-,,,,,-,,,,,,,
"Hawkins, Tom",2,-,1,3,2,1,1,1,-,2,-,2,3,2,1,2,2,5,1,3,2,36.0
"Henderson, Lachie",,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Henry, Jack",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Jarvis, Ben",,,,,,,,,,,,,,,,1,,,,,,1.0
"Jenkins, Josh",,,,,,,,,,,,,,,-,,,,,,,
"Kolodjashnij, Jake",,,,-,-,-,-,1,-,,-,-,-,-,-,-,1,1,-,-,-,3.0
"Menegola, Sam",-,-,-,-,1,-,-,1,-,-,-,-,1,-,-,-,-,-,-,2,-,5.0
"Miers, Gryan",-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,1,-,1,1,1,6.0
"Narkle, Quinton",-,-,-,,1,-,,,,,,,,,,,,,,,,1.0
"OConnor, Mark",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Parfitt, Brandan",,-,,-,-,-,1,-,-,,-,1,1,-,-,-,-,1,2,-,-,6.0
"Ratugolea, Esava",1,1,-,1,-,-,-,-,1,,,,1,,,-,-,,,,,5.0
"Rohan, Gary",1,-,1,-,3,1,-,-,1,,3,-,1,1,1,,2,-,1,1,-,17.0
"Selwood, Joel",-,-,2,-,-,-,-,,,1,-,-,,,,,-,1,-,-,-,4.0
"Simpson, Sam",,,,,,-,-,-,1,-,,1,,,,,,,-,-,-,2.0
"Stanley, Rhys",,-,-,,,,,,,-,2,-,-,-,,,,1,-,1,1,5.0
"Steven, Jack",,,-,-,-,,-,,,-,1,,1,-,,,-,,,,,2.0
"Stewart, Tom",-,-,-,-,,,,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1.0
"Taylor, Harry",-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,
"Tuohy, Zach",-,-,-,-,2,1,-,1,-,2,-,-,,-,,-,-,1,-,-,1,8.0
Totals,7,4,8,4,10,5,3,8,4,10,8,6,9,6,5,5,9,10,7,11,7,146.0
Opponent,GW,HW,CA,ME,GC,BL,CW,FR,WC,NM,SK,PA,AD,WB,ES,RI,SY,PA,CW,BL,RI,
