Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SF,PF,Tot
"Anderson, Graeme",,,,,,,,,,,,,,,,-,-,-,,-,
"Auchettl, Ron",,,,,,,,,,,,,,,-,,,,,1,1.0
"Barassi, Ron",2,1,2,1,-,-,1,-,-,-,-,-,1,-,-,1,1,2,2,1,15.0
"Board, Terry",2,2,1,3,1,-,1,1,1,,-,,2,-,-,,,,,,14.0
"Collins, Ian",-,-,-,1,1,-,-,,,,,,,,-,,,,-,1,3.0
"Collis, Gordon",-,-,,,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Crane, Gary",,,,,-,-,-,,,,,,,,,,-,,,,
"Edmond, Bob",,,,-,,,-,,,-,,,,,,,,,,,
"Gallagher, Adrian",2,2,1,2,2,1,2,-,1,,4,1,-,1,1,-,1,3,1,3,28.0
"Gill, Barry",-,-,-,-,-,-,,,,,,,-,-,-,-,-,-,-,-,
"Gill, John",3,,,,2,-,,-,-,-,2,-,-,,,,,,,,7.0
"Goold, John",-,-,-,-,,-,,-,-,,-,,-,-,-,-,-,-,-,-,
"Hall, Kevin",1,-,-,-,1,-,2,2,,,-,-,-,1,-,1,-,1,-,-,9.0
"Jesaulenko, Alex",2,3,2,3,3,4,1,2,3,2,-,-,1,-,-,2,2,-,2,2,34.0
"Jones, Peter",,,,,,,,,,,,,,,,-,-,-,-,,
"Jungwirth, Ken",,,,,,,,,,,,-,,,,,,,,,
"Kekovich, Brian",1,1,-,,,2,2,2,1,5,3,4,6,1,4,2,-,2,2,,38.0
"Kerr, Peter",,,,-,-,,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1.0
"Leatham, John",,,-,-,,,,,,,,,,,,,,,,,
"Lloyd, John",-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,,
"Lofts, Wes",-,-,-,-,-,-,-,-,-,-,,3,-,,,,,,-,,3.0
"McLean, Peter",-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,,-,1.0
"McLean, Ricky",,,,,,,,,,-,-,,,,,,,,,,
"Morrison, John",,,,,,,,,,-,1,1,,,,,,,,,2.0
"Munari, Dennis",,,,,,,,-,-,1,-,1,-,-,-,1,-,-,3,-,6.0
"Nicholls, John",1,1,-,1,-,-,-,-,-,1,,,,-,-,1,1,2,3,1,12.0
"Nicoll, Ian",,,,,,,,,,,,-,,,,,,,,,
"Pleydell, Jim",,,,,,,,,,-,-,-,-,-,-,-,,,,,
"Quirk, Bryan",2,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,7.0
"Robertson, Ian",1,-,1,-,-,2,2,-,5,1,1,-,-,2,1,3,1,-,-,1,21.0
"Silvagni, Sergio",1,-,-,1,-,1,-,3,2,-,-,-,-,1,,,,-,1,-,10.0
"Stewart, Cliff",-,-,-,-,-,,-,-,-,-,,,,,,,,-,-,-,
"Stone, Ron",-,-,-,,,-,-,-,-,,1,-,-,-,-,-,-,-,-,1,2.0
"Waite, Vin",,,,,1,,,,1,1,,,1,-,,,,,,-,4.0
"Walls, Robert",,2,2,1,,,,,,,,,,-,-,-,-,,,,5.0
Totals,18,12,10,16,11,10,11,11,14,11,12,10,11,6,7,11,8,10,14,11,224.0
Opponent,FI,HW,NM,ME,SK,CW,SM,GE,RI,FO,ES,FI,HW,NM,ME,SK,CW,SM,RI,GE,
