Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,Tot
"Bowey, Jake",-,-,-,-,-,-,-,-,-,-,-,-,,,
"Brayshaw, Angus",-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Brown, Ben",1,4,-,,,,,,,,,,,,5.0
"Chandler, Kade",-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Fritsch, Bayley",,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Gawn, Max",21,2,,,,17,21,17,17,30,35,20,17,23,220.0
"Grundy, Brodie",12,45,25,33,24,14,27,16,18,15,20,11,26,19,305.0
"Harmes, James",-,-,,,,,-,-,,,-,-,,,
"Hibberd, Michael",,,-,-,,-,-,,-,-,-,,-,-,
"Hunter, Lachie",-,-,-,-,-,-,-,-,-,-,,-,-,-,
"Jordon, James",,,-,-,-,-,-,-,-,-,-,,-,-,
"Langdon, Ed",-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Laurie, Bailey",-,,,,,-,,,,,,,,,
"Lever, Jake",-,-,-,-,,-,-,-,-,-,-,-,-,-,
"May, Steven",,,-,-,-,-,-,-,-,-,-,-,-,-,
"McDonald, Tom",2,1,,2,3,,,,,-,-,,,,8.0
"McVee, Judd",-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Melksham, Jake",-,-,-,,-,,,,,,,,,,
"Neal-Bullen, Alex",-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Oliver, Clayton",-,-,-,-,-,-,-,-,-,-,,,,,
"Petracca, Christian",-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Petty, Harry",-,-,1,6,-,-,,2,-,,,,,-,9.0
"Pickett, Kysaiah",-,,,-,-,-,-,-,-,-,-,-,-,-,
"Rivers, Trent",-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Salem, Christian",,,,,,,,,,-,-,-,-,-,
"Schache, Josh",,,,,,,-,,,,,,,,
"Smith, Joel",,,,,,,,,,,,-,-,-,
"Spargo, Charlie",-,-,-,-,-,,,,-,-,-,-,-,-,
"Sparrow, Tom",-,-,-,-,-,-,-,-,-,,-,-,-,-,
"Tomlinson, Adam",-,-,,,-,,,,,,,-,-,,
"Turner, Daniel",,,,,,,,-,,,,,,,
"Viney, Jack",,-,-,-,-,-,-,-,-,-,-,-,-,-,
"van Rooyen, Jacob",,,3,7,4,-,-,2,3,-,1,2,3,5,30.0
Totals,36,52,29,48,31,31,48,37,38,45,56,33,46,47,577.0
Opponent,WB,BL,SY,WC,ES,RI,NM,GC,HW,PA,FR,CA,CW,GE,
