Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,PF,Tot
"Bassett, Nathan",2,1,2,3,1,-,2,3,2,3,1,-,3,1,3,3,1,3,1,3,-,-,3,2,2,45.0
"Begley, James",2,,-,-,3,,1,,,,,,,,,,,,,,,,,,,6.0
"Biglands, Rhett",,1,1,-,1,1,-,2,2,1,-,3,4,2,5,1,2,4,2,2,1,3,2,-,4,44.0
"Bock, Nathan",,,,,,,,1,1,-,-,2,3,-,3,,1,4,2,1,1,2,,1,1,23.0
"Bode, Matthew",3,-,,,,,,,,,,,,,,,,,,,,,,,,3.0
"Burton, Brett",-,,,,,2,3,5,1,4,-,1,2,1,3,2,1,1,3,4,1,,1,6,3,44.0
"Clarke, Matthew",-,,,,,,,,,,,,,,,,,,,,-,-,1,1,-,2.0
"Doughty, Michael",2,4,-,2,-,3,,3,3,3,3,-,2,-,2,3,3,3,5,2,3,-,4,1,1,52.0
"Edwards, Tyson",2,1,5,4,3,3,1,1,3,-,3,3,2,4,5,3,-,4,6,1,5,2,6,3,3,73.0
"Goodwin, Simon",,3,1,3,4,3,1,-,3,3,4,4,5,2,4,-,2,2,2,1,5,4,4,1,3,64.0
"Hart, Ben",1,2,,,,-,-,3,1,-,-,2,2,6,2,1,2,1,1,2,-,-,1,4,4,35.0
"Hentschel, Trent",-,2,-,1,2,1,-,1,,,,,5,2,1,2,-,3,3,-,3,2,1,1,1,31.0
"Hudson, Ben",1,2,1,-,-,3,1,-,2,2,2,1,-,1,2,-,-,-,-,2,,,,,,20.0
"Jericho, Luke",,,,,,,,1,1,-,1,1,,,,,,,,,,,,,,4.0
"Johncock, Graham",3,4,4,4,2,7,2,,,,,,,,,,,1,1,2,-,-,2,3,2,37.0
"Knights, Chris",,,,,,,,,,,,,,,-,1,,,,,,,,,,1.0
"Massie, Kris",,,,,1,,,,,,,,,,,,,,,,,-,3,,,4.0
"Mattner, Martin",5,4,5,1,4,8,2,7,4,4,1,4,4,5,3,6,5,10,3,3,1,,4,1,4,98.0
"McGregor, Ken",1,1,2,1,1,-,2,,-,2,-,4,3,3,2,2,1,4,-,-,-,2,4,1,1,37.0
"McLeod, Andrew",8,1,2,-,2,2,3,1,1,1,2,3,-,3,1,3,2,3,-,-,1,3,4,4,1,51.0
"Perrie, Ian",-,-,-,2,-,2,1,2,-,1,2,2,1,1,-,-,1,4,1,1,4,-,2,1,-,28.0
"Reilly, Brent",1,3,4,2,1,2,1,1,3,-,3,3,2,1,1,1,1,4,3,2,-,2,4,,,45.0
"Ricciuto, Mark",2,2,1,-,3,6,2,2,2,-,1,4,2,2,3,1,1,4,3,4,-,1,,1,5,52.0
"Rutten, Ben",4,1,1,-,1,2,2,2,-,-,-,-,1,1,1,1,1,1,1,3,2,2,-,-,-,27.0
"Shirley, Robert",-,3,-,2,,3,2,4,2,3,7,6,6,5,4,5,1,8,4,-,3,2,3,3,3,79.0
"Skipworth, Hayden",1,3,1,4,3,2,1,3,1,3,-,5,4,1,,,,,-,4,1,2,4,3,3,49.0
"Stevens, Mark",-,-,,,,,,,,,,,,,,,,,,,,,,,,
"Thompson, Scott",,1,5,1,4,7,2,4,6,4,5,3,7,3,2,1,4,11,3,2,2,1,9,5,4,96.0
"Torney, Jason",,,-,1,2,2,1,1,2,1,1,4,1,,1,1,2,,,,,,,5,3,28.0
"Welsh, Scott",1,-,-,1,2,2,3,2,-,1,,-,2,2,,3,1,5,-,-,2,3,2,1,2,35.0
"van Berlo, Nathan",,,-,1,1,,,,,,-,,,1,1,3,2,2,,,,-,-,,,11.0
Totals,39,39,35,33,41,61,33,49,40,36,36,55,61,47,49,43,34,82,44,39,35,31,64,48,50,1124.0
Opponent,WC,CW,PA,SY,WB,KA,ME,BL,SK,CA,ES,GE,RI,FR,HW,WB,KA,SY,ME,PA,CW,WC,SK,PA,WC,
