Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,SF,PF,GF,Tot
"Antonie, Colin",,-,1,1,-,-,,,,,,,,,,,,,,,,,,,,2.0
"Barrot, Bill",-,-,,,,,,,,,,,,,,,,,,,,,,,,
"Besanko, Neil",,,,,,,,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Bonney, John",-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,
"Breen, Barry",-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Cayzer, Geoff",,,,1,,,,,,,,,,,,,,,,,,,,,,1.0
"Colling, Gary",-,1,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Davis, Allan",-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,,-,-,
"Ditterich, Carl",,,,,,10,6,7,8,15,,,,4,2,22,14,,6,2,11,8,5,9,8,137.0
"Elliott, Glenn",,-,-,,-,-,-,-,-,-,,,-,-,-,-,-,-,-,1,-,-,-,,-,1.0
"Galt, Rod",8,10,6,,,,,,,,4,6,6,3,1,9,,12,7,16,17,13,8,6,5,137.0
"Grambeau, Shane",,,-,,,,,,,,,,,,,,1,,,,,-,,,,1.0
"Judson, Wayne",,,,,,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,
"Lawrence, Barry",-,-,-,-,,,-,-,-,-,-,,,-,-,-,-,-,-,,,,-,-,-,
"Lilley, Jon",,,,-,-,,,,,,,,,,,-,,,,,,,,,,
"Manzie, John",,-,-,-,-,,-,-,,,-,-,-,,,-,,,,-,-,,,-,-,
"McIntosh, John",-,-,-,-,2,-,3,-,5,1,3,5,-,5,-,4,3,2,-,-,1,-,1,,,35.0
"Moran, Jeff",,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,
"Murray, Bob",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,1.0
"Mynott, Brian",16,19,18,21,13,24,19,23,17,22,18,17,20,18,21,,26,19,22,16,4,,19,30,16,438.0
"Neale, Kevin",-,,,6,4,5,6,1,9,3,3,11,8,-,4,6,1,-,1,-,1,2,-,1,-,72.0
"ODea, Jim",-,,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
"Payze, Travis",1,-,1,-,-,-,-,-,1,2,1,1,-,2,-,-,-,1,-,-,,-,-,-,1,11.0
"Rae, Stephen",-,-,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,
"Smith, Ross",-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0
"Smythe, Keith",-,-,,,-,-,1,-,-,-,-,-,-,,,,,,,,,,,,,1.0
"Stephens, John",-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
"Theodore, Stephen",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Trott, Stuart",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1.0
"Ward, Geoff",-,,,-,-,,,,-,-,,-,-,,,,,,,,,,,-,,
Totals,26,30,26,29,19,40,35,31,41,43,30,40,34,32,28,41,45,34,36,35,34,23,33,46,31,842.0
Opponent,GE,NM,RI,HW,CA,ES,FI,CW,ME,SM,FO,GE,NM,RI,HW,CA,ES,FI,CW,ME,SM,FO,HW,RI,HW,
