Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R12,R13,R15,R16,R17,R18,R19,R20,R21,R22,R23,EF,SF,Tot
"Atkins, Rory",,,,,,,,,,,,,,-,-,,-,-,-,-,-,-,,
"Betts, Eddie",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Brown, Luke",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Cameron, Charlie",-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Cheney, Kyle",-,-,,,-,-,-,-,-,-,-,-,,,,,,,,,,-,-,
"Crouch, Matt",,,,,,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,
"Dangerfield, Patrick",-,-,2,-,1,1,5,-,1,1,-,3,1,4,1,2,2,-,1,1,1,1,4,32.0
"Douglas, Richard",-,-,1,-,-,,,,,,-,-,-,1,-,-,,,-,-,-,-,-,2.0
"Ellis-Yolmen, Cam",2,-,1,2,1,,,2,1,-,-,2,2,,,,,,,,,,,13.0
"Grigg, Mitch",,-,,,,-,-,-,-,-,,,,,,,,,,,,,,
"Hartigan, Kyle",-,-,-,-,,,,,,-,-,1,-,-,-,-,-,1,-,-,-,-,-,2.0
"Henderson, Ricky",-,-,-,-,-,,-,,,,,,-,-,-,-,-,-,-,-,-,-,-,
"Jacobs, Sam",26,32,55,43,29,28,40,25,22,39,40,38,33,51,39,32,38,38,47,32,52,39,41,859.0
"Jaensch, Matthew",-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,
"Jenkins, Josh",3,6,6,3,8,,,4,3,4,5,2,1,-,5,2,1,10,7,3,3,1,2,79.0
"Kelly, Jake",,,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,
"Kerridge, Sam",,,,,,,,-,,,,,,,,,,,,,,,,
"Knight, Riley",,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,
"Laird, Rory",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Lever, Jake",,,,,,-,-,-,-,,,,-,-,-,-,-,-,,1,-,,,1.0
"Lynch, Tom",-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0
"Lyons, Jarryd",-,,,-,,-,-,-,-,,,,,,,-,-,-,-,-,-,,-,
"Mackay, David",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,
"Martin, Brodie",,,,,,,,,-,,,,,1,-,,,,,,,,,1.0
"Shaw, Sam",,,,,,,,,,,,,,,-,,,,-,,,,,
"Sloane, Rory",1,-,-,-,-,-,,,,-,1,2,,,-,-,-,-,1,-,1,1,-,7.0
"Smith, Brodie",-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Talia, Daniel",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,
"Thompson, Scott",,,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1.0
"Walker, Taylor",-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1.0
"Wright, Matthew",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
"van Berlo, Nathan",-,-,1,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,1.0
Totals,32,38,66,48,39,30,46,31,27,44,46,49,38,57,45,36,41,49,56,37,57,42,47,1001.0
Opponent,NM,CW,ME,WB,PA,GC,SK,GW,FR,CA,HW,BL,WC,PA,GC,SY,RI,ES,BL,WC,GE,WB,HW,
