Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R12,R13,R15,R16,R17,R18,R19,R20,R21,R22,R23,EF,SF,Tot
"Atkins, Rory",,,,,,,,,,,,,,-,-,,-,-,-,2,-,-,,2.0
"Betts, Eddie",2,1,2,-,-,2,1,1,-,-,2,1,-,-,1,-,-,1,1,4,-,1,-,20.0
"Brown, Luke",-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,3.0
"Cameron, Charlie",1,1,-,,-,-,-,1,-,2,2,3,-,1,-,-,-,3,1,1,-,1,-,17.0
"Cheney, Kyle",-,-,,,-,-,-,-,-,-,-,-,,,,,,,,,,-,-,
"Crouch, Matt",,,,,,-,1,-,-,-,-,-,-,1,,-,-,-,-,-,-,-,-,2.0
"Dangerfield, Patrick",2,1,-,-,-,1,-,-,-,-,-,3,1,-,1,-,-,3,1,1,-,1,-,15.0
"Douglas, Richard",2,-,3,-,-,,,,,,1,-,2,1,3,-,,,-,-,-,2,-,14.0
"Ellis-Yolmen, Cam",1,1,-,-,2,,,-,-,-,1,-,1,,,,,,,,,,,6.0
"Grigg, Mitch",,-,,,,1,1,1,-,1,,,,,,,,,,,,,,4.0
"Hartigan, Kyle",-,-,-,-,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Henderson, Ricky",-,1,-,-,2,,-,,,,,,-,-,-,-,1,1,-,1,-,-,-,6.0
"Jacobs, Sam",-,-,-,-,-,1,-,-,1,-,-,1,-,1,-,-,1,2,-,-,1,-,1,9.0
"Jaensch, Matthew",-,-,-,-,1,-,-,,,,,,,,,,,,,,,,,1.0
"Jenkins, Josh",2,-,-,-,-,,,1,1,-,-,1,2,-,2,-,-,1,3,-,1,-,1,15.0
"Kelly, Jake",,,-,-,-,-,-,-,-,1,-,-,,,,,,,,,,,,1.0
"Kerridge, Sam",,,,,,,,-,,,,,,,,,,,,,,,,
"Knight, Riley",,,,,,,,,,,,,-,1,2,1,1,2,1,-,1,1,-,10.0
"Laird, Rory",-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0
"Lever, Jake",,,,,,-,-,-,-,,,,-,-,-,-,1,-,,-,-,,,1.0
"Lynch, Tom",1,1,1,-,2,3,1,1,1,-,1,-,3,2,2,3,-,3,1,2,1,1,-,30.0
"Lyons, Jarryd",-,,,-,,1,-,-,-,,,,,,,-,2,-,1,1,-,,2,7.0
"Mackay, David",-,-,-,1,1,-,-,-,-,-,-,-,-,1,1,-,-,1,,,,1,-,6.0
"Martin, Brodie",,,,,,,,,-,,,,,1,-,,,,,,,,,1.0
"Shaw, Sam",,,,,,,,,,,,,,,1,,,,1,,,,,2.0
"Sloane, Rory",-,2,-,1,-,1,,,,-,1,1,,,1,-,1,1,2,1,1,3,-,16.0
"Smith, Brodie",1,-,-,-,1,3,-,,,1,-,-,-,1,-,1,-,1,2,-,-,-,-,11.0
"Talia, Daniel",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,
"Thompson, Scott",,,1,-,-,-,1,1,-,-,1,-,-,1,1,-,-,1,-,-,1,-,-,8.0
"Walker, Taylor",2,1,-,-,-,1,3,1,-,1,1,-,1,3,1,-,-,-,1,2,-,1,-,19.0
"Wright, Matthew",1,-,-,2,-,-,2,2,-,1,-,-,1,-,-,-,,,,,,,,9.0
"van Berlo, Nathan",1,1,-,1,-,1,1,-,-,-,-,-,-,,,,1,-,1,-,-,-,1,8.0
Totals,16,11,8,5,9,15,11,9,3,9,10,10,12,14,16,5,8,20,16,15,6,12,5,245.0
Opponent,NM,CW,ME,WB,PA,GC,SK,GW,FR,CA,HW,BL,WC,PA,GC,SY,RI,ES,BL,WC,GE,WB,HW,
