Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R12,R13,R15,R16,R17,R18,R19,R20,R21,R22,R23,EF,SF,Tot
"Atkins, Rory",,,,,,,,,,,,,,-,-,,-,-,-,-,-,-,,
"Betts, Eddie",1,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,7.0
"Brown, Luke",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Cameron, Charlie",-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Cheney, Kyle",-,-,,,-,-,-,-,-,-,-,-,,,,,,,,,,-,-,
"Crouch, Matt",,,,,,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,
"Dangerfield, Patrick",2,1,-,-,3,-,-,-,2,-,3,-,-,-,3,-,3,3,-,2,-,-,-,22.0
"Douglas, Richard",-,-,-,-,-,,,,,,-,-,-,-,-,-,,,-,-,-,-,-,
"Ellis-Yolmen, Cam",-,-,-,-,-,,,-,-,-,-,-,-,,,,,,,,,,,
"Grigg, Mitch",,-,,,,-,-,-,-,-,,,,,,,,,,,,,,
"Hartigan, Kyle",-,-,-,-,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Henderson, Ricky",-,-,-,-,-,,-,,,,,,-,-,-,-,-,-,-,-,-,-,-,
"Jacobs, Sam",-,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,4.0
"Jaensch, Matthew",-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,
"Jenkins, Josh",-,-,-,-,-,,,-,-,2,-,-,-,-,-,-,-,-,-,1,-,-,-,3.0
"Kelly, Jake",,,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,
"Kerridge, Sam",,,,,,,,-,,,,,,,,,,,,,,,,
"Knight, Riley",,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,
"Laird, Rory",-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0
"Lever, Jake",,,,,,-,-,-,-,,,,-,-,-,-,-,-,,-,-,,,
"Lynch, Tom",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,2.0
"Lyons, Jarryd",-,,,-,,-,-,-,-,,,,,,,-,-,-,-,-,-,,-,
"Mackay, David",-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,1.0
"Martin, Brodie",,,,,,,,,-,,,,,-,-,,,,,,,,,
"Shaw, Sam",,,,,,,,,,,,,,,-,,,,-,,,,,
"Sloane, Rory",-,-,2,-,-,-,,,,-,1,-,,,-,-,-,-,1,-,-,-,-,4.0
"Smith, Brodie",-,3,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,3,-,-,-,6.0
"Talia, Daniel",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,
"Thompson, Scott",,,3,-,-,-,2,-,-,-,-,3,-,3,1,-,-,-,-,-,-,-,-,12.0
"Walker, Taylor",3,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,1,-,3,-,-,-,-,10.0
"Wright, Matthew",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
"van Berlo, Nathan",-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,
Totals,6,6,6,0,3,6,5,0,2,2,4,3,0,4,4,0,4,6,6,6,0,0,0,73.0
Opponent,NM,CW,ME,WB,PA,GC,SK,GW,FR,CA,HW,BL,WC,PA,GC,SY,RI,ES,BL,WC,GE,WB,HW,
