Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R12,R13,R15,R16,R17,R18,R19,R20,R21,R22,R23,EF,SF,Tot
"Atkins, Rory",,,,,,,,,,,,,,-,-,,-,-,-,-,-,-,,
"Betts, Eddie",6,-,-,-,-,-,-,-,-,-,-,-,-,3,-,1,-,-,-,-,-,-,-,10.0
"Brown, Luke",1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,5.0
"Cameron, Charlie",-,-,-,,2,-,-,1,1,-,-,1,-,-,-,-,-,1,4,-,-,-,-,10.0
"Cheney, Kyle",1,-,,,-,-,-,1,-,1,1,-,,,,,,,,,,-,-,4.0
"Crouch, Matt",,,,,,-,-,-,-,-,-,-,-,-,,-,-,1,-,-,-,-,-,1.0
"Dangerfield, Patrick",-,-,-,-,2,-,-,-,-,-,1,2,1,-,-,-,-,-,-,-,1,-,1,8.0
"Douglas, Richard",-,-,-,-,-,,,,,,-,-,-,1,1,1,,,-,-,-,-,-,3.0
"Ellis-Yolmen, Cam",-,-,1,-,-,,,-,-,-,-,-,-,,,,,,,,,,,1.0
"Grigg, Mitch",,-,,,,2,-,-,2,1,,,,,,,,,,,,,,5.0
"Hartigan, Kyle",-,-,-,-,,,,,,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1.0
"Henderson, Ricky",-,1,-,1,-,,1,,,,,,-,1,-,5,1,1,1,-,-,1,-,13.0
"Jacobs, Sam",-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Jaensch, Matthew",1,-,-,1,1,3,1,,,,,,,,,,,,,,,,,7.0
"Jenkins, Josh",-,-,-,-,-,,,-,-,-,-,1,-,3,-,1,-,1,-,-,1,-,1,8.0
"Kelly, Jake",,,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,
"Kerridge, Sam",,,,,,,,-,,,,,,,,,,,,,,,,
"Knight, Riley",,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,1,-,1.0
"Laird, Rory",-,-,-,-,-,2,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,5.0
"Lever, Jake",,,,,,-,-,-,-,,,,1,-,-,-,-,-,,-,1,,,2.0
"Lynch, Tom",-,1,-,1,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,4.0
"Lyons, Jarryd",-,,,-,,-,-,1,-,,,,,,,-,-,-,-,-,-,,-,1.0
"Mackay, David",1,-,-,2,2,-,2,-,-,-,-,1,-,1,-,1,-,2,,,,-,-,12.0
"Martin, Brodie",,,,,,,,,-,,,,,-,-,,,,,,,,,
"Shaw, Sam",,,,,,,,,,,,,,,-,,,,-,,,,,
"Sloane, Rory",3,1,2,2,-,-,,,,1,-,-,,,1,-,-,-,-,-,-,4,-,14.0
"Smith, Brodie",5,1,-,1,1,1,-,,,-,-,-,-,1,-,1,-,3,-,3,-,1,-,18.0
"Talia, Daniel",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,
"Thompson, Scott",,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Walker, Taylor",1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,2,-,5.0
"Wright, Matthew",-,-,-,-,-,-,2,-,-,-,-,2,2,-,-,2,,,,,,,,8.0
"van Berlo, Nathan",-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,
Totals,19,4,4,9,8,8,7,4,3,4,2,8,4,10,2,12,2,9,6,3,6,10,3,147.0
Opponent,NM,CW,ME,WB,PA,GC,SK,GW,FR,CA,HW,BL,WC,PA,GC,SY,RI,ES,BL,WC,GE,WB,HW,
