Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R12,R13,R15,R16,R17,R18,R19,R20,R21,R22,R23,EF,SF,Tot
"Atkins, Rory",,,,,,,,,,,,,,On,On,,-,-,-,-,-,Off,,2/1
"Betts, Eddie",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Brown, Luke",Off,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Off,-,-,-,-,0/2
"Cameron, Charlie",-,-,Off,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0/1
"Cheney, Kyle",-,-,,,-,-,-,-,-,-,-,-,,,,,,,,,,-,-,
"Crouch, Matt",,,,,,On,-,-,-,On,On,-,-,-,,On,-,-,-,Off,-,-,-,4/1
"Dangerfield, Patrick",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Douglas, Richard",-,-,-,-,-,,,,,,-,-,-,-,-,-,,,-,-,-,-,-,
"Ellis-Yolmen, Cam",-,-,-,-,-,,,-,-,Off,-,On,On,,,,,,,,,,,2/1
"Grigg, Mitch",,On,,,,-,-,-,-,-,,,,,,,,,,,,,,1/0
"Hartigan, Kyle",-,-,-,-,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Henderson, Ricky",-,-,-,-,-,,-,,,,,,-,-,-,-,-,-,-,-,-,-,-,
"Jacobs, Sam",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Jaensch, Matthew",-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,
"Jenkins, Josh",-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Kelly, Jake",,,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,
"Kerridge, Sam",,,,,,,,Off,,,,,,,,,,,,,,,,0/1
"Knight, Riley",,,,,,,,,,,,,-,-,-,Off,Off,-,-,-,-,-,-,0/2
"Laird, Rory",-,-,-,Off,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0/1
"Lever, Jake",,,,,,-,-,-,-,,,,-,-,-,-,-,Off,,-,-,,,0/1
"Lynch, Tom",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Lyons, Jarryd",On,,,On,,-,On,On,On,,,,,,,-,-,-,On,On,On,,On,9/0
"Mackay, David",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,On,On,,,,On,Off,3/1
"Martin, Brodie",,,,,,,,,Off,,,,,-,-,,,,,,,,,0/1
"Shaw, Sam",,,,,,,,,,,,,,,-,,,,-,,,,,
"Sloane, Rory",-,-,-,-,Off,Off,,,,-,-,Off,,,-,-,-,-,-,-,-,-,-,0/3
"Smith, Brodie",-,-,-,-,-,-,Off,,,-,-,-,-,-,-,-,-,-,-,-,Off,-,-,0/2
"Talia, Daniel",-,-,-,-,-,-,-,-,-,-,-,-,-,Off,,-,-,-,-,-,-,-,-,0/1
"Thompson, Scott",,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Walker, Taylor",-,-,-,-,-,-,-,-,-,-,Off,-,-,-,-,-,-,-,-,-,-,-,-,0/1
"Wright, Matthew",-,Off,On,-,On,-,-,-,-,-,-,-,-,-,Off,-,,,,,,,,2/2
"van Berlo, Nathan",-,-,-,-,-,-,-,-,-,-,-,-,Off,,,,-,-,-,-,-,-,-,0/1
Totals,,,,,,,,,,,,,,,,,,,,,,,,
Opponent,NM,CW,ME,WB,PA,GC,SK,GW,FR,CA,HW,BL,WC,PA,GC,SY,RI,ES,BL,WC,GE,WB,HW,
