Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,SF,PF,GF,Tot
"Amos, Mark",,,,,,,,,-,-,-,,,,,,,,3,,,,,,,3.0
"Armstrong, Barry",3,1,4,2,3,5,-,-,1,1,,,,,,,,,,,,,,,,20.0
"Baird, Doug",,,,,,,,,,,,,,,,,,,,,,-,,,,
"Chandler, Neil",7,5,1,4,3,4,1,4,6,5,4,5,4,4,4,3,4,-,,1,1,,-,2,-,72.0
"Crane, Gary",,,,,,,,,,2,4,1,-,1,5,1,9,3,2,4,2,7,4,3,3,51.0
"Crosswell, Brent",8,10,6,5,4,5,3,4,7,8,9,5,4,4,2,3,4,,6,7,3,6,5,12,7,137.0
"Doull, Bruce",3,1,1,4,1,-,,,,,,,,,,,1,-,1,,,,,,,12.0
"Fyffe, Peter",,,,,,,,,,2,2,1,-,-,,,,,,,,,,,,5.0
"Gallagher, Adrian",,,,,,,4,4,2,4,5,9,8,2,7,1,2,3,2,6,6,7,-,3,3,78.0
"Gill, Barry",1,4,4,2,-,2,-,5,-,-,2,2,-,2,3,2,1,-,2,4,4,,2,2,2,46.0
"Goold, John",,,,,,4,5,5,2,1,6,4,1,2,,,,3,2,,3,2,1,-,2,43.0
"Hall, Kevin",3,5,1,-,1,5,3,1,1,4,2,2,3,4,1,4,4,1,,8,1,6,1,-,4,65.0
"Hopkins, Ted",1,5,1,-,2,6,-,3,2,2,,,1,4,2,-,,-,1,-,,,3,-,-,33.0
"Hurst, Paul",2,3,-,-,1,,,,1,,,,,,,,,,,,,,,,,7.0
"Jackson, Syd",,,3,4,3,6,1,7,5,6,6,5,2,2,1,,,2,2,3,4,1,2,8,3,76.0
"Jesaulenko, Alex",6,7,9,4,6,7,4,9,4,7,12,1,1,1,7,8,6,6,1,2,7,8,4,11,3,141.0
"Jones, Peter",7,5,4,5,2,8,5,,,12,,2,9,4,,-,,,,10,5,10,-,7,5,100.0
"Keogh, Trevor",,,,1,1,,,,,,,,,,,,,,,,,,,,,2.0
"Kerr, Peter",,,,,,,,,,,-,2,,,,,,,,,,,,,,2.0
"Lawson-Smith, Gary",,,,,,,,,,-,2,-,,,,,,,,,,,,,,2.0
"Lofts, Wes",3,3,3,3,5,1,4,-,,,4,4,7,2,4,6,1,3,3,,,2,,,,58.0
"Lukas, Andrew",,,,,,,-,-,,,,,,,,,,,,,,,,,,
"McKay, David",3,4,1,4,5,3,3,4,5,4,3,5,8,8,5,7,5,7,2,6,8,8,10,7,9,134.0
"Mulcair, Barry",,,,,,,,,,,,,4,1,-,1,1,3,2,5,-,3,1,1,1,23.0
"Munari, Dennis",-,-,,,,-,,1,6,3,,2,,,,1,1,,,,,2,,,,16.0
"Nicholls, John",2,6,1,2,3,2,2,-,1,3,3,2,-,1,6,4,5,4,2,4,3,3,8,2,1,70.0
"Nicoll, Ian",5,2,3,1,-,6,-,4,3,,3,,2,,,,2,1,2,,,1,,,,35.0
"OConnell, John",,,-,,,,,,,,,,,,,,,,,,,,,,,
"Pinnell, Phillip",2,2,4,3,3,3,3,3,3,1,3,4,5,-,2,3,1,2,-,2,-,,,,2,51.0
"Quirk, Bryan",,,,,,,,,,,,,,,,,,3,2,10,4,5,2,2,,28.0
"Robertson, Ian",-,,2,5,,2,2,3,1,,,,,,6,11,10,1,6,6,4,,5,6,5,75.0
"Silvagni, Sergio",,,,,,,,,,,,,,,7,1,11,3,10,2,2,1,-,6,1,44.0
"Smith, Peter",,,,,,,,,,,,,,2,-,,-,,,,,,,,,2.0
"Thornley, Bert",,1,,2,3,,,,,,2,2,2,-,2,-,,,,1,1,1,-,-,-,17.0
"Waite, Vin",3,6,5,1,2,4,8,1,5,6,4,5,1,3,4,9,3,,,-,4,4,1,-,1,80.0
"Walls, Robert",2,7,4,,5,6,3,5,6,,,,,,8,4,3,7,3,-,3,4,2,7,5,84.0
"Walsh, Brian",3,2,,,,,,,,,,,,,,,,,,,,,,,,5.0
Totals,64,79,57,52,53,79,51,63,61,71,76,63,62,47,76,69,74,52,54,81,65,81,51,79,57,1617.0
Opponent,ES,GE,RI,NM,SK,FI,SM,CW,HW,FO,ME,ES,GE,RI,NM,SK,FI,SM,CW,HW,FO,ME,CW,SK,CW,
