Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,SF,PF,GF,Tot
"Amos, Mark",,,,,,,,,-,-,-,,,,,,,,-,,,,,,,
"Armstrong, Barry",-,-,-,1,1,-,-,-,-,-,,,,,,,,,,,,,,,,2.0
"Baird, Doug",,,,,,,,,,,,,,,,,,,,,,-,,,,
"Chandler, Neil",-,-,-,-,1,-,-,2,-,-,-,-,1,-,-,-,-,-,,-,1,,-,-,-,5.0
"Crane, Gary",,,,,,,,,,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1.0
"Crosswell, Brent",2,1,-,-,-,1,1,-,-,-,2,2,1,1,1,1,-,,-,1,-,-,1,-,2,17.0
"Doull, Bruce",-,-,-,-,-,-,,,,,,,,,,,-,-,-,,,,,,,
"Fyffe, Peter",,,,,,,,,,-,-,-,-,-,,,,,,,,,,,,
"Gallagher, Adrian",,,,,,,2,-,2,-,5,2,1,1,1,1,2,1,-,1,2,1,1,-,2,25.0
"Gill, Barry",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,,-,-,-,1.0
"Goold, John",,,,,,-,-,-,-,-,-,-,-,-,,,,-,-,,-,-,-,-,-,
"Hall, Kevin",-,-,-,-,-,-,2,-,-,-,-,1,-,-,-,-,-,-,,-,-,-,1,-,-,4.0
"Hopkins, Ted",-,-,-,-,-,-,-,-,-,-,,,1,2,1,-,,-,-,-,,,2,-,4,10.0
"Hurst, Paul",-,-,-,-,-,,,,-,,,,,,,,,,,,,,,,,
"Jackson, Syd",,,3,4,1,6,1,4,4,2,3,2,3,4,-,,,2,-,2,5,1,1,6,1,55.0
"Jesaulenko, Alex",9,6,6,5,4,10,3,4,3,6,7,3,-,1,2,9,3,4,1,4,5,5,8,4,3,115.0
"Jones, Peter",2,3,2,3,1,1,1,,,1,,-,1,-,,-,,,,2,3,4,-,4,-,28.0
"Keogh, Trevor",,,,1,1,,,,,,,,,,,,,,,,,,,,,2.0
"Kerr, Peter",,,,,,,,,,,-,-,,,,,,,,,,,,,,
"Lawson-Smith, Gary",,,,,,,,,,-,-,-,,,,,,,,,,,,,,
"Lofts, Wes",-,-,-,-,-,-,-,-,,,1,1,3,-,-,-,-,-,-,,,-,,,,5.0
"Lukas, Andrew",,,,,,,-,-,,,,,,,,,,,,,,,,,,
"McKay, David",-,-,-,-,-,-,-,-,-,3,-,1,-,-,3,3,2,-,-,3,-,-,-,-,-,15.0
"Mulcair, Barry",,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Munari, Dennis",-,-,,,,-,,-,-,-,,-,,,,-,-,,,,,2,,,,2.0
"Nicholls, John",1,4,3,1,1,2,-,-,-,2,1,-,-,-,4,2,1,1,-,-,2,-,-,1,2,28.0
"Nicoll, Ian",2,1,-,-,1,1,-,1,-,,2,,-,,,,1,-,-,,,-,,,,9.0
"OConnell, John",,,-,,,,,,,,,,,,,,,,,,,,,,,
"Pinnell, Phillip",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,
"Quirk, Bryan",,,,,,,,,,,,,,,,,,2,-,-,-,-,-,-,,2.0
"Robertson, Ian",-,,-,1,,-,-,-,-,,,,,,-,-,-,-,1,3,-,,-,-,-,5.0
"Silvagni, Sergio",,,,,,,,,,,,,,,-,-,-,-,-,2,-,-,-,-,1,3.0
"Smith, Peter",,,,,,,,,,,,,,2,-,,-,,,,,,,,,2.0
"Thornley, Bert",,-,,-,-,,,,,,1,-,-,-,-,-,,,,-,-,-,2,-,-,3.0
"Waite, Vin",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,
"Walls, Robert",3,-,1,,1,2,-,1,1,,,,,,1,-,-,1,-,-,-,1,1,2,2,17.0
"Walsh, Brian",2,1,,,,,,,,,,,,,,,,,,,,,,,,3.0
Totals,21,16,15,16,12,23,10,12,10,14,22,12,12,11,13,16,10,11,2,18,18,14,17,17,17,359.0
Opponent,ES,GE,RI,NM,SK,FI,SM,CW,HW,FO,ME,ES,GE,RI,NM,SK,FI,SM,CW,HW,FO,ME,CW,SK,CW,
