Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SF,PF,Tot
"Brown, John",1,-,-,-,-,,,-,-,-,-,,,,,,,,,-,1.0
"Brushfield, Brian",,,,,-,-,-,-,,,,,,,,,,,,,
"Callan, Terry",,,,,,,,,,,,,-,,,1,-,,,,1.0
"Closter, Wayne",-,-,-,-,,-,-,-,1,-,,-,-,-,-,-,-,-,-,,1.0
"Devine, John",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Eales, Colin",,,,,,,-,,,-,,,,-,,,1,-,,,1.0
"Farmer, Graham",1,-,1,1,1,2,-,,-,2,2,1,-,-,-,-,-,-,1,-,12.0
"Fox, John",-,-,,,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,
"Goggin, Bill",1,1,1,-,-,1,1,,-,1,-,-,1,2,1,1,-,-,1,-,12.0
"Goodland, Ken",-,,,,,,,,,,,,,,,,,,,,
"Hamer, Garry",,,,,,-,-,,-,,,1,,,,,,1,,,2.0
"Hosking, Ron",,,,,,,,,,,,,,,,-,-,,,,
"Hynes, Gordon",1,1,2,2,-,2,,,,,,1,1,2,1,,,,,,13.0
"Kirkpatrick, Kevin",,,-,-,,,,,,,,,,,,,,,,,
"Lord, Alistair",-,1,-,-,2,-,-,-,-,-,-,-,-,1,-,1,,1,-,-,6.0
"Lord, Stewart",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Marshall, Denis",,,,,,,,1,1,-,1,-,-,1,-,-,,,1,-,5.0
"Newman, Sam",,,-,-,,-,-,-,1,1,2,1,1,-,-,-,-,1,-,-,7.0
"Polinelli, Tony",1,1,1,1,1,-,,-,3,1,-,-,2,,1,2,2,3,3,-,22.0
"Rosenow, Geoff",,-,,,,,,1,-,-,-,-,-,-,,,,,,,1.0
"Routley, Hugh",,,,,,,-,-,,,,,,,,,-,-,-,-,
"Ryan, Bill",-,,1,-,-,,2,1,2,3,3,1,-,1,1,-,,,,,15.0
"Scott, Ian",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Sharrock, John",3,2,1,1,-,2,-,-,,1,4,1,1,1,1,,1,1,-,1,21.0
"Stephens, Darryl",,,,,,,,,,,,,,,,,,,,-,
"Teasdale, Alan",,,,,,,,,-,,,,,,,,,,,,
"Vinar, Paul",-,-,-,-,-,-,-,-,,-,-,-,,-,-,,,1,1,-,2.0
"Wade, Doug",5,6,4,1,4,3,7,3,2,,,,,,,1,1,,3,1,41.0
"Walker, Peter",,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,
"Watts, John",-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1.0
"West, Roy",-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,,
"Wooller, Fred",3,2,-,2,1,-,1,,,2,1,-,1,,1,1,6,2,2,2,27.0
"Yeates, John",1,-,,,2,1,,,,,-,,,2,-,1,1,1,-,1,10.0
Totals,17,14,11,8,11,11,11,6,10,11,13,7,7,10,6,8,12,11,12,5,201.0
Opponent,ME,CW,FI,ES,SM,RI,SK,FO,HW,NM,CA,ME,CW,FI,ES,SM,RI,SK,ES,CW,
