Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,Tot
"Bergman, Miller",-,-,-,,,,,-,-,-,-,-,-,-,
"Bonar, Aiden",-,,,-,,,,,,,,,,,
"Coleman-Jones, Callum",,,,,,,5,,,8,4,4,8,9,38.0
"Comben, Charlie",12,1,2,-,5,1,-,,,,,,,,21.0
"Corr, Aidan",,-,-,-,-,-,-,-,-,,,,-,-,
"Cunnington, Ben",-,-,-,-,-,-,-,-,,,,,,,
"Curtis, Paul",-,-,-,-,,-,-,-,-,-,-,,-,-,
"Davies-Uniacke, Luke",-,-,,-,-,-,,-,-,,,,,,
"Drury, Blake",,,,,,,,-,-,-,,,,,
"Ford, Eddie",,,,,,,,,,-,-,-,-,-,
"Goater, Josh",-,-,-,,,,,,,,,,,,
"Goldstein, Todd",,27,30,32,33,33,19,27,56,45,32,32,21,43,430.0
"Greenwood, Hugh",11,2,-,-,-,,,,-,-,-,-,,-,13.0
"Hall, Aaron",,,,,,-,-,,,-,-,-,-,,
"Howe, Daniel",,-,-,-,-,-,-,,,-,-,,,,
"Larkey, Nick",-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Lazzaro, Charlie",,,,,,,,-,,,-,,,,
"Logue, Griffin",-,-,-,,-,-,1,14,7,-,-,-,-,-,22.0
"Mahony, Jack",,,,,,,,-,-,,,,,,
"McDonald, Luke",-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"McKay, Ben",,,,,-,-,-,-,-,-,-,-,-,-,
"Perez, Flynn",,,,,,,,-,-,,,,,,
"Phillips, Will",-,,-,-,-,-,,,,-,-,-,-,-,
"Powell, Tom",-,-,-,-,-,-,-,,,-,-,-,-,-,
"Scott, Bailey",-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Sheezel, Harry",-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Shiels, Liam",-,-,-,-,-,-,-,-,-,-,,-,-,-,
"Simpkin, Jy",-,-,,-,-,,-,-,-,-,-,-,,-,
"Spicer, Phoenix",,,,,,,,,-,-,-,-,-,-,
"Stephenson, Jaidyn",-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Taylor, Curtis",-,-,-,-,-,-,-,-,-,,,,,,
"Thomas, Tarryn",,,,,,,,,,,,-,-,-,
"Tucker, Darcy",,,-,-,-,-,-,-,-,,,-,-,,
"Turner, Kayne",-,-,-,-,-,-,-,,,,,,,,
"Wardlaw, George",,,,,,,,,,-,-,-,-,-,
"Xerri, Tristan",9,,,,,,,,,,,,,,9.0
"Ziebell, Jack",-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Zurhaar, Cameron",-,-,-,-,-,-,-,-,-,,-,-,-,-,
Totals,32,30,32,32,38,34,25,41,63,53,36,36,29,52,533.0
Opponent,WC,FR,HW,CA,BL,GC,ME,SK,PA,SY,CW,ES,GW,WB,
