Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SF,Tot
"Andrews, Gareth",,1,4,2,,,,,-,1,2,,,,,,,,,10.0
"Barr, Alan",,,,,-,1,,,,,,,,-,,,,-,-,1.0
"Brown, David",,,,,,,,,,,,,3,1,-,1,,,,5.0
"Chirgwin, Brian",,,,,2,1,-,,,,,,,,,,,,,3.0
"Closter, Wayne",-,-,,1,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,3.0
"Davies, John",,,,,,,,,-,-,-,,,,-,-,,,,
"Devine, John",-,-,-,,,,,-,-,-,-,-,-,-,-,-,1,-,-,1.0
"Eales, Colin",-,-,1,-,1,-,-,-,2,3,,-,1,-,3,1,1,-,-,13.0
"Farman, Terry",,,1,-,,2,-,-,-,-,-,-,,-,,-,,-,,3.0
"Farmer, Graham",-,2,-,2,-,1,-,-,4,1,-,-,-,1,1,2,-,,-,14.0
"Gladman, Ken",-,,,,,,-,-,1,,,,,-,,,,,,1.0
"Goggin, Bill",-,1,1,1,-,2,1,2,4,1,1,1,2,,-,2,1,-,2,22.0
"Graham, Ricky",-,,-,,-,-,-,2,,,,,,,,,1,,,3.0
"Herrod, Darryl",,,-,-,-,-,,,,,,,,,,,-,,,
"Hosking, Ron",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Hynes, Gordon",1,2,2,-,2,1,-,-,2,1,1,3,,,,,,,,15.0
"Lord, Alistair",-,-,-,-,-,-,-,-,-,-,-,-,1,1,,,1,2,3,8.0
"Marshall, Denis",-,-,-,-,-,-,-,,,-,-,-,-,-,-,1,2,-,-,3.0
"Newland, Ken",1,3,1,3,-,2,1,-,1,-,2,-,2,2,-,2,2,1,1,24.0
"Newman, Sam",1,3,2,1,1,-,-,-,,,,-,-,-,3,1,1,3,-,16.0
"Polinelli, Tony",,-,-,4,1,,,,,1,2,-,-,-,-,1,1,-,2,12.0
"Reid, Gordon",,,,,,,,-,-,,-,-,-,,-,,,,,
"Rosenow, Geoff",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Ryan, Bill",-,-,,-,1,6,1,2,2,2,2,1,2,1,-,-,-,2,-,22.0
"Sharrock, John",-,-,-,-,,,1,-,1,4,4,-,4,2,3,1,1,1,2,24.0
"Teasdale, Alan",-,-,,,,,,-,2,-,1,,,,,,,1,-,4.0
"Vinar, Paul",-,-,-,-,-,-,1,-,,,,,-,,-,-,-,-,-,1.0
"Wade, Doug",-,4,-,2,-,4,2,4,5,,,1,2,3,1,4,4,3,4,43.0
"Walker, Peter",-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,
"West, Roy",,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,
Totals,3,16,12,16,8,20,7,10,24,15,15,7,17,11,11,16,16,13,14,251.0
Opponent,ES,SM,FO,SK,RI,NM,CA,CW,FI,HW,ME,ES,SM,FO,SK,RI,NM,CA,ES,
