Player,R1,R2,R3,R4,R5,R6,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,QF,SF,PF,GF,Tot
"Alessio, Steven",-,-,-,3,-,-,-,-,-,,,-,,-,,,,-,,,,,,,3.0
"Bewick, Darren",3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,5.0
"Calthorpe, David",,,,,,,,,,,,-,-,-,,-,-,-,-,,-,-,-,-,
"Cransberg, Peter",-,-,-,,-,,,,,,,,,,,,,,,,,,,,
"Daniher, Anthony",,-,-,,,,-,-,-,-,-,,,,,,,,,,-,,,,
"Daniher, Chris",-,-,-,-,-,-,,,,-,-,-,-,-,,,,,,,-,-,-,-,
"Delaney, Tony",-,-,,,-,,,,,-,,,,,,,,,,,,,,,
"Denham, Sean",-,-,-,,,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0
"Ezard, Alan",,,,,,-,,,,,,,-,-,,,,,,,-,,,,
"Fletcher, Dustin",,-,,-,,-,-,1,,,-,1,-,-,-,2,-,,-,-,,-,-,-,4.0
"Flood, David",,,,,,,-,,-,,,,,,,,,,,,,-,-,,
"Grenvold, David",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Harvey, Mark",-,-,-,-,-,-,3,-,-,-,-,-,2,-,-,-,-,-,-,-,-,,,-,5.0
"Hills, Paul",-,-,-,-,-,-,-,-,-,,,-,,-,-,-,-,,-,-,-,-,-,-,
"Hird, James",-,-,-,2,-,-,-,-,1,3,-,,,,-,,,,,-,,-,-,-,6.0
"Kickett, Derek",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,-,-,-,-,,3.0
"Kilpatrick, Glenn",-,,,,,,,,,,,,-,,,,,,,,,,,,
"Long, Michael",-,,,-,,,,-,-,-,-,-,,-,-,-,-,1,-,-,-,-,-,-,1.0
"Manton, Glenn",-,,,,,,,,,,,-,-,,,,-,-,-,-,,,,,
"Mercuri, Mark",-,2,-,1,-,-,-,-,-,-,-,,,,,-,-,-,-,-,-,-,-,-,3.0
"Misiti, Joe",-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,1.0
"ODonnell, Gary",-,-,-,-,-,-,1,-,-,-,-,3,-,-,2,-,-,-,-,-,-,-,-,-,6.0
"Olarenshaw, Ricky",,,-,-,,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,-,-,
"Plain, Bradley",,,,-,-,,,,,,-,-,-,-,-,,,,,,,,,,
"Ridley, Todd",-,,,-,-,,,,,,,,,,,,,,,,-,,,,
"Salmon, Paul",,,-,-,-,2,,,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,4.0
"Somerville, Peter",,,-,,,-,-,-,,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,
"Sporn, Kieran",-,-,-,,-,,,,,,,,,,,,,,-,,,,,,
"Symons, Michael",,,,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,,,1.0
"Thompson, Mark",,-,-,-,-,-,-,2,-,-,-,-,3,-,-,-,-,-,-,-,,,-,-,5.0
"Wallis, Dean",,-,,,,,,,,-,,,,,-,-,,-,-,-,,,,-,
"Wanganeen, Gavin",-,-,-,-,-,-,2,3,-,-,-,2,-,,3,3,3,2,,-,-,-,-,-,18.0
"Watson, Tim",,,,,,,-,-,-,-,-,-,-,-,-,1,-,-,,,-,-,-,-,1.0
Totals,3,2,0,6,0,3,6,6,1,6,0,6,5,2,5,6,6,3,2,0,0,0,0,0,68.0
Opponent,WC,CA,CW,SY,FO,GE,SK,AD,FI,HW,ME,RI,BB,NM,WC,CA,CW,SY,FO,GE,CA,WC,AD,CA,
