Player,R1,R2,R3,R4,R5,R6,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,QF,SF,PF,GF,Tot
"Alessio, Steven",-,1,-,1,1,3,-,-,-,,,-,,-,,,,2,,,,,,,8.0
"Bewick, Darren",8,1,1,2,-,4,1,4,1,2,-,1,3,1,1,-,4,3,2,1,3,2,6,1,52.0
"Calthorpe, David",,,,,,,,,,,,2,1,-,,1,1,1,-,,-,3,-,1,10.0
"Cransberg, Peter",-,4,-,,1,,,,,,,,,,,,,,,,,,,,5.0
"Daniher, Anthony",,-,-,,,,-,-,-,-,-,,,,,,,,,,-,,,,
"Daniher, Chris",-,-,-,-,-,-,,,,-,-,-,-,-,,,,,,,-,-,-,1,1.0
"Delaney, Tony",1,1,,,-,,,,,-,,,,,,,,,,,,,,,2.0
"Denham, Sean",-,-,-,,,-,-,2,-,-,-,-,1,-,-,-,-,1,1,1,-,-,-,1,7.0
"Ezard, Alan",,,,,,-,,,,,,,-,-,,,,,,,-,,,,
"Fletcher, Dustin",,-,,-,,-,-,-,,,-,-,-,-,-,-,-,,-,-,,-,-,-,
"Flood, David",,,,,,,3,,-,,,,,,,,,,,,,1,-,,4.0
"Grenvold, David",-,1,-,-,-,1,-,-,-,-,-,2,1,1,-,-,-,-,-,-,-,1,-,-,7.0
"Harvey, Mark",2,1,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,,,1,7.0
"Hills, Paul",-,-,-,1,-,1,-,-,-,,,-,,-,-,1,-,,-,-,-,-,-,-,3.0
"Hird, James",-,3,1,6,2,-,4,3,2,4,-,,,,2,,,,,1,,-,1,2,31.0
"Kickett, Derek",1,2,1,-,-,-,3,3,2,2,-,4,1,-,2,3,3,2,8,-,-,-,1,,38.0
"Kilpatrick, Glenn",-,,,,,,,,,,,,-,,,,,,,,,,,,
"Long, Michael",-,,,2,,,,-,1,-,-,1,,-,1,-,1,2,-,-,-,1,1,2,12.0
"Manton, Glenn",-,,,,,,,,,,,-,-,,,,-,-,-,-,,,,,
"Mercuri, Mark",2,1,-,-,-,1,2,3,-,3,1,,,,,1,1,1,-,1,2,2,1,3,25.0
"Misiti, Joe",1,1,1,1,-,-,-,-,2,-,-,-,1,2,-,-,-,-,-,3,,-,-,1,13.0
"ODonnell, Gary",-,2,1,1,-,1,3,-,-,-,1,3,-,1,-,-,-,-,-,-,-,-,1,-,14.0
"Olarenshaw, Ricky",,,2,-,,-,-,1,2,,,,,,-,-,-,-,-,-,-,-,-,-,5.0
"Plain, Bradley",,,,5,3,,,,,,2,5,3,4,1,,,,,,,,,,23.0
"Ridley, Todd",1,,,3,1,,,,,,,,,,,,,,,,-,,,,5.0
"Salmon, Paul",,,5,5,2,10,,,4,4,2,1,2,2,1,1,3,1,2,3,4,4,4,5,65.0
"Somerville, Peter",,,-,,,-,1,-,,-,-,,4,1,2,-,-,-,1,3,-,1,-,-,13.0
"Sporn, Kieran",-,2,1,,1,,,,,,,,,,,,,,-,,,,,,4.0
"Symons, Michael",,,,-,-,2,2,-,1,1,2,-,3,1,1,2,2,3,-,1,2,-,,,23.0
"Thompson, Mark",,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,,,-,-,2.0
"Wallis, Dean",,-,,,,,,,,-,,,,,1,-,,-,-,-,,,,1,2.0
"Wanganeen, Gavin",1,-,1,-,-,-,-,-,-,-,-,-,-,,-,1,-,-,,-,-,-,-,1,4.0
"Watson, Tim",,,,,,,-,-,4,1,2,2,2,-,-,5,3,1,,,3,1,2,-,26.0
Totals,17,20,16,28,11,23,19,16,19,17,10,21,23,13,12,15,18,18,14,14,14,16,17,20,411.0
Opponent,WC,CA,CW,SY,FO,GE,SK,AD,FI,HW,ME,RI,BB,NM,WC,CA,CW,SY,FO,GE,CA,WC,AD,CA,
