Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R12,R13,R14,R15,R16,R17,R18,Tot
"Aliir, Aliir",-,-,-,-,-,,-,-,1,-,,,-,-,-,-,-,1.0
"Amartey, Joel",,,,,,,,,,,,,,,,-,,
"Bell, James",,,,,,,,-,-,-,-,-,1,,,1,-,2.0
"Blakey, Nick",1,-,2,1,1,3,-,-,1,,1,-,1,-,-,-,2,13.0
"Brand, Kaiden",-,-,,,,,,,,,,,,,,,,
"Clarke, Ryan",,,,,-,-,-,1,-,,,,-,-,-,-,-,1.0
"Cunningham, Harry",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1.0
"Dawson, Jordan",-,-,-,-,1,2,1,-,-,-,-,-,1,2,-,,-,7.0
"Florent, Oliver",1,-,1,-,-,-,1,-,1,-,-,-,-,-,-,-,-,4.0
"Foot, Zac",,,,,,,,,,,-,-,,,,,,
"Fox, Robbie",,,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,
"Gray, Sam",-,1,-,,-,-,,-,1,,,,,,,,,2.0
"Hayward, Will",-,1,-,-,-,-,-,,1,-,-,-,-,1,-,-,-,3.0
"Heeney, Isaac",1,1,2,2,1,-,,,,,,,,,,,,7.0
"Hewett, George",,-,-,-,-,-,-,,,,,,,,,,,
"Kennedy, Josh",-,-,1,-,1,-,,,,,,-,-,1,-,-,-,3.0
"Ling, Matt",,,,,,,,-,-,-,,,,,,,,
"Lloyd, Jake",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"McCartin, Tom",1,-,1,,,,-,-,-,-,-,-,-,-,-,-,-,2.0
"McInerney, Justin",-,-,,-,-,,,,,,,,-,-,-,-,-,
"McLean, Hayden",,,-,1,-,-,,,,,,,,-,-,,,1.0
"Melican, Lewis",,,,,-,,,,,-,-,-,-,-,-,-,-,
"Mills, Callum",-,-,-,-,-,1,-,-,-,-,-,-,-,,,-,-,1.0
"Naismith, Sam",-,,,-,,,,,,,,,,,,,,
"ORiordan, Colin",-,-,-,,-,-,-,,,,-,-,,,,,,
"Papley, Tom",2,1,1,2,1,1,-,2,2,2,3,-,-,2,1,2,5,27.0
"Parker, Luke",-,-,-,-,1,-,-,1,1,-,1,-,-,1,-,-,-,5.0
"Rampe, Dane",-,-,-,-,-,-,-,-,-,-,-,,,,,,,
"Reid, Sam",,,,,,,,-,1,1,-,3,-,-,1,-,-,6.0
"Ronke, Ben",-,,,-,-,,,,,,,,,,,,,
"Rowbottom, James",1,1,-,-,1,-,1,-,-,-,-,-,-,-,-,,-,4.0
"Sinclair, Callum",,-,-,1,,,-,1,-,-,-,-,-,-,1,,-,3.0
"Stephens, Dylan",,,,,,1,1,-,,1,-,-,,,,-,-,3.0
"Stoddart, Ryley",,,,,,-,-,,,,,,,,,,,
"Taylor, Elijah",,,,,,,-,1,-,-,,,,,,,,1.0
"Taylor, Lewis",1,1,-,1,,,,-,1,,,,,-,1,-,,5.0
"Thurlow, Jackson",,,,,,,,,,1,-,1,-,-,-,-,-,2.0
"Warner, Chad",,,,,,-,-,,,,,,,,,,,
"Wicks, Sam",,,,,,,,,,-,-,-,1,-,-,-,,1.0
Totals,8,6,8,8,7,8,4,6,10,5,5,4,5,7,4,3,7,105.0
Opponent,AD,ES,NM,WB,WC,RI,GC,HW,SK,CW,GW,FR,PA,ME,CA,BL,GE,
