Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,SF,PF,GF,Tot
"Baker, Reg",1,-,,1,-,,,2,1,3,1,1,-,-,1,-,-,-,-,1,12.0
"Barker, Fred",,,,,,,,,,,,,,,,,-,,,,
"Barry, Bill",-,-,,,,,,-,-,,,,,,,,,,,,
"Beasley, George",2,2,1,-,,,-,,,1,,,,,,,,-,-,-,6.0
"Bird, Tommy",,,,,,,,,,,,,,-,-,,,,,,
"Boyle, Reg",,,-,,,,,,,,,,,,,,,,,,
"Burt, Syd",-,,-,,,,,,,,,,,,,,,,,,
"Chesswas, Harry",1,-,-,-,-,-,1,-,-,1,-,-,1,-,-,-,-,-,-,1,5.0
"Clayden, George",1,-,2,-,1,,-,,,,,,,,,,,,,,4.0
"Collier, Albert",1,2,1,,,,,-,,,,,,,,,,,,,4.0
"Coventry, Gordon",2,,,2,2,6,1,2,4,5,5,9,2,5,2,5,6,5,5,-,68.0
"Coventry, Syd",,-,-,-,-,-,1,-,-,-,-,1,1,-,-,-,-,1,-,-,4.0
"Dibbs, Charlie",-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,
"Harris, John",,,-,-,1,-,,,-,,,-,,,-,2,1,-,1,-,5.0
"Henry, Bill",,,-,,,,,,,,,,,-,,,,,,,
"Jobson, Jack",,,-,,,,,,,,,,,,,,,,,,
"Lawn, Jim",2,1,4,3,,,,,1,2,1,2,-,,,,,1,-,-,17.0
"Libbis, Billy",,2,1,1,-,1,-,1,-,2,-,-,1,,,1,-,,,,10.0
"Makeham, Bob",,-,1,3,-,2,,,,-,2,,,-,-,,-,-,-,-,8.0
"Milburn, Charlie",-,,,-,-,-,-,-,,-,-,-,-,-,-,-,-,1,-,-,1.0
"Monohan, Jack",,,,,,1,-,,,,,,,,,,,,,,1.0
"Murphy, Frank",,,,,,,-,-,-,-,1,-,-,1,3,-,-,1,-,2,8.0
"Murphy, Laurie",-,-,,1,-,1,-,-,-,-,1,1,-,-,1,1,,-,-,-,6.0
"Poulter, Joe",-,-,-,-,1,-,1,1,3,-,-,-,1,-,-,-,-,,,,7.0
"Saunders, Harry",-,,,,-,-,-,-,-,-,-,-,-,,,-,,,,,
"Shanahan, Jim",,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Stainsby, Les",,,,2,1,2,1,2,1,-,4,-,2,3,1,2,3,2,1,2,29.0
"Tyson, Charles",-,2,,-,1,-,,,,,-,1,1,1,-,1,1,1,1,1,11.0
"Webb, Reynolds",-,1,1,,-,-,-,3,1,1,1,,-,1,-,-,3,-,-,2,14.0
"Wescott, Leo",-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Wilson, Ernie",-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,
Totals,10,10,11,13,7,13,5,11,11,15,16,15,9,11,8,12,14,12,8,9,220.0
Opponent,ES,ME,HW,GE,FI,SM,SK,CA,RI,FO,NM,ES,ME,HW,GE,FI,SM,ES,ME,GE,
