Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,SF,GF,Tot
"Angus, Geoff",-,,-,-,-,-,2,1,-,-,-,-,-,-,1,-,,,,,,3,,-,7.0
"Beck, Ken",,,,,,,,,-,-,-,,,,-,-,,,,,,-,,-,
"Bremner, Ian",-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,,,,,,,,-,-,1.0
"Bussell, Norm",-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,
"Chilton, Peter",,,,,,,,,,,,,,,,,-,-,-,,,,,,
"Chiron, Gene",-,-,-,-,-,-,-,,,,,,,,,,,,,,-,,,,
"Crimmins, Peter",1,2,3,2,-,1,2,1,2,1,2,1,-,2,1,2,1,-,3,-,1,-,-,2,30.0
"Day, Robert",,-,-,1,1,-,3,1,-,1,-,1,-,-,-,-,-,-,2,-,-,-,-,-,10.0
"Douge, Brian",,-,,,,,,,-,,,,,,,,2,-,,-,-,-,,,2.0
"Grummisch, Charlie",-,-,-,1,-,-,-,1,,-,-,-,-,,,,,,,,,,,,2.0
"Hawken, Les",-,,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Heath, Kevin",3,2,1,-,2,-,2,3,1,1,2,-,1,-,-,-,-,-,-,-,2,-,-,-,20.0
"Hudson, Peter",5,4,1,7,5,3,10,7,5,5,5,6,9,7,12,6,9,6,6,3,9,10,7,3,150.0
"Johnson, Ross",,,,-,,-,,,,,,,,,,,,,,,,,,,
"Keddie, Bob",1,2,1,2,-,-,2,1,2,3,-,1,2,-,2,1,2,2,5,3,2,,1,4,39.0
"Knights, Peter",-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,,-,-,2,-,-,-,-,,4.0
"Martello, Alan",-,1,3,2,2,2,-,3,-,1,1,2,-,1,-,-,-,-,2,1,-,-,3,-,24.0
"Matthews, Leigh",2,1,5,3,2,3,-,2,4,3,1,1,2,3,1,,2,-,-,2,3,2,-,1,43.0
"Meagher, Des",-,-,-,-,-,1,-,-,-,-,1,1,-,-,-,-,,,,-,,,-,-,3.0
"Moncrieff, Michael",,-,,,,,,,,,,-,,-,,-,2,1,-,-,-,,,,3.0
"Moore, Kelvin",-,-,-,-,,,-,-,-,-,-,-,-,2,-,-,-,1,-,,-,-,-,-,3.0
"Parkin, David",-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,
"Porter, Michael",1,,-,-,-,3,-,,-,-,,,,,,,3,1,1,-,3,2,-,-,14.0
"Rice, Leon",,,,,,,,1,,,,-,-,-,-,-,-,-,-,1,-,1,-,1,4.0
"Scott, Don",-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,3.0
"Shinners, Brian",,,,,-,,,-,,,,,-,-,2,-,-,-,-,,,,-,,2.0
"Smith, Geoff",-,2,1,,,,,,,,-,,,,,-,,,,,-,-,,,3.0
"Stevenson, Bruce",,,,,-,,-,1,-,-,2,-,-,-,-,2,2,-,2,1,-,-,1,-,11.0
"Stubbs, Ron",-,-,1,-,,-,,,,-,,,,,,,,,,,,,,,1.0
"Tipping, Lindsay",,,,,,,,,,,,,,,,,,,,-,,,,,
"Wilson, Ray",,,,,,,,,,,,,,,,-,-,-,-,-,,-,-,-,
Totals,13,14,16,18,12,16,21,22,14,15,14,14,14,15,20,11,23,11,23,11,20,18,12,12,379.0
Opponent,ES,FI,GE,SK,SM,FO,RI,NM,CA,CW,ME,ES,FI,GE,SK,SM,FO,RI,NM,CA,CW,ME,SK,SK,
