Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,PF,Tot
"Alves, Stan",-,1,-,1,,,1,,2,1,1,-,,,-,-,2,-,-,-,,,-,-,-,9.0
"Baker, Phil",,,-,-,-,-,,,,,,,,,,,,,,,,,,,,
"Blight, Malcolm",7,8,7,5,,3,5,-,1,3,-,,,,,,4,1,-,1,5,1,-,4,5,60.0
"Bond, Shane",,,2,-,,,,,,,,,,,,,,,,,,,,,,2.0
"Boyse, Maurice",,,1,1,2,2,-,-,1,1,-,1,-,,,,,,,,3,,2,-,-,14.0
"Briedis, Arnold",3,1,,,,,,,,2,3,,2,1,2,3,-,,,,,,,,2,19.0
"Bryant, Kevin",-,-,-,-,,-,,,,,-,-,-,3,1,-,2,2,1,-,2,3,3,-,,17.0
"Byrne, John",1,2,2,2,2,,,-,,,,,,,,,,,,,,,,,,9.0
"Cassin, John",-,1,1,1,,-,,,,1,1,,,,,,,,1,-,-,-,5,1,2,14.0
"Cornes, Graham",2,1,,,,,,3,3,1,,,,,,,,,,,,,,,,10.0
"Crosswell, Brent",,,,,,,1,1,-,1,,-,1,4,2,,,,,,1,,,,2,13.0
"Dempsey, Gary",-,1,3,-,-,1,1,-,-,-,-,-,-,-,-,1,1,1,-,2,1,1,1,-,-,14.0
"Dench, David",-,-,-,-,-,-,-,-,,,,,,,,,,,,,-,3,1,-,-,4.0
"Easton, Stephen",,,-,-,1,,1,,1,-,3,-,-,,,,5,2,2,,,,1,2,-,18.0
"Ebert, Russell",1,2,-,-,2,-,-,2,-,-,-,-,-,1,-,2,-,1,2,-,2,-,-,-,-,15.0
"Glendinning, Ross",-,-,,,6,1,3,,10,5,2,-,1,2,5,3,4,5,3,5,3,-,-,1,,59.0
"Good, Kerry",,,,,,,,2,,,4,1,,,,,,-,5,1,,4,,-,,17.0
"Greig, Keith",-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,,,-,1.0
"Gumbleton, Frank",,,,,,,,,,,,,,,,,,,,-,,,,,,
"Henshaw, Ross",,,,,,,,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
"Icke, Stephen",,,-,2,1,-,-,-,1,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,4.0
"Jarrott, Alan",,,,,1,-,-,,,,,-,-,-,-,-,-,-,-,-,2,3,-,-,-,6.0
"Law, John",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
"McCann, Stephen",2,-,-,-,-,1,-,-,-,-,-,1,-,2,-,-,-,-,-,1,-,-,-,-,-,7.0
"Melrose, Graeme",1,-,1,1,-,1,-,-,,,,-,1,1,3,-,-,-,3,1,-,1,3,-,1,18.0
"Montgomery, Ken",,,,,-,-,-,,,-,,,,,,,,,,,,,,,-,
"Murphy, John",,,,,,,,,,,,-,,,1,-,,,-,,3,,1,,,5.0
"Nettlefold, Bill",,,-,,-,2,1,1,-,,-,-,-,-,-,1,,2,,,,,,-,,7.0
"Nolan, Mick",,,,,,,,1,,,,,,-,,-,,,,-,-,-,,,,1.0
"Payne, Glenn",-,1,,,2,,,,1,-,1,,,,,,,,,,,,,,,5.0
"Podolczak, Roger",,,,,,,,,,,,1,2,-,3,-,-,-,,,,,,,,6.0
"Ramsay, Roy",-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,-,
"Schimmelbusch, Daryl",,,,,,,,,-,,,,1,1,-,1,-,,,,,-,,,,3.0
"Schimmelbusch, Wayne",-,2,1,3,2,3,3,1,2,-,1,-,-,-,2,1,1,-,-,-,1,1,-,-,-,24.0
"Smith, Doug",-,-,,,,,,,,,,,,,,,,,,,,,,,,
"Sutton, Darryl",-,-,-,3,-,-,-,2,-,-,-,2,-,-,1,-,-,3,-,-,-,-,-,3,-,14.0
"Tanner, Xavier",,,,,,,,,1,1,-,,-,2,,,-,1,-,4,,4,1,-,1,15.0
Totals,17,20,18,19,19,14,16,13,23,16,16,6,8,17,20,12,19,18,17,15,24,21,18,11,13,410.0
Opponent,ES,FO,CW,GE,SM,RI,CA,FI,ME,HW,SK,ES,FO,GE,CW,SM,RI,CA,FI,ME,HW,SK,CW,CA,CW,
