Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,R17,R18,R19,R20,R21,R22,R23,EF,SF,PF,GF,Tot
"Adams, Marcus",8,14,16,5,5,6,9,,,10,9,,5,8,,,,,,,,,,,,,95.0
"Adcock, Jed",,,,7,4,1,6,8,8,,,,,,,,,16,,,,,,,,,50.0
"Biggs, Shane",22,15,13,22,10,18,7,8,9,11,11,13,12,14,14,13,11,18,14,9,12,9,14,10,13,12,334.0
"Bontempelli, Marcus",11,13,7,6,7,9,13,13,11,11,11,9,10,14,11,15,12,11,15,13,12,10,13,16,14,14,301.0
"Boyd, Matthew",13,14,16,12,18,21,18,23,,15,27,18,19,20,17,17,15,,13,14,21,16,14,10,20,16,407.0
"Boyd, Tom",7,7,8,5,,,,,,,,,,,,5,4,10,2,3,6,4,6,3,2,10,82.0
"Campbell, Tom",,,,,10,5,8,2,7,5,7,7,4,,,,,,,,,,,,,,55.0
"Collins, Kieran",,,,,,,,,4,,,,,,,,,,,,,,,,,,4.0
"Cordy, Zaine",,,,,,,,,,,,,,,,,,7,5,5,5,3,6,8,5,7,51.0
"Dahlhaus, Luke",7,4,18,11,16,10,14,11,10,10,11,4,,,,,,12,13,16,8,7,12,7,17,10,228.0
"Dale, Bailey",,,,,8,2,7,6,,,,,,,,,,,,,,,,,,,23.0
"Daniel, Caleb",12,14,15,15,,,8,11,9,10,11,12,10,11,14,7,10,7,9,15,15,10,17,12,14,11,279.0
"Dickson, Tory",,,,,11,6,7,5,9,8,7,7,5,4,9,10,6,5,13,6,7,9,13,6,6,7,166.0
"Dunkley, Josh",8,3,,,,,,,,14,7,4,4,,,15,8,8,9,9,8,10,6,17,13,9,152.0
"Hamling, Joel",,,7,5,,,,,,,,-,,,,,,3,7,7,7,8,7,6,5,5,67.0
"Honeychurch, Mitch",,,,,,,,,,,,12,8,,,,,,,,,,,,,,20.0
"Hrovat, Nathan",,,,,,,,,,,,,,,,,,,7,14,10,9,,,,,40.0
"Hunter, Lachie",16,19,14,18,14,23,11,14,17,19,20,16,13,23,13,15,18,14,11,13,15,11,16,12,8,8,391.0
"Johannisen, Jason",20,17,9,13,,,,,,,,,,12,13,15,12,16,15,15,27,20,21,9,24,25,283.0
"Jong, Lin",,,3,4,10,14,,,7,,,,8,8,5,4,8,8,7,8,8,9,2,,,,113.0
"Liberatore, Tom",11,7,5,7,10,4,8,12,8,16,9,8,8,11,8,,3,5,,,,,13,6,5,8,172.0
"Macrae, Jack",12,12,8,12,9,17,12,15,15,17,18,8,12,9,13,14,12,7,,,,,9,16,11,13,271.0
"McLean, Toby",13,13,10,5,14,11,9,11,5,5,5,,,,,,,,,,9,,,9,8,8,135.0
"Minson, Will",,,,,,,,,,,,,,4,,,,,,,,5,,,,,9.0
"Morris, Dale",5,7,7,6,11,5,4,5,9,6,8,4,9,4,6,6,3,,7,,,5,2,2,6,2,129.0
"Murphy, Robert",20,16,19,,,,,,,,,,,,,,,,,,,,,,,,55.0
"Picken, Liam",11,17,9,12,12,17,7,19,12,10,12,9,8,13,8,11,10,4,10,15,15,7,14,14,12,12,300.0
"Redpath, Jack",,,,,,,8,11,,12,9,7,4,6,10,11,1,,,,,,,,,,79.0
"Roberts, Fletcher",,,,,,4,6,3,6,6,1,2,3,,4,4,4,3,7,3,4,6,,,4,2,72.0
"Roughead, Jordan",5,4,5,6,6,1,7,6,6,9,4,6,7,8,5,8,12,4,9,8,1,,6,5,2,8,148.0
"Smith, Clay",,,,,,,,,,,,,,6,10,11,8,7,1,6,7,9,3,8,16,8,100.0
"Smith, Roarke",,,,,,,,,,,,,,,,,,,,,8,,,,,,8.0
"Stevens, Koby",8,9,2,17,11,14,,,6,,,,,,5,14,6,6,,,,9,,,,,107.0
"Stringer, Jake",12,11,9,7,10,9,7,13,6,5,7,8,8,5,10,7,,8,7,4,,,4,10,7,8,182.0
"Suckling, Matt",12,13,14,18,2,,,,,17,20,11,15,11,15,15,14,,,8,,10,12,11,,,218.0
"Wallis, Mitch",7,9,11,4,15,10,11,11,9,7,10,13,7,8,2,17,4,,,,,,,,,,155.0
"Webb, Lukas",,,,,,,,,,,,,,4,2,,,,8,3,6,,,,,,23.0
"Williams, Bailey",,,,,,,,7,9,,4,6,7,,,,,,,,,6,,,,,39.0
"Wood, Easton",10,5,,,8,8,11,8,9,14,,,,11,14,16,10,8,10,7,4,,3,6,11,7,180.0
Totals,250,243,225,217,221,215,198,222,191,237,228,184,186,214,208,250,191,187,199,201,215,192,213,203,223,210,5523.0
Opponent,FR,SK,HW,CA,BL,NM,AD,ME,GW,CW,WC,PA,GE,SY,RI,GC,SK,GE,NM,CW,ES,FR,WC,HW,GW,SY,
