Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,PF,Tot
"Ablett, Gary",-,-,-,-,2,,2,1,-,-,1,1,1,1,-,-,1,1,-,1,-,2,-,-,-,14.0
"Bartel, Jimmy",-,1,1,1,-,-,-,-,1,-,-,-,-,1,3,1,-,,-,-,-,-,2,-,-,11.0
"Blake, Mark",-,-,-,1,-,-,-,-,-,-,-,1,-,1,-,-,1,,,,-,-,-,,,4.0
"Byrnes, Shannon",1,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,,-,-,1,-,,-,-,1,5.0
"Chapman, Paul",-,-,-,2,-,-,1,1,1,2,-,-,,-,-,-,1,1,1,-,-,1,1,1,-,13.0
"Corey, Joel",-,-,-,-,,,,,,,,,,-,,-,1,-,-,,1,-,-,-,-,2.0
"Djerrkura, Nathan",,,-,,,,,,,,,,,,,,,,,,,,,,,
"Duncan, Mitch",-,-,2,1,,1,,-,,,,,,-,-,,,,,,,,,,,4.0
"Enright, Corey",1,-,-,2,2,1,-,2,-,-,-,1,2,-,1,-,1,1,1,-,2,,2,-,1,20.0
"Gamble, Ryan",,,-,,,,,,,,,,1,,,,,,,,,,,,,1.0
"Hawkins, Tom",2,3,1,1,-,1,-,-,-,4,,,,,,,,-,1,1,2,3,3,-,-,22.0
"Hogan, Simon",,,,,2,1,-,-,,-,-,-,,-,-,-,,,,,,-,,,,3.0
"Hunt, Josh",-,-,-,1,-,1,-,2,-,1,-,-,1,-,1,-,1,2,-,1,-,,1,-,-,12.0
"Hunt, Taylor",,,,,,,,,,,1,-,-,-,,,,,,-,-,-,,,,1.0
"Johnson, Steve",1,2,1,1,-,1,1,-,1,-,1,1,1,,,,2,1,-,2,-,3,-,1,-,20.0
"Kelly, James",-,-,-,-,-,-,-,,1,-,-,-,,-,-,-,-,1,-,-,-,-,-,-,-,2.0
"Laidler, Jeremy",,,,,,,,,,,,,,,,,,,,-,,,,,,
"Ling, Cameron",-,-,-,-,-,-,-,1,-,-,,2,-,,-,-,-,-,-,,,-,1,-,-,4.0
"Lonergan, Tom",1,-,1,1,2,-,1,2,-,-,-,-,-,3,-,-,-,-,1,,,1,,1,2,16.0
"Mackie, Andrew",1,-,1,-,-,-,2,-,1,-,-,1,-,-,-,-,1,-,-,-,,-,-,,,7.0
"Menzel, Daniel",,,,,,,,,,,,,,,,,,,,-,2,1,,,,3.0
"Milburn, Darren",-,,,-,1,-,1,1,1,1,1,1,1,1,-,,1,1,2,-,-,2,-,1,1,17.0
"Mooney, Cameron",-,6,,4,1,1,-,2,2,2,1,,1,,,3,2,3,1,4,4,-,1,-,1,39.0
"Motlop, Steven",,-,,,,,,,,,,,,,,,,,,,,,,,,
"Ottens, Brad",1,2,,1,-,-,,,,,,,,,1,-,1,1,2,2,,-,-,1,-,12.0
"Podsiadly, James",,,6,1,2,5,3,,3,6,4,5,-,3,1,2,2,,-,2,4,,,-,2,51.0
"Rooke, Max",,,,,-,,,,,,,,,,,,,,,,,,,,,
"Scarlett, Matthew",-,-,,,,,-,-,-,,,,-,-,-,1,-,2,-,-,-,-,3,2,-,8.0
"Selwood, Joel",-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,3.0
"Simpson, Dawson",,,-,,,,,,,,1,,,,,,,,,,,,,,,1.0
"Stokes, Mathew",,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,2.0
"Taylor, Harry",-,5,2,5,-,-,-,2,1,1,1,2,2,,6,5,1,1,-,,4,-,-,1,-,39.0
"Varcoe, Travis",,,,,,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,3.0
"West, Trent",,,,,,,,,,,,-,-,2,,,,1,,,,,,,,3.0
"Wojcinski, David",-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,,-,-,-,-,-,-,3.0
Totals,8,19,15,23,13,12,11,16,14,18,11,16,10,12,14,12,16,17,9,14,19,14,14,10,8,345.0
Opponent,ES,HW,FR,PA,CA,RI,SY,BL,CW,ME,WC,ES,SK,NM,HW,AD,BL,SY,CW,WB,CA,WC,SK,FR,CW,
