Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,R17,R18,R19,R20,R21,R22,R23,EF,SF,PF,GF,Tot
"Bonar, Aiden",,,,,,,,,,,,,,,,,,,7,4,,,,,,,11.0
"Buntine, Matt",,10,2,8,6,9,9,10,,,,,11,,,3,,,,,,,,,,,68.0
"Caldwell, Jye",,,,,,,,,,,,,,,,,,,,7,6,,,,,,13.0
"Cameron, Jeremy",10,9,18,11,10,13,14,9,16,12,12,10,4,11,13,13,14,10,,4,,16,17,13,10,11,280.0
"Coniglio, Stephen",24,9,17,17,20,18,16,17,,10,29,17,17,19,19,-,,,,,,,,,,,249.0
"Corr, Aidan",,,,,,9,3,,,,,,,,,,,,,,8,9,9,12,12,15,77.0
"Cumming, Isaac",,,,,,,6,,,2,11,3,,,,,,,,,,13,,,,,35.0
"Daniels, Brent",9,7,7,7,11,5,8,5,6,6,10,3,8,11,7,13,6,10,8,6,6,11,12,3,6,9,200.0
"Davis, Phil",7,5,11,7,7,,,8,17,4,15,11,9,9,13,4,,11,5,8,9,8,7,7,3,11,196.0
"Deledio, Brett",6,10,,,,,,,10,12,7,8,13,13,15,8,4,,12,6,,,5,,,,129.0
"Finlayson, Jeremy",8,16,12,11,8,9,7,14,9,12,18,4,5,11,2,,10,9,11,,,8,13,9,10,1,217.0
"Greene, Toby",12,,,,,13,12,10,21,13,6,,13,8,10,22,15,19,22,25,15,,14,19,,14,283.0
"Hately, Jackson",,,,,9,,11,,,,,,,8,6,,,9,8,9,,,,,,,60.0
"Haynes, Nick",,14,14,12,8,15,21,8,15,15,10,14,,10,9,15,9,16,14,18,19,,10,10,21,21,318.0
"Hill, Bobby",,,,,,,,,,,,,,,,10,5,3,7,5,6,8,,,5,,49.0
"Himmelberg, Harry",7,8,9,5,5,6,7,9,8,12,7,6,8,11,5,5,10,7,3,,7,4,6,1,4,9,169.0
"Hopper, Jacob",17,12,11,15,7,23,15,9,7,9,19,13,15,10,16,17,11,13,16,,,,13,11,13,11,303.0
"Idun, Connor",,,,,,,,,,,,,,,,,,,5,,,,,,,,5.0
"Keeffe, Lachlan",5,5,,,,,,,,,8,,,,,,8,7,4,6,2,2,,,6,,53.0
"Kelly, Josh",,,11,14,15,19,,16,19,16,21,18,22,18,12,,,,,,11,19,13,17,20,6,287.0
"Kennedy, Adam",12,17,13,11,13,13,5,9,12,9,11,10,5,9,10,9,,,,11,10,12,11,11,10,5,238.0
"Langdon, Zac",,,,,,,,6,,,,,,5,5,,,,,,,,,,,,16.0
"Lloyd, Daniel",6,2,8,8,6,10,8,5,8,,,10,,,,9,8,8,,,,5,6,5,12,6,130.0
"Mumford, Shane",,,-,6,2,4,4,,1,2,2,1,2,2,,,4,2,5,4,,4,1,5,5,2,58.0
"Perryman, Harry",5,,,,,,,,12,12,9,16,9,9,11,15,8,13,14,17,8,13,9,10,14,10,214.0
"Reid, Sam",5,10,6,8,13,3,17,8,13,10,11,11,6,7,4,3,12,12,16,8,9,12,5,6,5,5,225.0
"Shaw, Heath",16,13,17,11,9,19,16,24,20,24,17,22,13,9,11,13,23,14,18,20,13,21,21,5,12,19,420.0
"Sheridan, Tom",,,-,,,,,,,,,,,,,,,,,,,,,,,,
"Simpson, Dawson",4,2,,,,,,1,,,,,,,2,4,3,1,,6,-,,,,,,23.0
"Sproule, Zach",,,,,,,,,,,,,,,,,,,,,4,,,,,,4.0
"Stein, Jake",,,,,,,,,,,,,4,,,,5,,4,6,7,,,,,,26.0
"Taranto, Tim",21,12,17,15,11,21,19,11,26,14,14,18,21,14,17,19,16,18,13,20,13,14,19,11,23,14,431.0
"Taylor, Sam",5,2,3,6,8,2,4,4,5,6,,3,5,2,9,3,12,5,,,,5,7,5,8,6,115.0
"Tomlinson, Adam",16,13,13,12,10,13,8,9,17,9,7,8,8,13,9,14,14,7,15,10,9,12,,4,13,11,274.0
"Ward, Callan",,,,1,,,,,,,,,,,,,,,,,,,,,,,1.0
"Whitfield, Lachie",19,26,23,20,14,4,,,21,17,8,,,,,20,18,19,18,21,17,19,21,5,,12,322.0
"Williams, Zac",11,14,20,12,21,24,25,19,9,,,13,21,21,21,11,20,14,22,23,21,16,11,14,22,11,416.0
"de Boer, Matt",5,9,4,6,5,9,3,5,15,6,6,6,3,,,,,,,,7,9,9,5,4,6,122.0
Totals,230,225,236,223,218,261,238,216,287,232,258,225,222,230,226,230,235,227,247,244,207,240,239,188,238,215,6037.0
Opponent,ES,WC,RI,GE,FR,SY,SK,HW,CA,ME,GC,AD,NM,ES,BL,RI,CW,PA,SY,HW,WB,GC,WB,BL,CW,RI,
