Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,R17,R18,R19,R20,R21,R22,R23,EF,SF,PF,GF,Tot
"Bonar, Aiden",,,,,,,,,,,,,,,,,,,-,-,,,,,,,
"Buntine, Matt",,-,-,-,-,-,-,-,,,,,-,,,-,,,,,,,,,,,
"Caldwell, Jye",,,,,,,,,,,,,,,,,,,,-,-,,,,,,
"Cameron, Jeremy",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,,-,-,-,-,-,
"Coniglio, Stephen",-,1,-,-,-,-,-,-,,-,1,2,2,-,1,-,,,,,,,,,,,7.0
"Corr, Aidan",,,,,,-,-,,,,,,,,,,,,,,-,-,-,-,-,-,
"Cumming, Isaac",,,,,,,-,,,-,-,-,,,,,,,,,,-,,,,,
"Daniels, Brent",-,-,-,-,2,1,-,-,-,-,-,1,-,-,-,-,-,1,-,-,1,1,-,1,-,-,8.0
"Davis, Phil",-,-,1,-,-,,,-,1,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,2.0
"Deledio, Brett",-,-,,,,,,,-,-,-,-,-,-,-,-,-,,-,-,,,-,,,,
"Finlayson, Jeremy",-,1,-,-,-,-,-,-,1,-,3,-,-,1,-,,-,1,4,,,-,3,2,-,-,16.0
"Greene, Toby",-,,,,,-,-,-,-,2,-,,-,-,-,-,-,1,-,-,3,,-,-,,-,6.0
"Hately, Jackson",,,,,1,,-,,,,,,,-,-,,,-,-,-,,,,,,,1.0
"Haynes, Nick",,1,-,2,-,-,1,-,-,1,-,-,,-,-,-,-,1,-,1,1,,2,-,-,4,14.0
"Hill, Bobby",,,,,,,,,,,,,,,,-,-,1,-,-,-,-,,,-,,1.0
"Himmelberg, Harry",-,-,1,-,2,-,-,-,-,-,-,-,-,-,-,-,1,1,-,,-,-,-,-,-,-,5.0
"Hopper, Jacob",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,,,,-,-,1,-,2.0
"Idun, Connor",,,,,,,,,,,,,,,,,,,-,,,,,,,,
"Keeffe, Lachlan",-,-,,,,,,,,,-,,,,,,-,-,-,-,-,-,,,-,,
"Kelly, Josh",,,1,-,-,-,,2,-,1,-,-,-,-,-,,,,,,-,-,-,-,-,-,4.0
"Kennedy, Adam",4,2,1,1,-,-,-,3,-,-,4,2,-,2,-,2,,,,-,1,-,-,-,-,-,22.0
"Langdon, Zac",,,,,,,,1,,,,,,-,-,,,,,,,,,,,,1.0
"Lloyd, Daniel",-,-,-,-,-,-,-,-,-,,,-,,,,-,-,-,,,,-,-,-,-,-,
"Mumford, Shane",,,-,-,-,-,-,,-,-,-,-,-,-,,,-,-,-,-,,-,-,-,-,-,
"Perryman, Harry",-,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Reid, Sam",-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Shaw, Heath",-,-,-,2,2,6,6,4,1,-,-,1,2,1,3,-,3,4,2,1,5,1,2,1,-,3,50.0
"Sheridan, Tom",,,-,,,,,,,,,,,,,,,,,,,,,,,,
"Simpson, Dawson",-,-,,,,,,-,,,,,,,-,-,-,-,,-,-,,,,,,
"Sproule, Zach",,,,,,,,,,,,,,,,,,,,,-,,,,,,
"Stein, Jake",,,,,,,,,,,,,-,,,,-,,-,-,-,,,,,,
"Taranto, Tim",-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Taylor, Sam",-,-,-,-,-,-,-,1,-,1,,-,-,-,-,-,-,-,,,,-,-,-,-,-,2.0
"Tomlinson, Adam",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,1.0
"Ward, Callan",,,,-,,,,,,,,,,,,,,,,,,,,,,,
"Whitfield, Lachie",2,1,-,2,-,-,,,2,-,1,,,,,-,1,-,-,-,-,-,-,-,,-,9.0
"Williams, Zac",-,-,1,2,2,-,2,-,-,,,1,2,2,1,1,-,-,-,-,3,-,-,-,-,1,18.0
"de Boer, Matt",-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,-,-,-,1,-,-,1.0
Totals,6,6,6,10,9,7,9,11,5,5,10,7,6,6,5,3,6,10,6,2,14,2,7,5,1,8,172.0
Opponent,ES,WC,RI,GE,FR,SY,SK,HW,CA,ME,GC,AD,NM,ES,BL,RI,CW,PA,SY,HW,WB,GC,WB,BL,CW,RI,
