Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R16,R17,R18,QF,SF,PF,GF,Tot
"Ablett, Gary",-,-,-,-,-,-,-,,,,,,,,,,-,-,-,-,-,
"Atkins, Tom",-,-,-,-,,,,,,-,-,-,-,-,-,-,,-,,,,
"Bews, Jed",,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Blicavs, Mark",-,-,-,-,-,-,-,24,17,7,12,6,7,26,15,12,12,16,6,11,10,181.0
"Clark, Jordan",-,,,,,,-,,,,,,-,,,,,,,,,
"Close, Brad",,,,,,,,-,-,-,-,,-,-,-,-,,,,,,
"Constable, Charlie",,,,,,,,-,-,,,,,,,,,,,,,
"Dahlhaus, Luke",-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,-,
"Dangerfield, Patrick",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Duncan, Mitch",-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Fogarty, Lachie",,,,,,,,-,-,-,,-,,,-,-,,,,,,
"Fort, Darcy",24,,,19,25,16,23,,,,,,,,,,,,,,,107.0
"Guthrie, Cameron",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Guthrie, Zach",-,,,,,,,,,-,,,,,-,,,,,,,
"Hawkins, Tom",1,-,-,2,3,3,2,3,-,1,1,-,-,4,1,3,3,3,-,11,4,45.0
"Henderson, Lachie",,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Henry, Jack",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Jarvis, Ben",,,,,,,,,,,,,,,,-,,,,,,
"Jenkins, Josh",,,,,,,,,,,,,,,7,,,,,,,7.0
"Kolodjashnij, Jake",,,,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,
"Menegola, Sam",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Miers, Gryan",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Narkle, Quinton",-,-,-,,-,-,,,,,,,,,,,,,,,,
"OConnor, Mark",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Parfitt, Brandan",,-,,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,
"Ratugolea, Esava",3,8,5,7,4,3,7,8,9,,,,4,,,5,10,,,,,73.0
"Rohan, Gary",-,-,-,-,-,-,-,-,-,,-,-,-,-,-,,-,-,-,-,-,
"Selwood, Joel",-,-,-,-,-,-,-,,,-,-,-,,,,,-,-,-,-,-,
"Simpson, Sam",,,,,,-,-,-,-,-,,-,,,,,,,-,-,-,
"Stanley, Rhys",,26,17,,,,,,,20,17,13,25,19,,,,17,13,16,29,212.0
"Steven, Jack",,,-,-,-,,-,,,-,-,,-,-,,,-,,,,,
"Stewart, Tom",-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Taylor, Harry",-,-,-,,-,-,-,-,-,-,-,1,,-,-,-,-,-,-,-,-,1.0
"Tuohy, Zach",-,-,-,-,-,-,-,-,-,-,-,-,,-,,-,-,-,-,-,-,
Totals,28,34,22,28,32,22,32,35,26,28,30,20,36,49,23,20,25,36,19,38,43,626.0
Opponent,GW,HW,CA,ME,GC,BL,CW,FR,WC,NM,SK,PA,AD,WB,ES,RI,SY,PA,CW,BL,RI,
