Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,Tot
"Ablett, Gary",-,2,,,,,,3,3,1,1,1,-,1,3,5,,4,3,4,8,2,3,44.0
"Barnes, John",2,3,-,2,1,2,-,1,-,2,,,,-,-,4,1,1,1,-,,-,2,22.0
"Biddiscombe, Craig",,,,,,,,,-,-,1,1,-,1,-,-,-,,,,-,,,3.0
"Bizzell, Clint",,,,,,-,,,,,,,,,1,,,,,1,-,,,2.0
"Breuer, Shayne",2,1,1,-,1,1,1,-,1,-,-,1,1,-,,,-,-,3,2,-,1,-,16.0
"Brown, Paul",,,-,,,,,,,,,,,,,,,,,,,,,
"Brownless, Bill",,,,1,4,2,2,2,1,-,1,-,1,3,,,,,,,,,,17.0
"Burns, Ronnie",-,-,-,3,1,3,2,-,1,1,-,5,-,2,2,-,,,1,2,-,-,-,23.0
"Colbert, Leigh",2,3,4,2,4,2,1,2,1,-,2,3,-,3,3,1,1,-,-,-,-,1,2,37.0
"Couch, Paul",-,1,1,2,,-,1,-,-,-,1,-,-,4,-,-,,1,1,2,-,-,-,14.0
"Graham, Ben",1,-,-,-,-,,,,,,1,1,-,-,-,2,3,1,1,1,2,2,,15.0
"Hall, Derek",1,2,1,2,3,1,1,1,1,-,1,-,-,-,-,1,-,,-,-,-,-,1,16.0
"Handley, Steven",,,,,,,,,,,,,1,,,-,-,-,1,2,-,1,1,6.0
"Hocking, Garry",2,4,2,2,2,2,1,3,5,4,4,-,1,2,1,6,1,2,1,2,4,-,-,51.0
"Kilpatrick, Glenn",,,,,1,-,1,1,-,,,,,,-,2,1,1,-,1,,,,8.0
"King, Steven",,,,,2,1,1,,,,-,1,2,1,1,3,1,,,,2,-,2,17.0
"Lord, Aaron",,,,-,-,,,,-,-,2,-,,,,,,,-,-,-,1,,3.0
"Lynch, Paul",1,,1,-,,,,,,,,,,,,,,,-,,,,,2.0
"Mansfield, Michael",4,-,3,1,3,3,3,-,1,1,,,2,3,2,1,2,-,3,3,1,-,4,40.0
"McGrath, Tim",-,-,1,2,1,-,2,-,1,1,,-,2,,,2,3,-,-,2,-,1,2,20.0
"McKinnon, Martin",-,1,3,1,-,1,-,1,-,2,1,3,1,-,-,2,-,-,,,,,-,16.0
"Mensch, David",2,2,1,-,-,2,1,,,,1,1,,,,,,,,,-,,-,10.0
"Pickering, Liam",-,1,1,-,-,1,1,1,-,-,-,,,,,,,1,,,,,,6.0
"Riccardi, Peter",1,1,1,-,1,2,-,1,-,2,1,2,1,-,-,-,-,1,-,-,,2,-,16.0
"Robbins, Matthew",,,,,,,,,,,,,,,,,-,,,,,,,
"Sanderson, Brenton",-,-,-,1,,,1,-,-,-,-,4,-,-,-,1,-,-,-,-,-,-,-,7.0
"Sholl, Brad",,2,-,-,2,1,1,2,-,-,-,1,2,1,-,1,1,-,2,1,-,2,-,19.0
"Simpson, Sean",,,1,,-,4,-,1,-,-,-,-,1,1,1,2,-,-,1,-,2,2,1,17.0
"Snell, Jason",1,-,,,,,,,,,,,,,,,,-,,,,,,1.0
"Steinfort, Carl",,,,,,,,,,,,,,,,,,,,,,-,-,
"Stoneham, Barry",-,-,-,1,2,,,1,1,1,1,,,-,-,1,1,1,2,2,5,1,-,20.0
"Tanner, Grant",1,-,1,2,1,-,1,2,,2,1,1,-,-,1,,1,1,1,1,-,-,2,19.0
"Tudor, Leigh",-,-,,,,-,2,-,,,,-,2,-,1,1,-,-,,,,,,6.0
Totals,20,23,22,22,29,28,23,22,16,17,19,25,17,22,16,35,16,14,21,26,24,16,20,493.0
Opponent,ME,SK,AD,WC,RI,NM,ES,CA,CW,BB,FO,FR,FI,SY,HW,ME,SK,AD,WC,RI,NM,CA,NM,
