Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,Tot
"Ablett, Gary",-,-,,,,,,-,-,-,-,-,1,-,-,-,,-,-,-,-,-,-,1.0
"Barnes, John",18,9,16,19,7,1,10,15,23,13,,,,4,2,9,9,24,19,2,,10,15,225.0
"Biddiscombe, Craig",,,,,,,,,-,-,-,-,-,-,-,-,-,,,,-,,,
"Bizzell, Clint",,,,,,-,,,,,,,,,-,,,,,-,-,,,
"Breuer, Shayne",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,
"Brown, Paul",,,-,,,,,,,,,,,,,,,,,,,,,
"Brownless, Bill",,,,-,-,1,-,5,1,1,-,2,2,-,,,,,,,,,,12.0
"Burns, Ronnie",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,
"Colbert, Leigh",1,1,-,1,2,5,-,1,-,1,2,-,-,1,1,-,-,-,-,-,-,-,-,16.0
"Couch, Paul",-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,
"Graham, Ben",-,-,-,-,1,,,,,,1,-,-,1,-,1,-,-,1,1,1,2,,9.0
"Hall, Derek",-,-,-,-,-,-,-,1,1,-,-,-,-,2,-,-,-,,-,-,-,-,-,4.0
"Handley, Steven",,,,,,,,,,,,,-,,,-,2,-,-,-,1,1,-,4.0
"Hocking, Garry",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Kilpatrick, Glenn",,,,,-,-,-,-,-,,,,,,-,-,-,-,-,-,,,,
"King, Steven",,,,,8,8,2,,,,11,15,16,4,17,3,6,,,,13,5,5,113.0
"Lord, Aaron",,,,-,-,,,,-,-,-,-,,,,,,,-,-,-,-,,
"Lynch, Paul",-,,-,-,,,,,,,,,,,,,,,-,,,,,
"Mansfield, Michael",-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,4,-,-,-,-,-,-,4.0
"McGrath, Tim",-,-,-,-,-,-,-,-,-,1,,-,-,,,-,-,-,-,-,-,-,2,3.0
"McKinnon, Martin",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,,,,,-,1.0
"Mensch, David",2,7,2,4,-,-,4,,,,7,-,,,,,,,,,-,,-,26.0
"Pickering, Liam",-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,,,,,,
"Riccardi, Peter",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,
"Robbins, Matthew",,,,,,,,,,,,,,,,,-,,,,,,,
"Sanderson, Brenton",-,-,-,1,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Sholl, Brad",,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Simpson, Sean",,,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1.0
"Snell, Jason",-,-,,,,,,,,,,,,,,,,-,,,,,,
"Steinfort, Carl",,,,,,,,,,,,,,,,,,,,,,-,-,
"Stoneham, Barry",1,-,3,4,-,,,6,1,-,-,,,-,6,3,-,3,4,8,2,-,2,43.0
"Tanner, Grant",-,-,-,-,1,-,-,-,,-,-,-,-,-,-,,-,-,-,-,-,-,-,1.0
"Tudor, Leigh",-,-,,,,-,-,-,,,,-,-,-,-,-,-,-,,,,,,
Totals,22,17,21,29,19,15,16,28,26,16,21,17,20,12,26,16,21,27,24,12,17,18,24,464.0
Opponent,ME,SK,AD,WC,RI,NM,ES,CA,CW,BB,FO,FR,FI,SY,HW,ME,SK,AD,WC,RI,NM,CA,NM,
