Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,Tot
"Aitken, Ken",,,,,,,,,,,,,,,,,,,-,
"Bailey, George",1,-,-,,,,-,-,,,,,,,,,,,,1.0
"Baird, Jim",,-,-,-,2,-,,,,,,2,,,,-,1,-,-,5.0
"Baxter, Ken",,,,1,,6,2,3,3,5,2,,4,3,-,3,1,3,3,39.0
"Brown, Vin",-,-,-,-,-,,,,-,-,-,-,-,-,,,,,,
"Cahill, Frank",,,,-,-,,-,-,-,-,-,,,,1,-,-,-,,1.0
"Carr, Les",,,,,,,,,,,,,-,,,,,,,
"Clark, Jim",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Conley, Jack",3,-,1,2,-,-,-,-,1,2,1,2,-,-,-,-,-,-,-,12.0
"Davies, Fred",2,-,3,-,2,1,2,1,-,5,1,3,3,2,4,1,-,2,1,33.0
"Deacon, Bert",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,
"Fitzgibbon, Fred",,,,,,,,,-,-,-,-,-,-,,,,,,
"Garby, Ray",1,1,7,4,1,2,-,-,1,5,1,1,3,4,6,-,1,1,-,39.0
"Green, Richie",-,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,
"Greenshields, Allan",,,,,,-,,,,,,,,,,,,,,
"Grieve, Ollie",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Hands, Ken",4,2,1,,,,,-,-,-,-,-,,-,-,-,-,1,,8.0
"Henfry, Ern",1,-,-,-,-,-,-,-,2,,-,-,-,-,-,-,-,-,-,3.0
"Hines, Ron",-,-,-,-,-,-,,,,,,,,,,,,,,
"Hodgson, Arthur",,,,1,,,,,,-,-,-,,,,,-,-,-,1.0
"Howell, Jack",4,1,1,1,4,-,-,1,2,3,2,2,3,8,,3,2,,1,38.0
"Howell, Max",,,,,,,-,-,,-,-,-,-,,-,,,,,
"Hunter, Basil",,,,,,,,,,,,,,-,-,-,2,-,,2.0
"Kelsey, Bob",,,,,-,-,-,1,-,-,,-,-,-,1,-,-,-,1,3.0
"Leehane, Tom",,,,,,,,,,,,,,,-,,,,,
"Mooring, Jim",,,,,,,,,1,-,1,2,1,-,2,-,,4,-,11.0
"Redmond, Bill",-,-,-,-,-,,,,,,,,,,,,,,,
"Simmons, Tom",,,,,,-,-,-,-,,,,1,-,-,2,1,1,2,7.0
"Sorrell, Alan",-,-,-,,-,-,-,,,,-,-,-,-,-,,,,-,
"Stafford, Fred",-,2,-,2,-,-,2,-,1,-,-,,,,,,,,,7.0
"Streeter, Alan",-,-,-,-,-,2,1,-,,,,2,-,2,-,1,2,-,1,11.0
"Turner, Herb",1,2,-,1,-,2,-,3,1,3,2,3,1,5,1,-,1,1,-,27.0
"Way, Alec",-,,,,,,,,,-,,,,,,,,,,
"Williams, Doug",-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
Totals,17,8,13,12,9,14,7,9,12,23,10,17,16,24,15,10,11,13,9,249.0
Opponent,HW,FI,GE,FO,CW,ES,ME,RI,SK,SM,NM,HW,FI,GE,FO,CW,ES,ME,RI,
