Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,PF,GF,Tot
"Bassett, Nathan",1,-,1,2,-,-,-,-,-,-,,,,,,-,1,,-,,,,,,,,5.0
"Bickley, Mark",2,6,7,8,1,3,5,3,4,5,1,1,7,5,7,6,6,2,,,,3,2,1,1,5,91.0
"Bond, Troy",,,,,2,,-,2,-,-,-,,-,-,1,-,,,,,,,,,,,5.0
"Caven, Peter",1,-,-,1,-,-,-,-,-,1,-,,,-,-,-,1,2,-,1,1,1,2,-,-,-,11.0
"Connell, Matthew",-,-,1,1,3,-,5,3,1,1,1,,,,,,1,5,9,2,4,-,-,-,2,-,39.0
"Cook, Sudjai",,,,,,,,,-,-,,5,1,-,-,1,,,,,,,,,,,7.0
"Cook, Tim",,,,,,,,,,,,,,,,,,3,-,1,-,,,,,,4.0
"Downsborough, Ian",,,-,,1,,-,,-,1,1,1,-,,,,,,,,,,,,,,4.0
"Eccles, Andrew",,-,-,-,-,2,-,-,-,1,2,-,-,,,,,2,-,-,-,,,,2,-,9.0
"Edwards, Tyson",1,-,,,,,,,,,,,-,1,-,1,2,,-,-,2,2,-,1,-,1,11.0
"Ellen, Shane",1,-,-,-,-,,,,,1,1,,,-,4,-,,,,1,-,1,1,-,-,-,10.0
"Goodwin, Simon",1,1,-,,,,,,-,1,-,2,-,-,5,-,1,-,2,-,-,9,2,-,2,2,28.0
"Hart, Ben",-,-,3,-,1,-,-,1,-,-,1,-,1,-,1,1,2,-,2,2,1,-,1,1,-,1,19.0
"James, Brett",,,,2,-,3,2,4,-,6,5,9,7,8,6,5,2,2,-,4,5,1,2,-,3,1,77.0
"Jameson, Rod",,,,,-,-,,-,-,1,-,-,,,,,,-,,,,,,6,,,7.0
"Jarman, Darren",2,-,1,3,-,-,3,2,-,2,,,,3,4,2,-,-,1,1,1,5,8,2,4,-,44.0
"Johnson, Kane",,,2,3,4,3,1,-,,,3,1,,,,,2,,,,,-,,,-,2,21.0
"Keating, Aaron",,,,,,-,-,-,,,,,,,,,,,,,,,,,,,
"Koster, Kym",1,2,6,1,2,1,-,1,-,2,7,-,5,1,4,5,6,3,4,2,2,1,4,6,2,-,68.0
"Liptak, Matthew",,,,,,,,,,,,,,,,,,,2,,,,1,,,,3.0
"Marsh, Ben",,,,,,,,,,,,,,2,1,-,1,,-,2,,,-,-,,-,6.0
"McLeod, Andrew",-,-,3,-,-,4,-,-,,,,,2,-,,,,2,-,4,2,1,1,4,3,8,34.0
"Modra, Tony",,,,,,,,,,,,,,,,-,-,-,-,-,1,-,1,,,,2.0
"Ormond-Allen, Trent",1,2,-,3,,-,-,1,,,,2,-,-,1,1,-,,,1,2,,,,,,14.0
"Perrie, Ian",,,,,,,,,,,,,1,,-,,1,,,,,,,,,,2.0
"Picioane, Lance",-,,,3,,-,-,,,,,,,,,,,,,,,,,,,,3.0
"Pittman, David",-,1,3,-,,,,-,-,2,2,-,1,-,,,2,1,,,2,1,,-,2,3,20.0
"Rehn, Shaun",2,1,4,2,3,4,5,1,4,1,-,2,4,3,4,6,1,5,1,7,1,3,7,1,5,4,81.0
"Ricciuto, Mark",2,3,-,2,4,5,10,3,1,,,1,1,1,3,3,6,7,6,6,2,4,3,4,3,1,81.0
"Rintoul, Chad",-,2,3,2,1,3,-,-,,,1,-,,,,,,,,,,,,-,-,,12.0
"Robran, Matthew",,-,,,,,,,-,1,-,6,2,1,-,1,,-,-,-,1,-,-,2,-,-,14.0
"Sampson, Clay",-,-,-,2,1,1,,,-,2,-,-,,,3,3,1,-,,,,,,,,,13.0
"Smart, Nigel",1,1,2,-,1,1,3,2,-,,,-,1,1,1,2,-,1,1,3,1,1,2,-,2,-,27.0
"Stevens, Linden",,,,,,,,,,,,,,,,,,,,,,-,-,,,,
"Stevens, Mark",-,-,-,-,-,,,,,,-,2,1,-,1,2,,1,1,-,3,2,-,-,-,-,13.0
"Thiessen, James",-,1,2,2,-,1,2,-,,1,-,1,1,-,1,1,,1,1,2,2,5,4,1,2,2,33.0
"Tregenza, Simon",2,,,,,,,,4,2,4,1,1,1,-,,-,,,,,,,,,,15.0
"Vardy, Peter",,,,,,2,1,-,1,2,1,-,-,,,,-,-,-,-,1,1,1,10,-,1,21.0
Totals,18,20,38,37,24,33,37,23,15,33,30,34,36,27,47,40,36,37,30,39,34,41,42,39,33,31,854.0
Opponent,CA,FR,SK,PA,GE,NM,WC,RI,BL,ME,WB,ES,CW,SY,HW,CA,FR,SK,PA,GE,NM,WC,ME,SY,WB,NM,
