Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SF,GF,Tot
"Brown, John",-,-,,,,,,-,,,-,,-,-,1,-,-,-,1,-,2.0
"Brushfield, Brian",,,1,1,-,-,,,-,-,,,,,,,,,,,2.0
"Callan, Terry",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
"Devine, John",,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Eales, Colin",,,,,,,-,-,,,,-,,,,,,,,,
"Farmer, Graham",2,1,-,-,2,-,,-,-,-,-,1,1,-,2,2,1,2,1,-,15.0
"Fox, John",-,,-,,,,-,,,,-,-,,,,,,,,,
"Goggin, Bill",-,,,-,-,-,1,-,-,-,2,2,2,2,3,1,-,1,2,2,18.0
"Goodland, Ken",-,,2,,,,1,-,-,-,-,-,-,-,-,,,,-,-,3.0
"Hamer, Garry",,,,,,,-,,,-,-,-,1,1,1,-,,,,,3.0
"Hynes, Gordon",,-,1,1,1,1,,,,,,,,,,,1,1,1,3,10.0
"Lord, Alistair",4,1,-,-,-,1,-,-,1,,-,-,1,-,-,1,-,-,,2,11.0
"Lord, Stewart",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Lowe, Brian",-,-,,,,,-,1,,,,,,,,-,-,-,-,,1.0
"Miller, Bill",,,,,,,,,,1,,,,,,,,,,,1.0
"Nicholls, Eric",,-,-,-,,,,,-,,,,-,-,,,,,,,
"Polinelli, Tony",1,-,2,-,-,-,,-,1,-,-,,,,-,-,,-,-,-,4.0
"Rice, Colin",1,2,1,1,-,-,1,-,1,,2,3,3,2,3,1,2,-,-,2,25.0
"Rosenow, Geoff",-,1,-,-,-,-,-,-,-,,,,,-,-,-,,,,,1.0
"Routley, Hugh",-,,,-,-,,,,,-,,-,-,-,-,-,-,-,-,-,
"Ryan, Bill",,,,,,,,,2,-,,4,,,,,-,-,,,6.0
"Scott, Ian",,,,,,,,,,,,,,,,,-,-,-,-,
"Sharrock, John",1,-,-,1,-,-,-,1,5,-,1,-,1,-,1,-,4,2,1,-,18.0
"Stephens, Darryl",,,-,,-,-,-,-,-,,,,,,,,,,,,
"Sutherland, Neil",,-,,,,,,,,,,,,,,,,,,,
"Vinar, Paul",1,-,2,-,-,1,1,-,,1,-,-,-,-,-,2,-,-,-,-,8.0
"Wade, Doug",5,-,,,5,4,5,2,3,,2,,1,3,3,1,4,6,3,1,48.0
"Walker, Peter",-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1.0
"Watts, John",-,-,-,-,1,-,-,-,,-,-,-,1,,,,,,-,-,2.0
"West, Roy",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Williams, Ian",,,,,,,,,-,-,,,,,,,,,,,
"Wooller, Fred",1,1,1,1,1,-,-,,,1,-,3,2,-,-,-,1,1,4,3,20.0
"Yeates, John",,,,2,,-,,,2,-,-,1,1,-,1,-,-,-,1,2,10.0
Totals,16,6,10,7,10,7,9,4,16,3,7,14,14,8,15,8,13,13,14,15,209.0
Opponent,SM,ES,FO,NM,SK,CA,HW,ME,RI,FI,CW,SM,ES,FO,NM,SK,CA,HW,HW,HW,
