Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,Tot
"Albiston, Ken",7,2,3,3,1,-,6,1,2,-,1,-,,1,,-,,1,3,31.0
"Allen, Tom",,,,,,,,,,,,,,-,-,-,-,,,
"Burge, Fred",-,-,-,,-,-,-,-,-,-,-,-,-,,,-,-,-,,
"Clarke, Leo",,,,,,,,,,,,,,,,-,-,,-,
"Cook, Fred",,,,,,,,,,-,,,,-,,,,,,
"Cooke, Allan",,,-,,,,,,,,,,,,,2,-,1,-,3.0
"Currie, Max",,,,,,,,,,,,,,1,-,-,1,1,-,3.0
"Dillon, Kevin",,,,,,,,-,-,-,-,-,-,,,-,-,-,-,
"Dyer, Jack",5,6,1,4,3,3,5,2,3,4,1,,,-,,,,2,6,45.0
"Evans, Ron",,,,,,,,,,,1,-,,,2,,,,,3.0
"Fraser, Don",-,,,,,-,-,-,-,-,-,4,,-,1,-,-,-,-,5.0
"Hood, Max",,,,,,,,,,,,-,,,,,,,,
"Irvine, Ron",,,,-,-,-,,-,,,,,,-,-,,,,,
"Jones, Les",-,1,-,1,-,-,-,-,-,2,1,-,-,-,-,-,,,,5.0
"Merrett, Leo",-,-,-,,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,2.0
"Morris, Bill",4,2,-,1,-,-,-,-,1,1,-,1,4,,-,,,1,4,19.0
"Nix, John",,,,,,,,,,,2,-,1,,,1,,,,4.0
"ORourke, Jack",,1,2,1,,,,,,,,,,,,-,,,,4.0
"Oppy, Max",-,,,,,,,,,,,,,,,,,,,
"Perkins, Bill",-,-,-,-,-,-,-,-,-,,,,-,-,,-,,,,
"Poulter, Ray",1,3,3,1,2,4,4,3,2,5,1,2,5,2,6,2,2,-,3,51.0
"Roberts, Jack",,,,,-,,,,,,,,-,,-,,-,,,
"Roberts, Ken",-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,
"Ross, Noel",,,,,-,3,1,2,3,-,-,-,-,,,,,,,9.0
"Rowe, Des",1,-,,-,-,-,-,1,-,-,,-,2,2,-,2,1,-,-,9.0
"Rowe, Havel",,-,,-,,,1,1,-,2,1,,-,,-,,2,-,1,8.0
"Seitz, Wally",,,,-,,,,,,,,,,,,,,,,
"Sier, Ken",-,-,-,-,-,-,-,,,,-,-,-,-,,-,-,-,-,
"Spring, Geoff",-,1,-,-,-,1,-,-,-,1,-,-,-,2,-,-,1,1,-,7.0
"Stokes, Jervis",1,2,-,1,-,,,,,,,,,,-,,1,-,,5.0
"Stokes, Ray",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,2,2.0
"Watson, Jack",,,,,,,,,,,,,,,-,,-,1,-,1.0
"Webb, Kevin",,,-,-,,-,-,,,,-,,-,-,,,,,,
"Wiggins, Bob",-,-,-,,,,-,,-,-,-,-,-,-,-,-,-,-,-,
"Williams, Bill",-,-,-,-,2,1,,,,,,,,,,,-,,,3.0
"Wilson, Bill",-,1,-,5,1,3,3,1,-,-,1,-,3,,-,-,2,1,2,23.0
"Wilson, Stan",,,,,,,,-,1,1,,,,-,,,,-,-,2.0
"Wright, Roy",-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,,,,,2.0
Totals,19,20,9,17,9,15,21,11,12,16,9,7,16,8,9,7,10,9,22,246.0
Opponent,FO,HW,NM,SK,ES,SM,FI,GE,CA,CW,ME,FO,HW,NM,SK,ES,SM,FI,GE,
