Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SF,PF,Tot
"Armstrong, Bruce",,,,,1,6,,,-,,,,,,,,,,,,7.0
"Birt, John",2,1,1,-,5,3,3,,,-,2,4,1,4,1,1,3,2,3,2,38.0
"Blew, Russell",8,2,4,2,6,,,,,,,,,,,,,,,,22.0
"Brown, Greg",8,,2,4,1,2,6,5,4,8,,2,5,5,4,2,2,5,1,3,69.0
"Capuano, Barry",,,,3,5,3,3,,,,1,2,,,,,,,,,17.0
"Clarke, Jack",,1,2,4,,7,4,2,2,2,3,3,3,1,3,7,5,-,4,-,53.0
"Davis, Barry",6,2,9,-,3,4,3,4,3,3,4,6,4,3,6,4,4,7,6,1,82.0
"Egan, Kevin",,,,,,,-,-,-,2,1,2,1,2,1,2,1,4,5,-,21.0
"Epis, Alec",4,2,2,-,5,,3,4,3,2,1,2,,,,4,-,3,-,-,35.0
"Fordham, Ted",3,7,6,4,9,8,3,5,2,4,4,3,2,11,9,4,9,5,4,4,106.0
"Forsyth, Jim",,1,-,,,,,4,3,2,-,-,2,-,,,,,-,-,12.0
"Fraser, Ken",7,8,8,7,9,11,2,,,,3,,5,11,11,8,10,12,10,1,123.0
"Gent, Keith",,,,,,1,2,3,,,,,,,,,,,,,6.0
"Gerlach, Darryl",4,8,2,3,-,5,4,3,3,2,1,3,1,3,6,1,-,3,2,1,55.0
"Gosper, Geoff",4,5,2,1,1,1,3,3,1,2,2,-,2,5,1,1,3,1,3,1,42.0
"Gross, Don",3,-,-,,,,,,,,,,,,,-,-,,,,3.0
"Hird, Allan",,,,,,,,-,1,-,,,,,,,,,,,1.0
"Johnston, Graeme",,-,,-,,,,1,1,1,,,,,,,,,,-,3.0
"McKenzie, Don",1,3,4,2,5,1,4,4,6,6,4,1,5,3,2,5,4,4,6,4,74.0
"Mitchell, Hugh",7,5,6,3,1,4,-,2,,,1,,-,-,-,6,4,3,-,3,45.0
"Noonan, Alan",,,,,,,,,3,8,7,8,3,5,4,11,10,4,3,5,71.0
"Payne, Charlie",7,3,8,3,3,4,3,6,,5,3,-,4,5,4,1,,1,8,-,68.0
"Payne, Ian",1,,,,1,1,,,-,,,2,2,5,2,1,5,6,-,,26.0
"Pryor, Geoff",5,8,7,2,4,2,7,3,1,1,1,1,3,3,5,2,2,3,4,1,65.0
"Sampson, Brian",9,4,3,4,7,5,-,,,,,2,,,,,,,,,34.0
"Shaw, David",2,3,6,1,4,3,1,4,1,3,2,1,2,3,4,6,4,2,4,1,57.0
"Somerville, John",4,2,3,4,8,6,5,3,8,5,1,6,6,3,4,,4,3,2,1,78.0
"Waite, Bruce",-,5,1,2,3,4,5,3,1,-,-,,,,-,2,-,,,,26.0
"Williams, John",-,,,,,,,3,1,2,4,1,4,3,2,1,2,3,4,1,31.0
"Wilson, Bob",,,,,,,,,,,,,-,1,-,,,-,,,1.0
Totals,85,70,76,49,81,81,61,62,44,58,45,49,55,76,69,69,72,71,69,29,1271.0
Opponent,GE,NM,CW,CA,FI,HW,ME,SK,FO,RI,SM,GE,NM,CW,CA,FI,HW,ME,GE,SK,
